id,cost,effect,fling_power,internal_name,name,short_effect,text,item_fling_effect_id
11,3000,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1×.  Whenever the caught Pokémon’s happiness increases, it increases by one extra point.

    If used in a trainer battle, nothing happens and the ball is lost.",__NULL__,luxury-ball,豪华球,Tries to catch a wild Pokémon.  Caught Pokémon start with 200 happiness.,"住着十分惬意的球。
捉到的野生宝可梦会
变得容易和训练家亲密。",__NULL__
12,20,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",__NULL__,premier-ball,纪念球,Tries to catch a wild Pokémon.,"有点珍贵的球。
特制出来的某种纪念品。",__NULL__
13,1000,"Used in battle
:   Attempts to catch a wild Pokémon.  If it’s currently nighttime or the wild Pokémon was encountered while walking in a cave, this ball has a catch rate of 3.5×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",__NULL__,dusk-ball,黑暗球,Tries to catch a wild Pokémon.  Success rate is 3.5× at night and in caves.,"有点与众不同的球。
能很容易地在夜晚或洞窟等
阴暗的地方捕捉宝可梦。",__NULL__
14,300,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1×.  The caught Pokémon’s HP is immediately restored, PP for all its moves is restored, and any status ailment is cured.

    If used in a trainer battle, nothing happens and the ball is lost.",__NULL__,heal-ball,治愈球,Tries to catch a wild Pokémon.  Caught Pokémon are immediately healed.,"有点温柔的球。
能回复捉到的宝可梦的
ＨＰ并治愈异常状态。",__NULL__
15,1000,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 4× on the first turn of a battle, but 1× any other time.

    If used in a trainer battle, nothing happens and the ball is lost.",__NULL__,quick-ball,先机球,"Tries to catch a wild Pokémon. Success rate is 4× (Gen V: 5×), but only on the first turn.","有点与众不同的球。
如果战斗开始后立刻使用，
就能很容易地捉到宝可梦。",__NULL__
16,0,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",__NULL__,cherish-ball,贵重球,Tries to catch a wild Pokémon.,"相当珍贵的球。
特制出来的某种纪念品。",__NULL__
17,200,"Used on a friendly Pokémon
:   Restores 20 HP.",30,potion,伤药,Restores 20 HP.,"喷雾式伤药。
能让１只宝可梦
回复２０ＨＰ。",__NULL__
18,200,"Used on a party Pokémon
:   Cures poison.",30,antidote,解毒药,Cures poison.,"喷雾式药水。
能治愈１只宝可梦的
中毒状态。",__NULL__
19,200,"Used on a party Pokémon
:   Cures a burn.",30,burn-heal,灼伤药,Cures a burn.,"喷雾式药水。
能治愈１只宝可梦的
灼伤状态。",__NULL__
20,200,"Used on a party Pokémon
:   Cures freezing.",30,ice-heal,解冻药,Cures freezing.,"喷雾式药水。
能治愈１只宝可梦的
冰冻状态。",__NULL__
21,200,"Used on a party Pokémon
:   Cures sleep.",30,awakening,解眠药,Cures sleep.,"喷雾式药水。
能治愈１只宝可梦的
睡眠状态。",__NULL__
2218,0,__NULL__,__NULL__,tm229,TM229,__NULL__,__NULL__,__NULL__
22,200,"Used on a party Pokémon
:   Cures paralysis.",30,paralyze-heal,解麻药,Cures paralysis.,"喷雾式药水。
能治愈１只宝可梦的
麻痹状态。",__NULL__
23,3000,"Used on a party Pokémon
:   Restores HP to full and cures any status ailment and confusion.",30,full-restore,全复药,Restores HP to full and cures any status ailment and confusion.,"能回复１只宝可梦的
所有ＨＰ并治愈所有异常状态。",__NULL__
24,2500,"Used on a party Pokémon
:   Restores HP to full.",30,max-potion,全满药,Restores HP to full.,"喷雾式伤药。
能让１只宝可梦
回复所有ＨＰ。",__NULL__
25,1500,"Used on a party Pokémon
:   Restores 200 HP.",30,hyper-potion,厉害伤药,Restores 200 HP.,"喷雾式伤药。
能让１只宝可梦
回复１２０ＨＰ。",__NULL__
26,700,"Used on a party Pokémon
:   Restores 50 HP.",30,super-potion,好伤药,Restores 50 HP.,"喷雾式伤药。
能让１只宝可梦
回复６０ＨＰ。",__NULL__
27,400,"Used on a party Pokémon
:   Cures any status ailment and confusion.",30,full-heal,万灵药,Cures any status ailment and confusion.,"喷雾式药水。
能治愈１只宝可梦的
所有异常状态。",__NULL__
28,2000,"Used on a party Pokémon
:   Revives the Pokémon and restores half its HP.",30,revive,活力碎片,Revives with half HP.,"能让１只陷入濒死的
宝可梦重获生机，
并回复一半ＨＰ。",__NULL__
29,4000,"Used on a party Pokémon
:   Revives the Pokémon and restores its HP to full.",30,max-revive,活力块,Revives with full HP.,"能让１只陷入濒死的
宝可梦重获生机，
并回复所有ＨＰ。",__NULL__
30,200,"Used on a party Pokémon
:   Restores 50 HP.",30,fresh-water,美味之水,Restores 50 HP.,"富含矿物质的水。
能让１只宝可梦
回复３０ＨＰ。",__NULL__
31,300,"Used on a party Pokémon
:   Restores 60 HP.",30,soda-pop,劲爽汽水,Restores 60 HP.,"翻腾着气泡的汽水。
能让１只宝可梦
回复５０ＨＰ。",__NULL__
32,400,"Used on a party Pokémon
:   Restores 80 HP.",30,lemonade,果汁牛奶,Restores 80 HP.,"非常香甜的牛奶。
能让１只宝可梦
回复７０ＨＰ。",__NULL__
33,600,"Used on a party Pokémon
:   Restores 100 HP.",30,moomoo-milk,哞哞鲜奶,Restores 100 HP.,"营养百分百的牛奶。
能让１只宝可梦
回复１００ＨＰ。",__NULL__
34,500,"Used on a party Pokémon
:   Restores 50 HP.  Decreases happiness by 5/5/10.",30,energy-powder,元气粉,"Restores 50 HP, but lowers happiness.","非常苦的药粉。
能让１只宝可梦
回复６０ＨＰ。",__NULL__
35,1200,"Used on a party Pokémon
:   Restores 200 HP.  Decreases happiness by 10/10/15.",30,energy-root,元气根,"Restores 200 HP, but lowers happiness.","非常苦的根。
能让１只宝可梦
回复１２０ＨＰ。",__NULL__
36,300,"Used on a party Pokémon
:   Cures any status ailment.  Decreases happiness by 5/5/10.",30,heal-powder,万能粉,"Cures any status ailment, but lowers happiness.","非常苦的药粉。
能治愈１只宝可梦的
所有异常状态。",__NULL__
37,2800,"Used on a party Pokémon
:   Revives a fainted Pokémon and restores its HP to full.  Decreases happiness by 10/10/15.",30,revival-herb,复活草,"Revives with full HP, but lowers happiness.","非常苦的药草。
能让１只濒死的宝可梦
回复所有ＨＰ。",__NULL__
38,1200,"Used on a party Pokémon
:   Restores 10 PP for a selected move.",30,ether,ＰＰ单项小补剂,Restores 10 PP for one move.,"能让宝可梦学会的
其中１个招式
回复１０ＰＰ。",__NULL__
39,2000,"Used on a party Pokémon
:   Restores PP to full for a selected move.",30,max-ether,ＰＰ单项全补剂,Restores PP to full for one move.,"能让宝可梦学会的
其中１个招式
回复所有ＰＰ。",__NULL__
40,3000,"Used on a party Pokémon
:   Restores 10 PP for each move.",30,elixir,ＰＰ多项小补剂,Restores 10 PP for each move.,"能让宝可梦学会的
４个招式各
回复１０ＰＰ。",__NULL__
41,4500,"Used on a party Pokémon
:   Restores PP to full for each move.",30,max-elixir,ＰＰ多项全补剂,Restores PP to full for each move.,"能让宝可梦学会的
４个招式
回复所有ＰＰ。",__NULL__
42,350,"Used on a party Pokémon
:   Cures any status ailment and confusion.",30,lava-cookie,釜炎仙贝,Cures any status ailment and confusion.,"釜炎特产的仙贝。
能治愈１只宝可梦的
所有异常状态。",__NULL__
43,200,"Used on a party Pokémon
:   Restores 20 HP.",30,berry-juice,树果汁,Restores 20 HP.,"１００％树果果汁。
能让１只宝可梦
回复２０ＨＰ。",__NULL__
44,50000,"Used
:   Revives all fainted Pokémon in the party and restores their HP to full.",30,sacred-ash,圣灰,Revives all fainted Pokémon with full HP.,"能让陷入濒死的
全部宝可梦
回复所有ＨＰ。",__NULL__
45,10000,"Used on a party Pokémon
:   Increases HP effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.",30,hp-up,ＨＰ增强剂,Raises HP effort and happiness.,"宝可梦的营养饮料。
能提高１只宝可梦的
ＨＰ的基础点数。",__NULL__
46,10000,"Used on a party Pokémon
:   Increases Attack effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.",30,protein,攻击增强剂,Raises Attack effort and happiness.,"宝可梦的营养饮料。
能提高１只宝可梦的
攻击的基础点数。",__NULL__
47,10000,"Used on a party Pokémon
:   Increases Defense effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.",30,iron,防御增强剂,Raises Defense effort and happiness.,"宝可梦的营养饮料。
能提高１只宝可梦的
防御的基础点数。",__NULL__
48,10000,"Used on a party Pokémon
:   Increases Speed effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.",30,carbos,速度增强剂,Raises Speed effort and happiness.,"宝可梦的营养饮料。
能提高１只宝可梦的
速度的基础点数。",__NULL__
49,10000,"Used on a party Pokémon
:   Increases Special Attack effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.",30,calcium,特攻增强剂,Raises Special Attack effort and happiness.,"宝可梦的营养饮料。
能提高１只宝可梦的
特攻的基础点数。",__NULL__
50,10000,"Used on a party Pokémon
:   Increases level by 1.  Increases happiness by 5/3/2.",30,rare-candy,神奇糖果,Causes a level-up and raises happiness.,"充满能量的糖果。
将它交给宝可梦后，
１只宝可梦的等级仅会提高１。",__NULL__
51,10000,"Used on a party Pokémon
:   Increases a selected move’s max PP by 20% its original max PP, to a maximum of 1.6×.  Increases happiness by 5/3/2.",30,pp-up,ＰＰ提升剂,Raises a move’s max PP by 20%.,"能让宝可梦学会的
其中１个招式的
ＰＰ最大值少量提高。",__NULL__
333,1000,Teaches Psychic to a compatible Pokémon.,__NULL__,tm29,招式学习器２９,Teaches Psychic to a compatible Pokémon.,"向对手发送
强大的念力进行攻击。
有时会降低对手的特防。",__NULL__
52,10000,"Used on a party Pokémon
:   Increases Special Defense effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.",30,zinc,特防增强剂,Raises Special Defense and happiness.,"宝可梦的营养饮料。
能提高１只宝可梦的
特防的基础点数。",__NULL__
53,10000,"Used on a party Pokémon
:   Increases a selected move’s max PP to 1.6× its original max PP.  Increases happiness by 5/3/2.",30,pp-max,ＰＰ极限提升剂,Raises a move’s max PP by 60%.,"能将宝可梦学会的
其中１个招式的
ＰＰ最大值提至最高。",__NULL__
54,350,"Used on a party Pokémon
:   Cures any status ailment and confusion.",30,old-gateau,森之羊羹,Cures any status ailment and confusion.,"百代不为人知的特产。
能治愈１只宝可梦的
所有异常状态。",__NULL__
55,1500,"Used on a party Pokémon in battle
:   Protects the target’s stats from being lowered for the next five turns.  Increases happiness by 1/1/0.",30,guard-spec,能力防守,Prevents stat changes in battle for five turns in battle.  Raises happiness.,"在战斗中，
５回合内不让我方
能力降低的道具。",__NULL__
56,1000,"Used on a party Pokémon in battle
:   Increases the target’s critical hit chance by one stage until it leaves the field.  Increases happiness by 1/1/0.",30,dire-hit,要害攻击,Increases the chance of a critical hit in battle.  Raises happiness.,"击中要害的几率会大幅提高。
只能使用１次。
离场后，效果便会消失。",__NULL__
57,1000,"Used on a party Pokémon in battle
:   Raises the target’s Attack by one stage.  Increases happiness by 1/1/0.",30,x-attack,力量强化,Raises Attack by one stage in battle.  Raises happiness.,"大幅提高战斗中
宝可梦攻击的道具。
离场后，效果便会消失。",__NULL__
58,2000,"Used on a party Pokémon in battle
:   Raises the target’s Defense by one stage.  Increases happiness by 1/1/0.",30,x-defense,防御强化,Raises Defense by one stage in battle.  Raises happiness.,"大幅提高战斗中
宝可梦防御的道具。
离场后，效果便会消失。",__NULL__
59,1000,"Used on a party Pokémon in battle
:   Raises the target’s Speed by one stage.  Increases happiness by 1/1/0.",30,x-speed,速度强化,Raises Speed by one stage in battle.  Raises happiness.,"大幅提高战斗中
宝可梦速度的道具。
离场后，效果便会消失。",__NULL__
60,1000,"Used on a party Pokémon in battle
:   Raises the target’s accuracy by one stage.  Increases happiness by 1/1/0.",30,x-accuracy,命中强化,Raises accuracy by one stage in battle.  Raises happiness.,"大幅提高战斗中
宝可梦命中的道具。
离场后，效果便会消失。",__NULL__
61,1000,"Used on a party Pokémon in battle
:   Raises the target’s Special Attack by one stage.  Increases happiness by 1/1/0.",30,x-sp-atk,特攻强化,Raises Special Attack by one stage in battle.  Raises happiness.,"大幅提高战斗中
宝可梦特攻的道具。
离场后，效果便会消失。",__NULL__
62,2000,"Used on a party Pokémon in battle
:   Raises the target’s Special Defense by one stage.  Increases happiness by 1/1/0.",30,x-sp-def,特防强化,Raises Special Defense by one stage in battle.  Raises happiness.,"大幅提高战斗中
宝可梦特防的道具。
离场后，效果便会消失。",__NULL__
63,300,"Used in battle
:   Ends a wild battle.  Cannot be used in trainer battles.",30,poke-doll,皮皮玩偶,Ends a wild battle.,"能吸引宝可梦注意的道具。
在和野生宝可梦的
战斗中绝对可以逃走。",__NULL__
64,100,"Used in battle
:   Ends a wild battle.  Cannot be used in trainer battles.",30,fluffy-tail,向尾喵的尾巴,Ends a wild battle.,"能吸引宝可梦注意的道具。
在和野生宝可梦的
战斗中绝对可以逃走。",__NULL__
65,20,"Used on a party Pokémon
:   Cures sleep.",30,blue-flute,蓝色玻璃哨,Cures sleep.,"以蓝色玻璃制成的哨子。
可以治愈睡眠状态。",__NULL__
66,20,"Used on a party Pokémon in battle
:   Cures confusion.",30,yellow-flute,黄色玻璃哨,Cures confusion.,"以黄色玻璃制成的哨子。
可以治愈混乱状态。",__NULL__
67,20,"Used on a party Pokémon in battle
:   Cures attraction.",30,red-flute,红色玻璃哨,Cures attraction.,"以红色玻璃制成的哨子。
可以治愈着迷状态。",__NULL__
68,20,"Used outside of battle
:   Decreases the wild Pokémon encounter rate by 50%.",30,black-flute,黑色玻璃哨,Halves the wild Pokémon encounter rate.,"以黑色玻璃制成的哨子。
在使用的地方更容易
遇到强大的宝可梦。",__NULL__
69,20,"Used outside of battle
:   Doubles the wild Pokémon encounter rate.",30,white-flute,白色玻璃哨,Doubles the wild Pokémon encounter rate.,"以白色玻璃制成的哨子。
在使用的地方更容易
遇到弱小的宝可梦。",__NULL__
70,20,No effect.,30,shoal-salt,浅滩海盐,No effect. Gen III: Trade four and four Shoal Shells for a Shell Bell.,"在浅滩洞穴这地方
找到的海盐。",__NULL__
71,20,No effect.,30,shoal-shell,浅滩贝壳,No effect. Gen III: Trade four and four Shoal Salts for a Shell Bell.,"在浅滩洞穴这地方
找到的贝壳。",__NULL__
72,1000,"No effect.

In Diamond and Pearl, trade ten for a sunny day TM in the house midway along the southern section of sinnoh route 212.

In Platinum, trade to move tutors on sinnoh route 212, in snowpoint city, and in the survival area.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for a cheri berry, a leppa berry, and a pecha berry with the Juggler near the Pokémon Center in violet city.

In HeartGold and SoulSilver, trade one for a persim berry, a pomeg berry, and a razz berry with the Juggler near the pal park entrance in fuchsia city.",30,red-shard,红色碎片,No effect. Can be traded for items or moves.,"红色的小碎片。
好像是以前制作的
某道具的一部分。",__NULL__
73,1000,"No effect.

In Diamond and Pearl, trade ten for a rain dance TM in the house midway along the southern section of sinnoh route 212.

In Platinum, trade to move tutors on sinnoh route 212, in snowpoint city, and in the survival area.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for a chesto berry, an oran berry, and a wiki berry with the Juggler near the Pokémon Center in violet city.

In HeartGold and SoulSilver, trade one for a bluk berry, a cornn berry, and a kelpsy berry with the Juggler near the pal park entrance in fuchsia city.",30,blue-shard,蓝色碎片,No effect. Can be traded for items or moves.,"蓝色的小碎片。
好像是以前制作的
某道具的一部分。",__NULL__
93,100,Trade one to the Move Relearner near the shore in pastoria city or with the Move Deleter in blackthorn city to teach one party Pokémon a prior level-up move.,30,heart-scale,心之鳞片,No effect. Can be traded for prior Level-up moves.,"有着美丽心形外形
且非常珍稀的鳞片。
有些人收到会很高兴。",__NULL__
426,0,Contains up to 100 Poffins.,__NULL__,poffin-case,宝芬盒,Holds Poffins.,"用来保存烹饪好的
宝芬的容器。",__NULL__
74,1000,"No effect.

In Diamond and Pearl, trade ten for a sandstorm TM in the house midway along the southern section of sinnoh route 212.

In Platinum, trade to move tutors on sinnoh route 212, in snowpoint city, and in the survival area.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for an aspear berry, a iapapa berry, and a sitrus berry with the Juggler near the Pokémon Center in violet city.

In HeartGold and SoulSilver, trade one for a grepa berry, a nomel berry, and a pinap berry with the Juggler near the pal park entrance in fuchsia city.",30,yellow-shard,黄色碎片,No effect. Can be traded for items or moves.,"黄色的小碎片。
好像是以前制作的
某道具的一部分。",__NULL__
75,1000,"No effect.

In Diamond and Pearl, trade ten for a hail TM in the house midway along the southern section of sinnoh route 212.

In Platinum, trade to move tutors on sinnoh route 212, in snowpoint city, and in the survival area.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for an aguav berry, a lum berry, and a rawst berry with the Juggler near the Pokémon Center in violet city.

In HeartGold and SoulSilver, trade one for a durin berry, a hondew berry, and a wepear berry with the Juggler near the pal park entrance in fuchsia city.",30,green-shard,绿色碎片,No effect. Can be traded for items or moves.,"绿色的小碎片。
好像是以前制作的
某道具的一部分。",__NULL__
76,700,"Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 200 steps.",30,super-repel,白银喷雾,"For 200 steps, prevents wild encounters of level lower than your party’s lead Pokémon.","弱小的野生宝可梦
将完全不会出现。
效果比除虫喷雾更持久。",__NULL__
77,900,"Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 250 steps.",30,max-repel,黄金喷雾,"For 250 steps, prevents wild encounters of level lower than your party’s lead Pokémon.","弱小的野生宝可梦
将完全不会出现。
效果比白银喷雾更持久。",__NULL__
78,300,"Used outside of battle
:   Transports the trainer to the last-entered dungeon entrance.  Cannot be used outside, in buildings, or in distortion world, sinnoh hall of origin 1, spear pillar, or turnback cave.",30,escape-rope,离洞绳,Transports user to the outside entrance of a cave.,"结实的长绳。
可以从洞窟或迷宫中脱身。",__NULL__
79,400,"Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 100 steps.",30,repel,除虫喷雾,"For 100 steps, prevents wild encounters of level lower than your party’s lead Pokémon.","使用后，在较短的一段时间内，
弱小的野生宝可梦将完全不会出现。",__NULL__
80,3000,"Used on a party Pokémon
:   Evolves a cottonee into whimsicott, a gloom into bellossom, a petilil into lilligant, or a sunkern into sunflora.",30,sun-stone,日之石,"Evolves a Cottonee into Whimsicott, a Gloom into Bellossom, a Petilil into Lilligant, or a Sunkern into Sunflora.","能让某些特定宝可梦
进化的神奇石头。
像太阳一样赤红。",__NULL__
81,3000,"Used on a party Pokémon
:   Evolves a clefairy into clefable, a jigglypuff into wigglytuff, a munna into musharna, a nidorina into nidoqueen, a nidorino into nidoking, or a skitty into delcatty.",30,moon-stone,月之石,"Evolves a Clefairy into Clefable, a Jigglypuff into Wigglytuff, a Munna into Musharna, a Nidorina into Nidoqueen, a Nidorino into Nidoking, or a Skitty into Delcatty.","能让某些特定宝可梦
进化的神奇石头。
像夜空一样乌黑。",__NULL__
82,3000,"Used on a party Pokémon
:   Evolves an eevee into flareon, a growlithe into arcanine, a pansear into simisear, or a vulpix into ninetales.",30,fire-stone,火之石,"Evolves an Eevee into Flareon, a Growlithe into Arcanine, a Pansear into Simisear, or a Vulpix into Ninetales.","能让某些特定宝可梦
进化的神奇石头。
看上去是橙黄色的。",__NULL__
83,3000,"Used on a party Pokémon
:   Evolves an eelektrik into eelektross, an eevee into jolteon, or a pikachu into raichu.",30,thunder-stone,雷之石,"Evolves an Eelektrik into Eelektross, an Eevee into Jolteon, or a Pikachu into Raichu.","能让某些特定宝可梦
进化的神奇石头。
有着闪电般的花纹。",__NULL__
84,3000,"Used on a party Pokémon
:   Evolves an eevee into vaporeon, a lombre into ludicolo, a panpour into simipour, a poliwhirl into poliwrath, a shellder into cloyster, or a staryu into starmie.",30,water-stone,水之石,"Evolves an Eevee into Vaporeon, a Lombre into Ludicolo, a Panpour into Simipour, a Poliwhirl into Poliwrath, a Shellder into Cloyster, or a Staryu into Starmie.","能让某些特定宝可梦
进化的神奇石头。
看上去是澄蓝色的。",__NULL__
85,3000,"Used on a party Pokémon
:   Evolves an exeggcute into exeggutor, a gloom into vileplume, a nuzleaf into shiftry, a pansage into simisage, or a weepinbell into victreebel.",30,leaf-stone,叶之石,"Evolves an Exeggcute into Exeggutor, a Gloom into Vileplume, a Nuzleaf into Shiftry, a Pansage into Simisage, or a Weepinbell into Victreebel.","能让某些特定宝可梦
进化的神奇石头。
有着叶子般的花纹。",__NULL__
86,500,Vendor trash.,30,tiny-mushroom,小蘑菇,"Fire Red and Leaf Green: Trade two for prior Level-up moves. Sell for 250 Pokédollars, or to Hungry Maid for 500 Pokédollars.","珍稀的小蘑菇。
在一些爱好者中
有着相当高的人气。",__NULL__
87,5000,Vendor trash.,30,big-mushroom,大蘑菇,"Fire Red and Leaf Green: Trade for prior Level-up moves. Sell for 2500 Pokédollars, or to Hungry Maid for 5000 Pokédollars.","珍稀的大蘑菇。
在一些爱好者中
有着非常高的人气。",__NULL__
88,2000,Vendor trash.,30,pearl,珍珠,"Sell for 700 Pokédollars, or to Ore Collector for 1400 Pokédollars.","散发着美丽银辉
且有点小的珍珠。
可以在商店低价出售。",__NULL__
89,8000,Vendor trash.,30,big-pearl,大珍珠,"Sell for 3750 Pokédollars, or to Ore Collector for 7500 Pokédollars.","散发着美丽银辉
且相当大颗的珍珠。
可以在商店高价出售。",__NULL__
90,3000,Vendor trash.,30,stardust,星星沙子,"Sell for 1000 Pokédollars, or to Ore Collector for 2000 Pokédollars.","手感细腻且十分
美丽的红色沙子。
可以在商店低价出售。",__NULL__
91,12000,Vendor trash.,30,star-piece,星星碎片,"Platinum: Trade for one of each color Shard. Black and White: Trade for PP Up. Sell for 4900 Pokédollars, or to Ore Collector for 9800 Pokédollars.","闪着红光且十分
美丽的宝石碎片。
可以在商店高价出售。",__NULL__
92,10000,Vendor trash.,30,nugget,金珠,"Sell for 5000 Pokédollars, or to Ore Collector for 10000 Pokédollars.","闪着金光，
以纯金制成的珠子。
可以在商店高价出售。",__NULL__
1030,1000,__NULL__,30,silver-leaf,银色叶子,__NULL__,"神奇的银色叶子。
至今仍未发现能长出
这种叶子的树木。",__NULL__
94,900,"Used outside of battle
:   Immediately triggers a wild Pokémon battle, as long as the trainer is somewhere with wild Pokémon—i.e., in tall grass, in a cave, or surfing.

Can be smeared on sweet-smelling trees to attract tree-dwelling Pokémon after six hours.",30,honey,甜甜蜜,,"在草丛或洞窟等地方使用后，
被甜甜香气吸引的
野生宝可梦就会出现。",__NULL__
95,200,"Used on a patch of soil
:   Plant’s growth stages will each last 25% less time.  Dries soil out more quickly.",30,growth-mulch,速速肥,"Growing time of berries is reduced, but the soil dries out faster.","培育树果时的肥料。
但完全不适合丰缘地区的土壤，
所以没什么效果。",__NULL__
96,200,"Used on a patch of soil
:   Plant’s growth stages will each last 25% more time.  Dries soil out more slowly.",30,damp-mulch,湿湿肥,"Growing time of berries is increased, but the soil dries out slower.","培育树果时的肥料。
但完全不适合丰缘地区的土壤，
所以没什么效果。",__NULL__
97,200,"Used on a patch of soil
:   Fully-grown plant will last 25% longer before dying and possibly regrowing.",30,stable-mulch,久久肥,Berries stay on the plant for longer than their usual time.,"培育树果时的肥料。
但完全不适合丰缘地区的土壤，
所以没什么效果。",__NULL__
98,200,"Used on a path of soil
:   Plant will regrow after dying 25% more times.",30,gooey-mulch,粘粘肥,Berries regrow from dead plants an increased number of times.,"培育树果时的肥料。
但完全不适合丰缘地区的土壤，
所以没什么效果。",__NULL__
