id,accuracy,ailment_chance,crit_rate,drain,effect,effect_chance,flinch_chance,healing,internal_name,max_hits,max_turns,min_hits,min_turns,name,power,pp,priority,short_effect,stat_chance,text,move_ailment_id,move_category_id,move_damage_class_id,move_target_id,type_id
11,100,0,0,0,Inflicts regular damage.,__NULL__,0,0,vice-grip,__NULL__,__NULL__,__NULL__,__NULL__,夹住,55,30,0,Inflicts regular damage with no additional effect.,0,"将对手从两侧夹住，
给予伤害。",0,0,2,10,1
12,30,0,0,0,"Inflicts damage equal to the target’s max HP.  Ignores accuracy and evasion modifiers.  This move’s accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",__NULL__,0,0,guillotine,__NULL__,__NULL__,__NULL__,__NULL__,断头钳,__NULL__,5,0,Causes a one-hit KO.,0,"用大钳子或剪刀等
夹断对手进行攻击。
只要命中就会一击濒死。",0,9,2,10,1
13,100,0,1,0,"Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk.",__NULL__,0,0,razor-wind,__NULL__,__NULL__,__NULL__,__NULL__,旋风刀,80,10,0,Requires a turn to charge before attacking.,0,"制造风之刃，
于第２回合攻击对手。
容易击中要害。",0,0,3,11,1
14,__NULL__,0,0,0,Raises the user’s Attack by two stages.,__NULL__,0,0,swords-dance,__NULL__,__NULL__,__NULL__,__NULL__,剑舞,__NULL__,20,0,Raises the user’s Attack by two stages.,0,"激烈地跳起战舞提高气势。
大幅提高自己的攻击。",0,2,1,7,1
15,95,0,0,0,Inflicts regular damage.,__NULL__,0,0,cut,__NULL__,__NULL__,__NULL__,__NULL__,居合斩,50,30,0,Inflicts regular damage with no additional effect.,0,"用镰刀或爪子等
切斩对手进行攻击。",0,0,2,10,1
16,100,0,0,0,"Inflicts regular damage.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power.",__NULL__,0,0,gust,__NULL__,__NULL__,__NULL__,__NULL__,起风,40,35,0,Inflicts regular damage and can hit Pokémon in the air.,0,"用翅膀将刮起的狂风
袭向对手进行攻击。",0,0,3,10,3
17,100,0,0,0,Inflicts regular damage.,__NULL__,0,0,wing-attack,__NULL__,__NULL__,__NULL__,__NULL__,翅膀攻击,60,35,0,Inflicts regular damage with no additional effect.,0,"大大地展开美丽的翅膀，
将其撞向对手进行攻击。",0,0,2,10,3
18,__NULL__,0,0,0,"Switches the target out for another of its trainer’s Pokémon selected at random.  Wild battles end immediately.

Doesn’t affect Pokémon with suction cups or under the effect of ingrain.",__NULL__,0,0,whirlwind,__NULL__,__NULL__,__NULL__,__NULL__,吹飞,__NULL__,20,-6,Immediately ends wild battles.  Forces trainers to switch Pokémon.,0,"吹飞对手，强制拉后备宝可梦上场。
如果对手为野生宝可梦，
战斗将直接结束。",0,12,1,10,1
19,95,0,0,0,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",__NULL__,0,0,fly,__NULL__,__NULL__,__NULL__,__NULL__,飞翔,90,15,0,"User flies high into the air, dodging all attacks, and hits next turn.",0,"第１回合飞上天空，
第２回合攻击对手。",0,0,2,10,3
39,100,0,0,0,Lowers the target’s Defense by one stage.,__NULL__,0,0,tail-whip,__NULL__,__NULL__,__NULL__,__NULL__,摇尾巴,__NULL__,30,0,Lowers the target’s Defense by one stage.,0,"可爱地左右摇晃尾巴，
诱使对手疏忽大意。
会降低对手的防御。",0,2,1,11,1
20,85,100,0,0,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",100,0,0,bind,__NULL__,6,__NULL__,5,绑紧,15,20,0,Prevents the target from fleeing and inflicts damage for 2-5 turns.,0,"使用长长的身体或藤蔓等，
在４～５回合内
绑紧对手进行攻击。",8,4,2,10,1
21,75,0,0,0,Inflicts regular damage.,__NULL__,0,0,slam,__NULL__,__NULL__,__NULL__,__NULL__,摔打,80,20,0,Inflicts regular damage with no additional effect.,0,"使用长长的尾巴或藤蔓等
摔打对手进行攻击。",0,0,2,10,1
22,100,0,0,0,Inflicts regular damage.,__NULL__,0,0,vine-whip,__NULL__,__NULL__,__NULL__,__NULL__,藤鞭,45,25,0,Inflicts regular damage with no additional effect.,0,"用如同鞭子般弯曲而细长的藤蔓
摔打对手进行攻击。",0,0,2,10,12
23,100,0,0,0,"Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.

Power is doubled against Pokémon that have used minimize since entering the field.",30,30,0,stomp,__NULL__,__NULL__,__NULL__,__NULL__,踩踏,65,20,0,Has a $effect_chance% chance to make the target flinch.,0,"用大脚踩踏对手进行攻击。
有时会使对手畏缩。",0,0,2,10,1
24,100,0,0,0,Inflicts regular damage.  Hits twice in one turn.,__NULL__,0,0,double-kick,2,__NULL__,2,__NULL__,二连踢,30,30,0,Hits twice in one turn.,0,"用２只脚踢飞对手进行攻击。
连续２次给予伤害。",0,0,2,10,2
25,75,0,0,0,Inflicts regular damage.,__NULL__,0,0,mega-kick,__NULL__,__NULL__,__NULL__,__NULL__,百万吨重踢,120,5,0,Inflicts regular damage with no additional effect.,0,"使出力大无穷的重踢
踢飞对手进行攻击。",0,0,2,10,1
26,95,0,0,0,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.

This move cannot be used while gravity is in effect.",__NULL__,0,0,jump-kick,__NULL__,__NULL__,__NULL__,__NULL__,飞踢,100,10,0,"If the user misses, it takes half the damage it would have inflicted in recoil.",0,"使出高高的腾空踢攻击对手。
如果踢偏则自己会受到伤害。",0,0,2,10,2
27,85,0,0,0,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,30,30,0,rolling-kick,__NULL__,__NULL__,__NULL__,__NULL__,回旋踢,60,15,0,Has a $effect_chance% chance to make the target flinch.,0,"一边使身体快速旋转，
一边踢飞对手进行攻击。
有时会使对手畏缩。",0,0,2,10,2
28,100,0,0,0,Lowers the target’s accuracy by one stage.,__NULL__,0,0,sand-attack,__NULL__,__NULL__,__NULL__,__NULL__,泼沙,__NULL__,15,0,Lowers the target’s accuracy by one stage.,0,"向对手脸上泼沙子，
从而降低命中率。",0,2,1,10,5
29,100,0,0,0,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,30,30,0,headbutt,__NULL__,__NULL__,__NULL__,__NULL__,头锤,70,15,0,Has a $effect_chance% chance to make the target flinch.,0,"将头伸出，
笔直地扑向对手进行攻击。
有时会使对手畏缩。",0,0,2,10,1
30,100,0,0,0,Inflicts regular damage.,__NULL__,0,0,horn-attack,__NULL__,__NULL__,__NULL__,__NULL__,角撞,65,25,0,Inflicts regular damage with no additional effect.,0,用尖锐的角攻击对手。,0,0,2,10,1
31,85,0,0,0,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",__NULL__,0,0,fury-attack,5,__NULL__,2,__NULL__,乱击,15,20,0,Hits 2-5 times in one turn.,0,"用角或喙
刺向对手进行攻击。
连续攻击２～５次。",0,0,2,10,1
32,30,0,0,0,"Inflicts damage equal to the target’s max HP.  Ignores accuracy and evasion modifiers.  This move’s accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",__NULL__,0,0,horn-drill,__NULL__,__NULL__,__NULL__,__NULL__,角钻,__NULL__,5,0,Causes a one-hit KO.,0,"用旋转的角
刺入对手进行攻击。
只要命中就会一击濒死。",0,9,2,10,1
33,100,0,0,0,Inflicts regular damage.,__NULL__,0,0,tackle,__NULL__,__NULL__,__NULL__,__NULL__,撞击,40,35,0,Inflicts regular damage with no additional effect.,0,"用整个身体
撞向对手进行攻击。",0,0,2,10,1
34,100,30,0,0,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,30,0,0,body-slam,__NULL__,__NULL__,__NULL__,__NULL__,泰山压顶,85,15,0,Has a $effect_chance% chance to paralyze the target.,0,"用整个身体
压住对手进行攻击。
有时会让对手陷入麻痹状态。",1,4,2,10,1
35,90,100,0,0,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",100,0,0,wrap,__NULL__,4,__NULL__,2,紧束,15,20,0,Prevents the target from fleeing and inflicts damage for 2-5 turns.,0,"使用长长的身体或藤蔓等，
在４～５回合内
紧束对手进行攻击。",8,4,2,10,1
36,85,0,0,-25,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,__NULL__,0,0,take-down,__NULL__,__NULL__,__NULL__,__NULL__,猛撞,90,20,0,User receives 1/4 the damage it inflicts in recoil.,0,"以惊人的气势
撞向对手进行攻击。
自己也会受到少许伤害。",0,0,2,10,1
37,100,0,0,0,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.",__NULL__,0,0,thrash,__NULL__,__NULL__,__NULL__,__NULL__,大闹一番,120,10,0,"Hits every turn for 2-3 turns, then confuses the user.",0,"在２～３回合内，
乱打一气地攻击对手。
大闹一番后自己会陷入混乱。",0,0,2,8,1
38,100,0,0,-33,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,__NULL__,0,0,double-edge,__NULL__,__NULL__,__NULL__,__NULL__,舍身冲撞,120,15,0,User receives 1/3 the damage inflicted in recoil.,0,"拼命地猛撞向对手进行攻击。
自己也会受到不小的伤害。",0,0,2,10,1
40,100,30,0,0,Inflicts regular damage.  Has a $effect_chance% chance to poison the target.,30,0,0,poison-sting,__NULL__,__NULL__,__NULL__,__NULL__,毒针,15,35,0,Has a $effect_chance% chance to poison the target.,0,"将有毒的针
刺入对手进行攻击。
有时会让对手陷入中毒状态。",5,4,2,10,4
41,100,20,0,0,Inflicts regular damage.  Hits twice in the same turn.  Has a $effect_chance% chance to poison the target.,20,0,0,twineedle,2,__NULL__,2,__NULL__,双针,25,20,0,Hits twice in the same turn.  Has a $effect_chance% chance to poison the target.,0,"将２根针刺入对手，
连续２次给予伤害。
有时会让对手陷入中毒状态。",5,4,2,10,7
42,95,0,0,0,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",__NULL__,0,0,pin-missile,5,__NULL__,2,__NULL__,飞弹针,25,20,0,Hits 2-5 times in one turn.,0,"向对手发射
锐针进行攻击。
连续攻击２～５次。",0,0,2,10,7
43,100,0,0,0,Lowers the target’s Defense by one stage.,100,0,0,leer,__NULL__,__NULL__,__NULL__,__NULL__,瞪眼,__NULL__,30,0,Lowers the target’s Defense by one stage.,100,"用犀利的眼神使其害怕，
从而降低对手的防御。",0,2,1,11,1
44,100,0,0,0,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,30,30,0,bite,__NULL__,__NULL__,__NULL__,__NULL__,咬住,60,25,0,Has a $effect_chance% chance to make the target flinch.,0,"用尖锐的牙
咬住对手进行攻击。
有时会使对手畏缩。",0,0,2,10,17
45,100,0,0,0,Lowers the target’s Attack by one stage.,__NULL__,0,0,growl,__NULL__,__NULL__,__NULL__,__NULL__,叫声,__NULL__,40,0,Lowers the target’s Attack by one stage.,0,"让对手听可爱的叫声，
引开注意力使其疏忽，
从而降低对手的攻击。",0,2,1,11,1
46,__NULL__,0,0,0,"Switches the target out for another of its trainer’s Pokémon selected at random.  Wild battles end immediately.

Doesn’t affect Pokémon with suction cups or under the effect of ingrain.",__NULL__,0,0,roar,__NULL__,__NULL__,__NULL__,__NULL__,吼叫,__NULL__,20,-6,Immediately ends wild battles.  Forces trainers to switch Pokémon.,0,"放走对手，强制拉后备宝可梦上场。
如果对手为野生宝可梦，
战斗将直接结束。",0,12,1,10,1
47,55,0,0,0,Puts the target to sleep.,__NULL__,0,0,sing,__NULL__,4,__NULL__,2,唱歌,__NULL__,15,0,Puts the target to sleep.,0,"让对手听舒适、
美妙的歌声，
从而陷入睡眠状态。",2,1,1,10,1
48,55,0,0,0,Confuses the target.,__NULL__,0,0,supersonic,__NULL__,5,__NULL__,2,超音波,__NULL__,20,0,Confuses the target.,0,"从身体发出
特殊的音波，
从而使对手混乱。",6,1,1,10,1
49,90,0,0,0,Inflicts exactly 20 damage.,__NULL__,0,0,sonic-boom,__NULL__,__NULL__,__NULL__,__NULL__,音爆,__NULL__,20,0,Inflicts 20 points of damage.,0,"将冲击波
撞向对手进行攻击。
必定会给予２０的伤害。",0,0,3,10,1
50,100,0,0,0,"Disables the target’s last used move, preventing its use for 4–7 turns, selected at random, or until the target leaves the field.  If the target hasn’t used a move since entering the field, if it tried to use a move this turn and failed,  if its last used move has 0 PP remaining, or if it already has a move disabled, this move will fail.",__NULL__,0,0,disable,__NULL__,4,__NULL__,4,定身法,__NULL__,20,0,Disables the target’s last used move for 1-8 turns.,0,"阻碍对手行动，
之前使出的招式
将在４回合内无法使用。",13,13,1,10,1
51,100,0,0,0,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Special Defense by one stage.,10,0,0,acid,__NULL__,__NULL__,__NULL__,__NULL__,溶解液,40,30,0,Has a $effect_chance% chance to lower the target’s Special Defense by one stage.,10,"将强酸泼向对手进行攻击。
有时会降低对手的特防。",0,6,3,11,4
52,100,10,0,0,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,10,0,0,ember,__NULL__,__NULL__,__NULL__,__NULL__,火花,40,25,0,Has a $effect_chance% chance to burn the target.,0,"向对手发射
小型火焰进行攻击。
有时会让对手陷入灼伤状态。",4,4,3,10,10
53,100,10,0,0,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,10,0,0,flamethrower,__NULL__,__NULL__,__NULL__,__NULL__,喷射火焰,90,15,0,Has a $effect_chance% chance to burn the target.,0,"向对手发射
烈焰进行攻击。
有时会让对手陷入灼伤状态。",4,4,3,10,10
54,__NULL__,0,0,0,"Pokémon on the user’s side of the field are immune to stat-lowering effects for five turns.

guard swap, heart swap, and power swap may still be used.

defog used by an opponent will end this effect.",__NULL__,0,0,mist,__NULL__,__NULL__,__NULL__,__NULL__,白雾,__NULL__,30,0,Protects the user’s stats from being changed by enemy moves.,0,"用白雾覆盖身体。
在５回合内不会让对手
降低自己的能力。",0,11,1,4,15
55,100,0,0,0,Inflicts regular damage.,__NULL__,0,0,water-gun,__NULL__,__NULL__,__NULL__,__NULL__,水枪,40,25,0,Inflicts regular damage with no additional effect.,0,"向对手猛烈地喷射
水流进行攻击。",0,0,3,10,11
56,80,0,0,0,Inflicts regular damage.,__NULL__,0,0,hydro-pump,__NULL__,__NULL__,__NULL__,__NULL__,水炮,110,5,0,Inflicts regular damage with no additional effect.,0,"向对手猛烈地喷射
大量水流进行攻击。",0,0,3,10,11
57,100,0,0,0,"Inflicts regular damage.

If the target is in the first turn of dive, this move will hit with double power.",__NULL__,0,0,surf,__NULL__,__NULL__,__NULL__,__NULL__,冲浪,90,15,0,Inflicts regular damage and can hit Dive users.,0,"利用大浪
攻击自己周围所有的宝可梦。",0,0,3,9,11
58,100,10,0,0,Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.,10,0,0,ice-beam,__NULL__,__NULL__,__NULL__,__NULL__,冰冻光束,90,10,0,Has a $effect_chance% chance to freeze the target.,0,"向对手发射
冰冻光束进行攻击。
有时会让对手陷入冰冻状态。",3,4,3,10,15
59,70,10,0,0,"Inflicts regular damage.  Has a $effect_chance% chance to freeze the target.

During hail, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.",10,0,0,blizzard,__NULL__,__NULL__,__NULL__,__NULL__,暴风雪,110,5,0,Has a $effect_chance% chance to freeze the target.,0,"将猛烈的暴风雪
刮向对手进行攻击。
有时会让对手陷入冰冻状态。",3,4,3,11,15
60,100,10,0,0,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.,10,0,0,psybeam,__NULL__,5,__NULL__,2,幻象光线,65,20,0,Has a $effect_chance% chance to confuse the target.,0,"向对手发射
神奇的光线进行攻击。
有时会使对手混乱。",6,4,3,10,14
61,100,0,0,0,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Speed by one stage.,10,0,0,bubble-beam,__NULL__,__NULL__,__NULL__,__NULL__,泡沫光线,65,20,0,Has a $effect_chance% chance to lower the target’s Speed by one stage.,10,"向对手猛烈地喷射
泡沫进行攻击。
有时会降低对手的速度。",0,6,3,10,11
62,100,0,0,0,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Attack by one stage.,10,0,0,aurora-beam,__NULL__,__NULL__,__NULL__,__NULL__,极光束,65,20,0,Has a $effect_chance% chance to lower the target’s Attack by one stage.,10,"向对手发射
虹色光束进行攻击。
有时会降低对手的攻击。",0,6,3,10,15
63,90,0,0,0,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",__NULL__,0,0,hyper-beam,__NULL__,__NULL__,__NULL__,__NULL__,破坏光线,150,5,0,User foregoes its next turn to recharge.,0,"向对手发射
强烈的光线进行攻击。
下一回合自己将无法动弹。",0,0,3,10,1
64,100,0,0,0,Inflicts regular damage.,__NULL__,0,0,peck,__NULL__,__NULL__,__NULL__,__NULL__,啄,35,35,0,Inflicts regular damage with no additional effect.,0,"用尖锐的喙或角
刺向对手进行攻击。",0,0,2,10,3
65,100,0,0,0,Inflicts regular damage.,__NULL__,0,0,drill-peck,__NULL__,__NULL__,__NULL__,__NULL__,啄钻,80,20,0,Inflicts regular damage with no additional effect.,0,"一边旋转，一边将尖喙
刺入对手进行攻击。",0,0,2,10,3
66,80,0,0,-25,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,__NULL__,0,0,submission,__NULL__,__NULL__,__NULL__,__NULL__,地狱翻滚,80,20,0,User receives 1/4 the damage it inflicts in recoil.,0,"将对手连同自己一起
摔向地面进行攻击。
自己也会受到少许伤害。",0,0,2,10,2
67,100,0,0,0,"Inflicts regular damage.  Power increases with the target’s weight in kilograms, to a maximum of 120.

Target’s weight | Power
--------------- | ----:
Up to 10kg      |    20
Up to 25kg      |    40
Up to 50kg      |    60
Up to 100kg     |    80
Up to 200kg     |   100
Above 200kg     |   120
",__NULL__,0,0,low-kick,__NULL__,__NULL__,__NULL__,__NULL__,踢倒,__NULL__,20,0,"Inflicts more damage to heavier targets, with a maximum of 120 power.",0,"用力踢对手的脚，
使其摔倒进行攻击。
对手越重，威力越大。",0,0,2,10,2
68,100,0,0,0,"Targets the last opposing Pokémon to hit the user with a physical move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror move, nor selected by assist or metronome.",__NULL__,0,0,counter,__NULL__,__NULL__,__NULL__,__NULL__,双倍奉还,__NULL__,20,-5,Inflicts twice the damage the user received from the last physical hit it took.,0,"从对手那里受到
物理攻击的伤害将以
２倍返还给同一个对手。",0,0,2,1,2
69,100,0,0,0,"Inflicts damage equal to the user’s level.  Type immunity applies, but other type effects are ignored.",__NULL__,0,0,seismic-toss,__NULL__,__NULL__,__NULL__,__NULL__,地球上投,__NULL__,20,0,Inflicts damage equal to the user’s level.,0,"利用引力将对手甩飞出去。
给予对手和自己等级相同的伤害。",0,0,2,10,2
70,100,0,0,0,Inflicts regular damage.,__NULL__,0,0,strength,__NULL__,__NULL__,__NULL__,__NULL__,怪力,80,15,0,Inflicts regular damage with no additional effect.,0,"使出浑身力气
殴打对手进行攻击。",0,0,2,10,1
71,100,0,0,50,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,__NULL__,0,0,absorb,__NULL__,__NULL__,__NULL__,__NULL__,吸取,20,25,0,Drains half the damage inflicted to heal the user.,0,"吸取对手的养分进行攻击。
可以回复给予对手
伤害的一半ＨＰ。",0,8,3,10,12
72,100,0,0,50,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,__NULL__,0,0,mega-drain,__NULL__,__NULL__,__NULL__,__NULL__,超级吸取,40,15,0,Drains half the damage inflicted to heal the user.,0,"吸取对手的养分进行攻击。
可以回复给予对手
伤害的一半ＨＰ。",0,8,3,10,12
73,90,0,0,0,"Plants a seed on the target that drains 1/8 of its max HP at the end of every turn and heals the user for the amount taken.  Has no effect on grass Pokémon.  The seed remains until the target leaves the field.

The user takes damage instead of being healed if the target has liquid ooze.

rapid spin will remove this effect.

This effect is passed on by baton pass.",__NULL__,0,0,leech-seed,__NULL__,__NULL__,__NULL__,__NULL__,寄生种子,__NULL__,10,0,"Seeds the target, stealing HP from it every turn.",0,"植入寄生种子后，将在每回合
一点一点吸取对手的ＨＰ，
从而用来回复自己的ＨＰ。",18,1,1,10,12
74,__NULL__,0,0,0,"Raises the user’s Attack and Special Attack by one stage each.  During sunny day, raises both stats by two stages.",__NULL__,0,0,growth,__NULL__,__NULL__,__NULL__,__NULL__,生长,__NULL__,20,0,Raises the user’s Attack and Special Attack by one stage.,0,"让身体一下子长大，
从而提高攻击和特攻。",0,2,1,7,1
75,95,0,1,0,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,__NULL__,0,0,razor-leaf,__NULL__,__NULL__,__NULL__,__NULL__,飞叶快刀,55,25,0,Has an increased chance for a critical hit.,0,"飞出叶片，
切斩对手进行攻击。
容易击中要害。",0,0,2,11,12
76,100,0,0,0,"Inflicts regular damage.  User charges for one turn before attacking.

During sunny day, the charge turn is skipped.

During hail, rain dance, or sandstorm, power is halved.

This move cannot be selected by sleep talk.",__NULL__,0,0,solar-beam,__NULL__,__NULL__,__NULL__,__NULL__,日光束,120,10,0,Requires a turn to charge before attacking.,0,"第１回合收集满满的日光，
第２回合发射光束进行攻击。",0,0,3,10,12
77,75,0,0,0,Poisons the target.,__NULL__,0,0,poison-powder,__NULL__,__NULL__,__NULL__,__NULL__,毒粉,__NULL__,35,0,Poisons the target.,0,"撒出毒粉，
从而让对手陷入中毒状态。",5,1,1,10,4
78,75,0,0,0,Paralyzes the target.,__NULL__,0,0,stun-spore,__NULL__,__NULL__,__NULL__,__NULL__,麻痹粉,__NULL__,30,0,Paralyzes the target.,0,"撒出麻痹粉，
从而让对手陷入麻痹状态。",1,1,1,10,12
79,75,0,0,0,Puts the target to sleep.,__NULL__,0,0,sleep-powder,__NULL__,4,__NULL__,2,催眠粉,__NULL__,15,0,Puts the target to sleep.,0,"撒出催眠粉，
从而让对手陷入睡眠状态。",2,1,1,10,12
80,100,0,0,0,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.",__NULL__,0,0,petal-dance,__NULL__,__NULL__,__NULL__,__NULL__,花瓣舞,120,10,0,"Hits every turn for 2-3 turns, then confuses the user.",0,"在２～３回合内，
散落花瓣攻击对手。
之后自己会陷入混乱。",0,0,3,8,12
81,95,0,0,0,Lowers the target’s Speed by two stages.,__NULL__,0,0,string-shot,__NULL__,__NULL__,__NULL__,__NULL__,吐丝,__NULL__,40,0,Lowers the target’s Speed by two stages.,0,"用口中吐出的丝缠绕对手，
从而大幅降低对手的速度。",0,2,1,11,7
