id,species_id,egg_group_id,slot_order
327,258,2,2
328,259,1,1
329,259,2,2
330,260,1,1
331,260,2,2
332,261,5,1
333,262,5,1
334,263,5,1
335,264,5,1
336,265,3,1
337,266,3,1
338,267,3,1
339,268,3,1
340,269,3,1
341,270,2,1
342,270,7,2
343,271,2,1
344,271,7,2
345,272,2,1
346,272,7,2
347,273,5,1
348,273,7,2
349,274,5,1
350,274,7,2
351,275,5,1
352,275,7,2
353,276,4,1
354,277,4,1
355,278,2,1
356,278,4,2
357,279,2,1
358,279,4,2
359,280,8,1
360,280,11,2
361,281,8,1
362,281,11,2
363,282,8,1
364,282,11,2
365,283,2,1
366,283,3,2
367,284,2,1
368,284,3,2
369,285,6,1
370,285,7,2
371,286,6,1
372,286,7,2
373,287,5,1
374,288,5,1
375,289,5,1
376,290,3,1
377,291,3,1
378,292,10,1
379,293,1,1
380,293,5,2
381,294,1,1
382,294,5,2
383,295,1,1
384,295,5,2
385,296,8,1
386,297,8,1
387,298,15,1
388,299,10,1
389,300,5,1
390,300,6,2
391,301,5,1
392,301,6,2
393,302,8,1
394,303,5,1
395,303,6,2
396,304,1,1
397,305,1,1
398,306,1,1
399,307,8,1
400,308,8,1
401,309,5,1
402,310,5,1
403,311,6,1
404,312,6,1
405,313,3,1
406,313,8,2
407,314,3,1
408,314,8,2
409,315,6,1
410,315,7,2
411,316,11,1
412,317,11,1
413,318,12,1
414,319,12,1
415,320,5,1
416,320,12,2
417,321,5,1
418,321,12,2
419,322,5,1
420,323,5,1
421,324,5,1
422,325,5,1
423,326,5,1
424,327,5,1
425,327,8,2
426,328,3,1
427,328,14,2
428,329,3,1
429,329,14,2
430,330,3,1
431,330,14,2
432,331,7,1
433,331,8,2
434,332,7,1
435,332,8,2
436,333,4,1
437,333,14,2
438,334,4,1
439,334,14,2
440,335,5,1
441,336,5,1
442,336,14,2
443,337,10,1
444,338,10,1
445,339,12,1
446,340,12,1
447,341,2,1
448,341,9,2
449,342,2,1
450,342,9,2
451,343,10,1
452,344,10,1
453,345,9,1
454,346,9,1
455,347,9,1
456,348,9,1
457,349,2,1
458,349,14,2
459,350,2,1
460,350,14,2
461,351,6,1
462,351,11,2
463,352,5,1
464,353,11,1
465,354,11,1
466,355,11,1
467,356,11,1
468,357,1,1
469,357,7,2
470,358,11,1
471,359,5,1
472,360,15,1
473,361,6,1
474,361,10,2
475,362,6,1
476,362,10,2
477,363,2,1
478,363,5,2
479,364,2,1
480,364,5,2
481,365,2,1
482,365,5,2
483,366,2,1
484,367,2,1
485,368,2,1
486,369,2,1
487,369,12,2
488,370,12,1
489,371,14,1
490,372,14,1
491,373,14,1
492,374,10,1
493,375,10,1
494,376,10,1
495,377,15,1
496,378,15,1
497,379,15,1
498,380,15,1
499,381,15,1
500,382,15,1
501,383,15,1
502,384,15,1
503,385,15,1
504,386,15,1
505,387,1,1
506,387,7,2
507,388,1,1
508,388,7,2
509,389,1,1
510,389,7,2
511,390,5,1
512,390,8,2
513,391,5,1
514,391,8,2
515,392,5,1
516,392,8,2
517,393,2,1
518,393,5,2
519,394,2,1
520,394,5,2
521,395,2,1
522,395,5,2
523,396,4,1
524,397,4,1
525,398,4,1
526,399,2,1
527,399,5,2
528,400,2,1
529,400,5,2
530,401,3,1
531,402,3,1
532,403,5,1
533,404,5,1
534,405,5,1
535,406,15,1
536,407,6,1
537,407,7,2
538,408,1,1
539,409,1,1
540,410,1,1
541,411,1,1
542,412,3,1
543,413,3,1
544,414,3,1
545,415,3,1
546,416,3,1
547,417,5,1
548,417,6,2
549,418,2,1
550,418,5,2
551,419,2,1
552,419,5,2
553,420,6,1
554,420,7,2
555,421,6,1
556,421,7,2
557,422,2,1
558,422,11,2
559,423,2,1
560,423,11,2
561,424,5,1
562,425,11,1
563,426,11,1
564,427,5,1
565,427,8,2
566,428,5,1
567,428,8,2
568,429,11,1
569,430,4,1
570,431,5,1
571,432,5,1
572,433,15,1
573,434,5,1
574,435,5,1
575,436,10,1
576,437,10,1
577,438,15,1
578,439,15,1
579,440,15,1
580,441,4,1
581,442,11,1
582,443,1,1
583,443,14,2
584,444,1,1
585,444,14,2
586,445,1,1
587,445,14,2
588,446,15,1
589,447,15,1
590,448,5,1
591,448,8,2
592,449,5,1
593,450,5,1
594,451,3,1
595,451,9,2
596,452,3,1
597,452,9,2
598,453,8,1
599,454,8,1
600,455,7,1
601,456,12,1
602,457,12,1
603,458,15,1
604,459,1,1
605,459,7,2
606,460,1,1
607,460,7,2
608,461,5,1
609,462,10,1
610,463,1,1
611,464,1,1
612,464,5,2
613,465,7,1
614,466,8,1
615,467,8,1
616,468,4,1
617,468,6,2
618,469,3,1
619,470,5,1
620,471,5,1
621,472,3,1
622,473,5,1
623,474,10,1
624,475,8,1
625,475,11,2
626,476,10,1
627,477,11,1
628,478,6,1
629,478,10,2
630,479,11,1
631,480,15,1
632,481,15,1
633,482,15,1
634,483,15,1
635,484,15,1
636,485,15,1
637,486,15,1
638,487,15,1
639,488,15,1
640,489,2,1
641,489,6,2
642,490,2,1
643,490,6,2
644,491,15,1
645,492,15,1
646,493,15,1
647,494,15,1
648,495,5,1
649,495,7,2
650,496,5,1
651,496,7,2
652,497,5,1
653,497,7,2
654,498,5,1
655,499,5,1
656,500,5,1
657,501,5,1
658,502,5,1
659,503,5,1
660,504,5,1
661,505,5,1
662,506,5,1
663,507,5,1
664,508,5,1
665,509,5,1
666,510,5,1
667,511,5,1
668,512,5,1
669,513,5,1
670,514,5,1
671,515,5,1
672,516,5,1
673,517,5,1
674,518,5,1
675,519,4,1
676,520,4,1
677,521,4,1
678,522,5,1
679,523,5,1
680,524,10,1
681,525,10,1
682,526,10,1
683,527,5,1
684,527,4,2
685,528,5,1
686,528,4,2
687,529,5,1
688,530,5,1
689,531,6,1
690,532,8,1
691,533,8,1
692,534,8,1
693,535,2,1
694,536,2,1
695,537,2,1
696,538,8,1
697,539,8,1
698,540,3,1
699,541,3,1
700,542,3,1
701,543,3,1
702,544,3,1
703,545,3,1
704,546,7,1
705,546,6,2
706,547,7,1
707,547,6,2
708,548,7,1
709,549,7,1
710,550,12,1
711,551,5,1
712,552,5,1
713,553,5,1
714,554,5,1
715,555,5,1
716,556,7,1
717,557,3,1
718,557,10,2
719,558,3,1
720,558,10,2
721,559,5,1
722,559,14,2
723,560,5,1
724,560,14,2
725,561,4,1
726,562,10,1
727,562,11,2
728,563,10,1
729,563,11,2
730,564,2,1
731,564,9,2
732,565,2,1
733,565,9,2
734,566,4,1
735,566,9,2
736,567,4,1
737,567,9,2
738,568,10,1
739,569,10,1
740,570,5,1
741,571,5,1
742,572,5,1
743,573,5,1
744,574,8,1
745,575,8,1
746,576,8,1
747,577,11,1
748,578,11,1
749,579,11,1
750,580,2,1
751,580,4,2
752,581,2,1
753,581,4,2
754,582,10,1
755,583,10,1
756,584,10,1
757,585,5,1
758,586,5,1
759,587,5,1
760,588,3,1
761,589,3,1
762,590,7,1
763,591,7,1
764,592,11,1
765,593,11,1
766,594,2,1
767,594,12,2
768,595,3,1
769,596,3,1
770,597,7,1
771,597,10,2
772,598,7,1
773,598,10,2
774,599,10,1
775,600,10,1
776,601,10,1
777,602,11,1
778,603,11,1
779,604,11,1
780,605,8,1
781,606,8,1
782,607,11,1
783,608,11,1
784,609,11,1
785,610,1,1
786,610,14,2
787,611,1,1
788,611,14,2
789,612,1,1
790,612,14,2
791,613,5,1
792,614,5,1
793,615,10,1
794,616,3,1
795,617,3,1
796,618,2,1
797,618,11,2
798,619,5,1
799,619,8,2
800,620,5,1
801,620,8,2
802,621,14,1
803,621,1,2
804,622,10,1
805,623,10,1
806,624,8,1
807,625,8,1
808,626,5,1
809,627,4,1
810,628,4,1
811,629,4,1
812,630,4,1
813,631,5,1
814,632,3,1
815,633,14,1
816,634,14,1
817,635,14,1
818,636,3,1
819,637,3,1
820,638,15,1
821,639,15,1
822,640,15,1
823,641,15,1
824,642,15,1
825,643,15,1
826,644,15,1
827,645,15,1
828,646,15,1
829,647,15,1
830,648,15,1
831,649,15,1
832,650,5,1
833,651,5,1
834,652,5,1
835,653,5,1
836,654,5,1
837,655,5,1
838,656,2,1
839,657,2,1
840,658,2,1
841,659,5,1
842,660,5,1
843,661,4,1
844,662,4,1
845,663,4,1
846,664,3,1
847,665,3,1
848,666,3,1
849,667,5,1
850,668,5,1
851,669,6,1
852,670,6,1
853,671,6,1
854,672,5,1
855,673,5,1
856,674,5,1
857,674,8,2
858,675,5,1
859,675,8,2
860,676,5,1
861,677,5,1
862,678,5,1
863,679,10,1
864,680,10,1
865,681,10,1
866,682,6,1
867,683,6,1
868,684,6,1
869,685,6,1
870,686,2,1
871,686,12,2
872,687,2,1
873,687,12,2
874,688,9,1
875,689,9,1
876,690,2,1
877,690,14,2
878,691,2,1
879,691,14,2
880,692,2,1
881,692,9,2
882,693,2,1
883,693,9,2
884,694,1,1
885,694,14,2
886,695,1,1
887,695,14,2
888,696,1,1
889,696,14,2
890,697,1,1
891,697,14,2
892,698,1,1
893,699,1,1
894,700,5,1
895,701,4,1
896,701,8,2
897,702,5,1
898,702,6,2
899,703,6,1
900,703,10,2
901,704,14,1
902,705,14,1
903,706,14,1
904,707,10,1
905,708,7,1
906,708,11,2
907,709,7,1
908,709,11,2
909,710,11,1
910,711,11,1
911,712,1,1
912,712,10,2
913,713,1,1
914,713,10,2
915,714,4,1
916,714,14,2
917,715,4,1
918,715,14,2
919,716,15,1
920,717,15,1
921,718,15,1
922,719,15,1
923,720,15,1
924,721,15,1
925,722,4,1
926,723,4,1
927,724,4,1
928,725,5,1
929,726,5,1
930,727,5,1
931,728,2,1
932,728,5,2
933,729,2,1
934,729,5,2
935,730,2,1
936,730,5,2
937,731,4,1
938,732,4,1
939,733,4,1
940,734,5,1
941,735,5,1
942,736,3,1
943,737,3,1
944,738,3,1
945,739,9,1
946,740,9,1
947,741,4,1
948,742,3,1
949,742,6,2
950,743,3,1
951,743,6,2
952,744,5,1
953,745,5,1
954,746,12,1
955,747,2,1
956,748,2,1
957,749,5,1
958,750,5,1
959,751,2,1
960,751,3,2
961,752,2,1
962,752,3,2
963,753,7,1
964,754,7,1
965,755,7,1
966,756,7,1
967,757,1,1
968,757,14,2
969,758,1,1
970,758,14,2
971,759,5,1
972,760,5,1
973,761,7,1
974,762,7,1
975,763,7,1
976,764,7,1
977,765,5,1
978,766,5,1
979,767,3,1
980,767,9,2
981,768,3,1
982,768,9,2
983,769,11,1
984,770,11,1
985,771,2,1
986,772,15,1
987,773,15,1
988,774,10,1
989,775,5,1
990,776,1,1
991,776,14,2
992,777,5,1
993,777,6,2
994,778,11,1
995,779,12,1
996,780,1,1
997,780,14,2
998,781,10,1
999,782,14,1
1000,783,14,1
1001,784,14,1
1002,785,15,1
1003,786,15,1
1004,787,15,1
1005,788,15,1
1006,789,15,1
1007,790,15,1
1008,791,15,1
1009,792,15,1
1010,793,15,1
1011,794,15,1
1012,795,15,1
1013,796,15,1
1014,797,15,1
1015,798,15,1
1016,799,15,1
1017,800,15,1
1018,801,15,1
1019,802,15,1
1020,803,15,1
1021,804,15,1
1022,805,15,1
1023,806,15,1
1024,807,15,1
1025,808,15,1
1026,809,15,1
1027,810,5,1
1028,810,7,2
1029,811,5,1
1030,811,7,2
1031,812,5,1
1032,812,7,2
1033,813,5,1
1034,813,8,2
1035,814,5,1
1036,814,8,2
1037,815,5,1
1038,815,8,2
1039,816,2,1
1040,816,5,2
1041,817,2,1
1042,817,5,2
1043,818,2,1
1044,818,5,2
1045,819,5,1
1046,820,5,1
1047,821,4,1
1048,822,4,1
1049,823,4,1
1050,824,3,1
1051,825,3,1
1052,826,3,1
1053,827,5,1
1054,828,5,1
1055,829,7,1
1056,830,7,1
1057,831,5,1
1058,832,5,1
1059,833,1,1
1060,833,2,2
1061,834,1,1
1062,834,2,2
1063,835,5,1
1064,836,5,1
1065,837,10,1
1066,838,10,1
1067,839,10,1
1068,840,7,1
1069,840,14,2
1070,841,7,1
1071,841,14,2
1072,842,7,1
1073,842,14,2
1074,843,5,1
1075,843,14,2
1076,844,5,1
1077,844,14,2
1078,845,2,1
1079,845,4,2
1080,846,12,1
1081,847,12,1
1082,848,15,1
1083,849,8,1
1084,850,3,1
1085,851,3,1
1086,852,2,1
1087,852,8,2
1088,853,2,1
1089,853,8,2
1090,854,10,1
1091,854,11,2
1092,855,10,1
1093,855,11,2
1094,856,6,1
1095,857,6,1
1096,858,6,1
1097,859,6,1
1098,859,8,2
1099,860,6,1
1100,860,8,2
1101,861,6,1
1102,861,8,2
1103,862,5,1
1104,863,5,1
1105,864,2,1
1106,864,9,2
1107,865,4,1
1108,865,5,2
1109,866,8,1
1110,867,10,1
1111,867,11,2
1112,868,6,1
1113,868,11,2
1114,869,6,1
1115,869,11,2
1116,870,6,1
1117,870,10,2
1118,871,2,1
1119,871,11,2
1120,872,3,1
1121,873,3,1
1122,874,10,1
1123,875,2,1
1124,875,5,2
1125,876,6,1
1126,877,5,1
1127,877,6,2
1128,878,5,1
1129,878,10,2
1130,879,5,1
1131,879,10,2
1132,880,15,1
1133,881,15,1
1134,882,15,1
1135,883,15,1
1136,884,10,1
1137,884,14,2
1138,885,11,1
1139,885,14,2
1140,886,11,1
1141,886,14,2
1142,887,11,1
1143,887,14,2
1144,888,15,1
1145,889,15,1
1146,890,15,1
1147,891,15,1
1148,892,15,1
1149,893,15,1
1150,894,15,1
1151,895,15,1
1152,896,15,1
1153,897,15,1
1154,898,15,1
1155,899,5,1
1156,900,3,1
1157,901,5,1
1158,902,12,1
1159,903,5,1
1160,904,12,1
1161,905,15,1
1162,906,5,1
1163,906,7,2
1164,907,5,1
1165,907,7,2
1166,908,5,1
1167,908,7,2
1168,909,5,1
1169,910,5,1
1170,911,5,1
1171,912,4,1
1172,912,2,2
1173,913,4,1
1174,913,2,2
1175,914,4,1
1176,914,2,2
1177,915,5,1
1178,916,5,1
1179,917,3,1
1180,918,3,1
1181,919,3,1
1182,920,3,1
1183,921,5,1
1184,922,5,1
1185,923,5,1
1186,924,5,1
1187,924,6,2
1188,925,5,1
1189,925,6,2
1190,926,5,1
1191,926,10,2
1192,927,5,1
1193,927,10,2
1194,928,7,1
1195,929,7,1
1196,930,7,1
1197,931,4,1
1198,932,10,1
1199,933,10,1
1200,934,10,1
1201,935,8,1
1202,936,8,1
1203,937,8,1
1204,938,2,1
1205,939,2,1
1206,940,2,1
1207,940,4,2
1208,941,2,1
1209,941,4,2
1210,942,5,1
1211,943,5,1
1212,944,5,1
1213,945,5,1
1214,946,7,1
1215,947,7,1
1216,948,7,1
1217,949,7,1
1218,950,9,1
1219,951,7,1
1220,952,7,1
1221,953,3,1
1222,954,3,1
1223,955,4,1
1224,956,4,1
1225,957,6,1
1226,958,6,1
1227,959,6,1
1228,960,9,1
1229,961,9,1
1230,962,4,1
1231,963,5,1
1232,963,12,2
1233,964,5,1
1234,964,12,2
1235,965,10,1
1236,966,10,1
1237,967,5,1
1238,968,5,1
1239,969,10,1
1240,970,10,1
1241,971,5,1
1242,972,5,1
1243,973,4,1
1244,974,5,1
1245,975,5,1
1246,976,12,1
1247,977,12,1
1248,978,12,1
1249,979,5,1
1250,980,2,1
1251,980,5,2
1252,981,5,1
1253,982,5,1
1254,983,8,1
1255,984,15,1
1256,985,15,1
1257,986,15,1
1258,987,15,1
1259,988,15,1
1260,989,15,1
1261,990,15,1
1262,991,15,1
1263,992,15,1
1264,993,15,1
1265,994,15,1
1266,995,15,1
1267,996,14,1
1268,996,10,2
1269,997,14,1
1270,997,10,2
1271,998,14,1
1272,998,10,2
1273,999,15,1
1274,1000,15,1
1275,1001,15,1
1276,1002,15,1
1277,1003,15,1
1278,1004,15,1
1279,1005,15,1
1280,1006,15,1
1281,1007,15,1
1282,1008,15,1
1283,1009,15,1
1284,1010,15,1
1285,1011,7,1
1286,1011,14,2
1287,1012,10,1
1288,1012,11,2
1289,1013,10,1
1290,1013,11,2
1291,1014,15,1
1292,1015,15,1
1293,1016,15,1
1294,1017,15,1
1295,1018,10,1
1296,1018,14,2
1297,1019,7,1
1298,1019,14,2
1299,1020,15,1
1300,1021,15,1
1301,1022,15,1
1302,1023,15,1
1303,1024,15,1
1304,1025,15,1
