id,code,name,species_id,inherits_from_creature_id,height,weight,base_experience,sort_order,default_form,enabled
70,weepinbell,口呆花,70,,10,64,137,111,true,true
71,victreebel,大食花,71,,17,155,221,112,true,true
72,tentacool,玛瑙水母,72,,9,455,67,113,true,true
73,tentacruel,毒刺水母,73,,16,550,180,114,true,true
74,geodude,小拳石,74,,4,200,60,115,true,true
75,graveler,隆隆石,75,,10,1050,137,117,true,true
76,golem,隆隆岩,76,,14,3000,223,119,true,true
77,ponyta,小火马,77,,10,300,82,121,true,true
78,rapidash,烈焰马,78,,17,950,175,123,true,true
79,slowpoke,呆呆兽,79,,12,360,63,125,true,true
80,slowbro,呆壳兽,80,,16,785,172,127,true,true
81,magnemite,小磁怪,81,,3,60,65,132,true,true
82,magneton,三合一磁怪,82,,10,600,163,133,true,true
83,farfetchd,大葱鸭,83,,8,150,132,135,true,true
84,doduo,嘟嘟,84,,14,392,62,137,true,true
85,dodrio,嘟嘟利,85,,18,852,165,138,true,true
86,seel,小海狮,86,,11,900,65,139,true,true
87,dewgong,白海狮,87,,17,1200,166,140,true,true
88,grimer,臭泥,88,,9,300,65,141,true,true
89,muk,臭臭泥,89,,12,300,175,143,true,true
90,shellder,大舌贝,90,,3,40,61,145,true,true
91,cloyster,刺甲贝,91,,15,1325,184,146,true,true
92,gastly,鬼斯,92,,13,1,62,147,true,true
93,haunter,鬼斯通,93,,16,1,142,148,true,true
94,gengar,耿鬼,94,,15,405,225,149,true,true
95,onix,大岩蛇,95,,88,2100,77,151,true,true
96,drowzee,催眠貘,96,,10,324,66,154,true,true
97,hypno,引梦貘人,97,,16,756,169,155,true,true
98,krabby,大钳蟹,98,,4,65,65,156,true,true
99,kingler,巨钳蟹,99,,13,600,166,157,true,true
100,voltorb,霹雳电球,100,,5,104,66,158,true,true
101,electrode,顽皮雷弹,101,,12,666,172,159,true,true
102,exeggcute,蛋蛋,102,,4,25,65,160,true,true
103,exeggutor,椰蛋树,103,,20,1200,186,161,true,true
104,cubone,卡拉卡拉,104,,4,65,64,163,true,true
105,marowak,嘎啦嘎啦,105,,10,450,149,164,true,true
106,hitmonlee,飞腿郎,106,,15,498,159,168,true,true
107,hitmonchan,快拳郎,107,,14,502,159,169,true,true
108,lickitung,大舌头,108,,12,655,77,171,true,true
109,koffing,瓦斯弹,109,,6,10,68,173,true,true
110,weezing,双弹瓦斯,110,,12,95,172,174,true,true
111,rhyhorn,独角犀牛,111,,10,1150,69,176,true,true
112,rhydon,钻角犀兽,112,,19,1200,170,177,true,true
113,chansey,吉利蛋,113,,11,346,395,180,true,true
114,tangela,蔓藤怪,114,,10,350,87,182,true,true
115,kangaskhan,袋兽,115,,22,800,172,184,true,true
116,horsea,墨海马,116,,4,80,59,186,true,true
117,seadra,海刺龙,117,,12,250,154,187,true,true
118,goldeen,角金鱼,118,,6,150,64,189,true,true
119,seaking,金鱼王,119,,13,390,158,190,true,true
120,staryu,海星星,120,,8,345,68,191,true,true
121,starmie,宝石海星,121,,11,800,182,192,true,true
122,mr-mime,魔墙人偶,122,,13,545,161,194,true,true
123,scyther,飞天螳螂,123,,15,560,100,196,true,true
124,jynx,迷唇姐,124,,14,406,159,200,true,true
125,electabuzz,电击兽,125,,11,300,172,202,true,true
126,magmar,鸭嘴火兽,126,,13,445,173,205,true,true
127,pinsir,凯罗斯,127,,15,550,175,207,true,true
128,tauros,肯泰罗,128,,14,884,172,209,true,true
129,magikarp,鲤鱼王,129,,9,100,40,210,true,true
130,gyarados,暴鲤龙,130,,65,2350,189,211,true,true
131,lapras,拉普拉斯,131,,25,2200,187,213,true,true
132,ditto,百变怪,132,,3,40,101,214,true,false
133,eevee,伊布,133,,3,65,65,215,true,true
134,vaporeon,水伊布,134,,10,290,184,217,true,true
135,jolteon,雷伊布,135,,8,245,184,218,true,true
136,flareon,火伊布,136,,9,250,184,219,true,true
137,porygon,多边兽,137,,8,365,79,225,true,true
138,omanyte,菊石兽,138,,4,75,71,228,true,true
139,omastar,多刺菊石兽,139,,10,350,173,229,true,true
140,kabuto,化石盔,140,,5,115,71,230,true,true
141,kabutops,镰刀盔,141,,13,405,173,231,true,true
142,aerodactyl,化石翼龙,142,,18,590,180,232,true,true
143,snorlax,卡比兽,143,,21,4600,189,235,true,true
144,articuno,急冻鸟,144,,17,554,261,236,true,true
145,zapdos,闪电鸟,145,,16,526,261,238,true,true
146,moltres,火焰鸟,146,,20,600,261,240,true,true
147,dratini,迷你龙,147,,18,33,60,242,true,true
148,dragonair,哈克龙,148,,40,165,147,243,true,true
149,dragonite,快龙,149,,22,2100,270,244,true,true
150,mewtwo,超梦,150,,20,1220,306,245,true,true
151,mew,梦幻,151,,4,40,270,248,true,true
152,chikorita,菊草叶,152,,9,64,64,249,true,true
153,bayleef,月桂叶,153,,12,158,142,250,true,true
154,meganium,大竺葵,154,,18,1005,236,251,true,true
155,cyndaquil,火球鼠,155,,5,79,62,252,true,true
156,quilava,火岩鼠,156,,9,190,142,253,true,true
157,typhlosion,火暴兽,157,,17,795,240,254,true,true
158,totodile,小锯鳄,158,,6,95,63,255,true,true
159,croconaw,蓝鳄,159,,11,250,142,256,true,true
160,feraligatr,大力鳄,160,,23,888,239,257,true,true
161,sentret,尾立,161,,8,60,43,258,true,true
162,furret,大尾立,162,,18,325,145,259,true,true
163,hoothoot,咕咕,163,,7,212,52,260,true,true
164,noctowl,猫头夜鹰,164,,16,408,158,261,true,true
165,ledyba,芭瓢虫,165,,10,108,53,262,true,true
166,ledian,安瓢虫,166,,14,356,137,263,true,true
167,spinarak,圆丝蛛,167,,5,85,50,264,true,true
168,ariados,阿利多斯,168,,11,335,140,265,true,true
169,crobat,叉字蝠,169,,18,750,241,75,true,true
170,chinchou,灯笼鱼,170,,5,120,66,266,true,true
171,lanturn,电灯怪,171,,12,225,161,267,true,true
172,pichu,皮丘,172,,3,20,41,34,true,true
173,cleffa,皮宝宝,173,,3,30,44,63,true,true
174,igglybuff,宝宝丁,174,,3,10,42,70,true,true
175,togepi,波克比,175,,3,15,49,268,true,true
176,togetic,波克基古,176,,6,32,142,269,true,true
177,natu,天然雀,177,,2,20,64,271,true,true
178,xatu,天然鸟,178,,15,150,165,272,true,true
179,mareep,咩利羊,179,,6,78,56,273,true,true
180,flaaffy,茸茸羊,180,,8,133,128,274,true,true
181,ampharos,电龙,181,,14,615,230,275,true,true
182,bellossom,美丽花,182,,4,58,221,79,true,true
183,marill,玛力露,183,,4,85,88,278,true,true
184,azumarill,玛力露丽,184,,8,285,189,279,true,true
185,sudowoodo,树才怪,185,,12,380,144,281,true,true
186,politoed,蚊香蛙皇,186,,11,339,225,102,true,true
187,hoppip,毽子草,187,,4,5,50,282,true,true
188,skiploom,毽子花,188,,6,10,119,283,true,true
189,jumpluff,毽子棉,189,,8,30,207,284,true,true
190,aipom,长尾怪手,190,,8,115,72,285,true,true
191,sunkern,向日种子,191,,3,18,36,287,true,true
192,sunflora,向日花怪,192,,8,85,149,288,true,true
193,yanma,蜻蜻蜓,193,,12,380,78,289,true,true
194,wooper,乌波,194,,4,85,42,291,true,true
195,quagsire,沼王,195,,14,750,151,292,true,true
196,espeon,太阳伊布,196,,9,265,184,220,true,true
197,umbreon,月亮伊布,197,,10,270,184,221,true,true
198,murkrow,黑暗鸦,198,,5,21,81,293,true,true
199,slowking,呆呆王,199,,20,795,172,130,true,true
200,misdreavus,梦妖,200,,7,10,87,295,true,true
201,unown,未知图腾,201,,5,50,118,297,true,false
202,wobbuffet,果然翁,202,,13,285,142,299,true,true
203,girafarig,麒麟奇,203,,15,415,159,300,true,true
204,pineco,榛果球,204,,6,72,58,301,true,true
205,forretress,佛烈托斯,205,,12,1258,163,302,true,true
206,dunsparce,土龙弟弟,206,,15,140,145,303,true,true
207,gligar,天蝎,207,,11,648,86,304,true,true
208,steelix,大钢蛇,208,,92,4000,179,152,true,true
209,snubbull,布鲁,209,,6,78,60,306,true,true
210,granbull,布鲁皇,210,,14,487,158,307,true,true
211,qwilfish,千针鱼,211,,5,39,88,308,true,true
212,scizor,巨钳螳螂,212,,18,1180,175,197,true,true
213,shuckle,壶壶,213,,6,205,177,309,true,true
214,heracross,赫拉克罗斯,214,,15,540,175,310,true,true
215,sneasel,狃拉,215,,9,280,86,312,true,true
216,teddiursa,熊宝宝,216,,6,88,66,314,true,true
217,ursaring,圈圈熊,217,,18,1258,175,315,true,true
218,slugma,熔岩虫,218,,7,350,50,316,true,true
219,magcargo,熔岩蜗牛,219,,8,550,151,317,true,true
220,swinub,小山猪,220,,4,65,50,318,true,true
221,piloswine,长毛猪,221,,11,558,158,319,true,true
222,corsola,太阳珊瑚,222,,6,50,144,321,true,true
223,remoraid,铁炮鱼,223,,6,120,60,323,true,true
224,octillery,章鱼桶,224,,9,285,168,324,true,true
225,delibird,信使鸟,225,,9,160,116,325,true,true
226,mantine,巨翅飞鱼,226,,21,2200,170,327,true,true
227,skarmory,盔甲鸟,227,,17,505,163,328,true,true
228,houndour,戴鲁比,228,,6,108,66,329,true,true
229,houndoom,黑鲁加,229,,14,350,175,330,true,true
230,kingdra,刺龙王,230,,18,1520,243,188,true,true
231,phanpy,小小象,231,,5,335,66,332,true,true
232,donphan,顿甲,232,,11,1200,175,333,true,true
233,porygon2,多边兽２型,233,,6,325,180,226,true,true
234,stantler,惊角鹿,234,,14,712,163,334,true,true
235,smeargle,图图犬,235,,12,580,88,335,true,false
236,tyrogue,无畏小子,236,,7,210,42,167,true,true
237,hitmontop,战舞郎,237,,14,480,159,170,true,true
238,smoochum,迷唇娃,238,,4,60,61,199,true,true
239,elekid,电击怪,239,,6,235,72,201,true,true
240,magby,鸭嘴宝宝,240,,7,214,73,204,true,true
241,miltank,大奶罐,241,,12,755,172,336,true,true
242,blissey,幸福蛋,242,,15,468,608,181,true,true
243,raikou,雷公,243,,19,1780,261,337,true,true
244,entei,炎帝,244,,21,1980,261,338,true,true
245,suicune,水君,245,,20,1870,261,339,true,true
246,larvitar,幼基拉斯,246,,6,720,60,340,true,true
247,pupitar,沙基拉斯,247,,12,1520,144,341,true,true
248,tyranitar,班基拉斯,248,,20,2020,270,342,true,true
249,lugia,洛奇亚,249,,52,2160,306,344,true,true
250,ho-oh,凤王,250,,38,1990,306,345,true,true
251,celebi,时拉比,251,,6,50,270,346,true,true
252,treecko,木守宫,252,,5,50,62,347,true,true
253,grovyle,森林蜥蜴,253,,9,216,142,348,true,true
254,sceptile,蜥蜴王,254,,17,522,239,349,true,true
255,torchic,火稚鸡,255,,4,25,62,351,true,true
256,combusken,力壮鸡,256,,9,195,142,352,true,true
257,blaziken,火焰鸡,257,,19,520,239,353,true,true
258,mudkip,水跃鱼,258,,4,76,62,355,true,true
259,marshtomp,沼跃鱼,259,,7,280,142,356,true,true
260,swampert,巨沼怪,260,,15,819,241,357,true,true
261,poochyena,土狼犬,261,,5,136,56,359,true,true
262,mightyena,大狼犬,262,,10,370,147,360,true,true
263,zigzagoon,蛇纹熊,263,,4,175,56,361,true,true
264,linoone,直冲熊,264,,5,325,147,363,true,true
265,wurmple,刺尾虫,265,,3,36,56,365,true,true
266,silcoon,甲壳茧,266,,6,100,72,366,true,true
267,beautifly,狩猎凤蝶,267,,10,284,178,367,true,true
268,cascoon,盾甲茧,268,,7,115,72,368,true,true
269,dustox,毒粉蛾,269,,12,316,173,369,true,true
270,lotad,莲叶童子,270,,5,26,44,370,true,true
271,lombre,莲帽小童,271,,12,325,119,371,true,true
272,ludicolo,乐天河童,272,,15,550,216,372,true,true
273,seedot,橡实果,273,,5,40,44,373,true,true
274,nuzleaf,长鼻叶,274,,10,280,119,374,true,true
275,shiftry,狡猾天狗,275,,13,596,216,375,true,true
276,taillow,傲骨燕,276,,3,23,54,376,true,true
277,swellow,大王燕,277,,7,198,159,377,true,true
278,wingull,长翅鸥,278,,6,95,54,378,true,true
279,pelipper,大嘴鸥,279,,12,280,154,379,true,true
280,ralts,拉鲁拉丝,280,,4,66,40,380,true,true
281,kirlia,奇鲁莉安,281,,8,202,97,381,true,true
282,gardevoir,沙奈朵,282,,16,484,233,382,true,true
283,surskit,溜溜糖球,283,,5,17,54,386,true,true
284,masquerain,雨翅蛾,284,,8,36,159,387,true,true
285,shroomish,蘑蘑菇,285,,4,45,59,388,true,true
286,breloom,斗笠菇,286,,12,392,161,389,true,true
287,slakoth,懒人獭,287,,8,240,56,390,true,true
288,vigoroth,过动猿,288,,14,465,154,391,true,true
289,slaking,请假王,289,,20,1305,252,392,true,true
290,nincada,土居忍士,290,,5,55,53,393,true,true
291,ninjask,铁面忍者,291,,8,120,160,394,true,true
292,shedinja,脱壳忍者,292,,8,12,83,395,true,true
293,whismur,咕妞妞,293,,6,163,48,396,true,true
294,loudred,吼爆弹,294,,10,405,126,397,true,true
295,exploud,爆音怪,295,,15,840,221,398,true,true
296,makuhita,幕下力士,296,,10,864,47,399,true,true
297,hariyama,铁掌力士,297,,23,2538,166,400,true,true
298,azurill,露力丽,298,,2,20,38,277,true,true
299,nosepass,朝北鼻,299,,10,970,75,401,true,true
300,skitty,向尾喵,300,,6,110,52,403,true,true
301,delcatty,优雅猫,301,,11,326,140,404,true,true
302,sableye,勾魂眼,302,,5,110,133,405,true,true
303,mawile,大嘴娃,303,,6,115,133,407,true,true
304,aron,可可多拉,304,,4,600,66,409,true,true
305,lairon,可多拉,305,,9,1200,151,410,true,true
306,aggron,波士可多拉,306,,21,3600,239,411,true,true
307,meditite,玛沙那,307,,6,112,56,413,true,true
308,medicham,恰雷姆,308,,13,315,144,414,true,true
309,electrike,落雷兽,309,,6,152,59,416,true,true
310,manectric,雷电兽,310,,15,402,166,417,true,true
311,plusle,正电拍拍,311,,4,42,142,419,true,true
312,minun,負电拍拍,312,,4,42,142,420,true,true
313,volbeat,电萤虫,313,,7,177,151,421,true,true
314,illumise,甜甜萤,314,,6,177,151,422,true,true
315,roselia,毒蔷薇,315,,3,20,140,424,true,true
316,gulpin,溶食兽,316,,4,103,60,426,true,true
317,swalot,吞食兽,317,,17,800,163,427,true,true
318,carvanha,利牙鱼,318,,8,208,61,428,true,true
319,sharpedo,巨牙鲨,319,,18,888,161,429,true,true
320,wailmer,吼吼鲸,320,,20,1300,80,431,true,true
321,wailord,吼鲸王,321,,145,3980,175,432,true,true
322,numel,呆火驼,322,,7,240,61,433,true,true
323,camerupt,喷火驼,323,,19,2200,161,434,true,true
324,torkoal,煤炭龟,324,,5,804,165,436,true,true
325,spoink,跳跳猪,325,,7,306,66,437,true,true
326,grumpig,噗噗猪,326,,9,715,165,438,true,true
327,spinda,晃晃斑,327,,11,50,126,439,true,true
328,trapinch,大颚蚁,328,,7,150,58,440,true,true
329,vibrava,超音波幼虫,329,,11,153,119,441,true,true
330,flygon,沙漠蜻蜓,330,,20,820,234,442,true,true
331,cacnea,刺球仙人掌,331,,4,513,67,443,true,true
332,cacturne,梦歌仙人掌,332,,13,774,166,444,true,true
333,swablu,青绵鸟,333,,4,12,62,445,true,true
334,altaria,七夕青鸟,334,,11,206,172,446,true,true
335,zangoose,猫鼬斩,335,,13,403,160,448,true,true
336,seviper,饭匙蛇,336,,27,525,160,449,true,true
337,lunatone,月石,337,,10,1680,161,450,true,true
338,solrock,太阳岩,338,,12,1540,161,451,true,true
339,barboach,泥泥鳅,339,,4,19,58,452,true,true
340,whiscash,鲶鱼王,340,,9,236,164,453,true,true
341,corphish,龙虾小兵,341,,6,115,62,454,true,true
342,crawdaunt,铁螯龙虾,342,,11,328,164,455,true,true
343,baltoy,天秤偶,343,,5,215,60,456,true,true
344,claydol,念力土偶,344,,15,1080,175,457,true,true
345,lileep,触手百合,345,,10,238,71,458,true,true
346,cradily,摇篮百合,346,,15,604,173,459,true,true
347,anorith,太古羽虫,347,,7,125,71,460,true,true
348,armaldo,太古盔甲,348,,15,682,173,461,true,true
349,feebas,丑丑鱼,349,,6,74,40,462,true,true
350,milotic,美纳斯,350,,62,1620,189,463,true,true
351,castform,飘浮泡泡,351,,3,8,147,464,true,true
352,kecleon,变隐龙,352,,10,220,154,468,true,true
353,shuppet,怨影娃娃,353,,6,23,59,469,true,true
354,banette,诅咒娃娃,354,,11,125,159,470,true,true
355,duskull,夜巡灵,355,,8,150,59,472,true,true
356,dusclops,彷徨夜灵,356,,16,306,159,473,true,true
357,tropius,热带龙,357,,20,1000,161,475,true,true
358,chimecho,风铃铃,358,,6,10,159,477,true,true
359,absol,阿勃梭鲁,359,,12,470,163,478,true,true
360,wynaut,小果然,360,,6,140,52,298,true,true
361,snorunt,雪童子,361,,7,168,60,480,true,true
362,glalie,冰鬼护,362,,15,2565,168,481,true,true
363,spheal,海豹球,363,,8,395,58,484,true,true
364,sealeo,海魔狮,364,,11,876,144,485,true,true
365,walrein,帝牙海狮,365,,14,1506,239,486,true,true
366,clamperl,珍珠贝,366,,4,525,69,487,true,true
367,huntail,猎斑鱼,367,,17,270,170,488,true,true
368,gorebyss,樱花鱼,368,,18,226,170,489,true,true
369,relicanth,古空棘鱼,369,,10,234,170,490,true,true
370,luvdisc,爱心鱼,370,,6,87,116,491,true,true
371,bagon,宝贝龙,371,,6,421,60,492,true,true
372,shelgon,甲壳龙,372,,11,1105,147,493,true,true
373,salamence,暴飞龙,373,,15,1026,270,494,true,true
374,beldum,铁哑铃,374,,6,952,60,496,true,true
375,metang,金属怪,375,,12,2025,147,497,true,true
376,metagross,巨金怪,376,,16,5500,270,498,true,true
377,regirock,雷吉洛克,377,,17,2300,261,500,true,true
378,regice,雷吉艾斯,378,,18,1750,261,501,true,true
379,registeel,雷吉斯奇鲁,379,,19,2050,261,502,true,true
380,latias,拉帝亚斯,380,,14,400,270,503,true,true
381,latios,拉帝欧斯,381,,20,600,270,505,true,true
382,kyogre,盖欧卡,382,,45,3520,302,507,true,true
383,groudon,固拉多,383,,35,9500,302,509,true,true
384,rayquaza,烈空坐,384,,70,2065,306,511,true,true
385,jirachi,基拉祈,385,,3,11,270,513,true,true
386,deoxys-normal,代欧奇希斯,386,,17,608,270,514,true,true
387,turtwig,草苗龟,387,,4,102,64,518,true,true
388,grotle,树林龟,388,,11,970,142,519,true,true
389,torterra,土台龟,389,,22,3100,236,520,true,true
390,chimchar,小火焰猴,390,,5,62,62,521,true,true
391,monferno,猛火猴,391,,9,220,142,522,true,true
392,infernape,烈焰猴,392,,12,550,240,523,true,true
393,piplup,波加曼,393,,4,52,63,524,true,true
394,prinplup,波皇子,394,,8,230,142,525,true,true
395,empoleon,帝王拿波,395,,17,845,239,526,true,true
396,starly,姆克儿,396,,3,20,49,527,true,true
397,staravia,姆克鸟,397,,6,155,119,528,true,true
398,staraptor,姆克鹰,398,,12,249,218,529,true,true
399,bidoof,大牙狸,399,,5,200,50,530,true,true
400,bibarel,大尾狸,400,,10,315,144,531,true,true
401,kricketot,圆法师,401,,3,22,39,532,true,true
402,kricketune,音箱蟀,402,,10,255,134,533,true,true
403,shinx,小猫怪,403,,5,95,53,534,true,true
404,luxio,勒克猫,404,,9,305,127,535,true,true
405,luxray,伦琴猫,405,,14,420,235,536,true,true
406,budew,含羞苞,406,,2,12,56,423,true,true
407,roserade,罗丝雷朵,407,,9,145,232,425,true,true
408,cranidos,头盖龙,408,,9,315,70,537,true,true
409,rampardos,战槌龙,409,,16,1025,173,538,true,true
410,shieldon,盾甲龙,410,,5,570,70,539,true,true
411,bastiodon,护城龙,411,,13,1495,173,540,true,true
412,burmy,结草儿,412,,2,34,45,541,true,true
413,wormadam-plant,结草贵妇,413,,5,65,148,542,true,true
414,mothim,绅士蛾,414,,9,233,148,545,true,true
415,combee,三蜜蜂,415,,3,55,49,546,true,true
416,vespiquen,蜂女王,416,,12,385,166,547,true,true
417,pachirisu,帕奇利兹,417,,4,39,142,548,true,true
418,buizel,泳圈鼬,418,,7,295,66,549,true,true
419,floatzel,浮潜鼬,419,,11,335,173,550,true,true
420,cherubi,樱花宝,420,,4,33,55,551,true,true
421,cherrim,樱花儿,421,,5,93,158,552,true,true
422,shellos,无壳海兔,422,,3,63,65,553,true,true
423,gastrodon,海兔兽,423,,9,299,166,554,true,true
424,ambipom,双尾怪手,424,,12,203,169,286,true,true
425,drifloon,飘飘球,425,,4,12,70,555,true,true
426,drifblim,随风球,426,,12,150,174,556,true,true
427,buneary,卷卷耳,427,,4,55,70,557,true,true
428,lopunny,长耳兔,428,,12,333,168,558,true,true
429,mismagius,梦妖魔,429,,9,44,173,296,true,true
430,honchkrow,乌鸦头头,430,,9,273,177,294,true,true
431,glameow,魅力喵,431,,5,39,62,560,true,true
432,purugly,东施喵,432,,10,438,158,561,true,true
433,chingling,铃铛响,433,,2,6,57,476,true,true
434,stunky,臭鼬噗,434,,4,192,66,562,true,true
435,skuntank,坦克臭鼬,435,,10,380,168,563,true,true
436,bronzor,铜镜怪,436,,5,605,60,564,true,true
437,bronzong,青铜钟,437,,13,1870,175,565,true,true
438,bonsly,盆才怪,438,,5,150,58,280,true,true
439,mime-jr,魔尼尼,439,,6,130,62,193,true,true
440,happiny,小福蛋,440,,6,244,110,179,true,true
441,chatot,聒噪鸟,441,,5,19,144,566,true,true
442,spiritomb,花岩怪,442,,10,1080,170,567,true,true
443,gible,圆陆鲨,443,,7,205,60,568,true,true
444,gabite,尖牙陆鲨,444,,14,560,144,569,true,true
445,garchomp,烈咬陆鲨,445,,19,950,270,570,true,true
446,munchlax,小卡比兽,446,,6,1050,78,234,true,true
447,riolu,利欧路,447,,7,202,57,572,true,true
448,lucario,路卡利欧,448,,12,540,184,573,true,true
449,hippopotas,沙河马,449,,8,495,66,575,true,true
450,hippowdon,河马兽,450,,20,3000,184,576,true,true
451,skorupi,钳尾蝎,451,,8,120,66,577,true,true
452,drapion,龙王蝎,452,,13,615,175,578,true,true
453,croagunk,不良蛙,453,,7,230,60,579,true,true
454,toxicroak,毒骷蛙,454,,13,444,172,580,true,true
455,carnivine,尖牙笼,455,,14,270,159,581,true,true
456,finneon,荧光鱼,456,,4,70,66,582,true,true
457,lumineon,霓虹鱼,457,,12,240,161,583,true,true
458,mantyke,小球飞鱼,458,,10,650,69,326,true,true
459,snover,雪笠怪,459,,10,505,67,584,true,true
460,abomasnow,暴雪王,460,,22,1355,173,585,true,true
461,weavile,玛狃拉,461,,11,340,179,313,true,true
462,magnezone,自爆磁怪,462,,12,1800,241,134,true,true
463,lickilicky,大舌舔,463,,17,1400,180,172,true,true
464,rhyperior,超甲狂犀,464,,24,2828,241,178,true,true
465,tangrowth,巨蔓藤,465,,20,1286,187,183,true,true
466,electivire,电击魔兽,466,,18,1386,243,203,true,true
467,magmortar,鸭嘴炎兽,467,,16,680,243,206,true,true
468,togekiss,波克基斯,468,,15,380,245,270,true,true
469,yanmega,远古巨蜓,469,,19,515,180,290,true,true
470,leafeon,叶伊布,470,,10,255,184,222,true,true
471,glaceon,冰伊布,471,,8,259,184,223,true,true
472,gliscor,天蝎王,472,,20,425,179,305,true,true
473,mamoswine,象牙猪,473,,25,2910,239,320,true,true
474,porygon-z,多边兽乙型,474,,9,340,241,227,true,true
475,gallade,艾路雷朵,475,,16,520,233,384,true,true
476,probopass,大朝北鼻,476,,14,3400,184,402,true,true
477,dusknoir,黑夜魔灵,477,,22,1066,236,474,true,true
478,froslass,雪妖女,478,,13,266,168,483,true,true
479,rotom,洛托姆,479,,3,3,154,587,true,true
480,uxie,由克希,480,,3,3,261,593,true,true
481,mesprit,艾姆利多,481,,3,3,261,594,true,true
482,azelf,亚克诺姆,482,,3,3,261,595,true,true
483,dialga,帝牙卢卡,483,,54,6830,306,596,true,true
484,palkia,帕路奇亚,484,,42,3360,306,597,true,true
485,heatran,席多蓝恩,485,,17,4300,270,598,true,true
486,regigigas,雷吉奇卡斯,486,,37,4200,302,599,true,true
487,giratina-altered,骑拉帝纳,487,,45,7500,306,600,true,true
488,cresselia,克雷色利亚,488,,15,856,270,602,true,true
