id,code,name,element_id,damage_class_id,accuracy,power,pp,priority,effect_chance,enabled
197,detect,看穿,2,1,,,5,4,,true
198,bone-rush,骨棒乱打,5,2,90,25,10,0,,true
199,lock-on,锁定,1,1,,,5,0,,true
200,outrage,逆鳞,16,2,100,120,10,0,,true
201,sandstorm,沙暴,6,1,,,10,0,,true
202,giga-drain,终极吸取,12,3,100,75,10,0,,true
203,endure,挺住,1,1,,,10,4,,true
204,charm,撒娇,18,1,100,,20,0,,true
205,rollout,滚动,6,2,90,30,20,0,,true
206,false-swipe,点到为止,1,2,100,40,40,0,,true
207,swagger,虚张声势,1,1,85,,15,0,,true
208,milk-drink,喝牛奶,1,1,,,5,0,,true
209,spark,电光,13,2,100,65,20,0,30,true
210,fury-cutter,连斩,7,2,95,40,20,0,,true
211,steel-wing,钢翼,9,2,90,70,25,0,10,true
212,mean-look,黑色目光,1,1,,,5,0,,true
213,attract,迷人,1,1,100,,15,0,,true
214,sleep-talk,梦话,1,1,,,10,0,,true
215,heal-bell,治愈铃声,1,1,,,5,0,,true
216,return,报恩,1,2,100,,20,0,,true
217,present,礼物,1,2,90,,15,0,,true
218,frustration,迁怒,1,2,100,,20,0,,true
219,safeguard,神秘守护,1,1,,,25,0,,true
220,pain-split,分担痛楚,1,1,,,20,0,,true
221,sacred-fire,神圣之火,10,2,95,100,5,0,50,true
222,magnitude,震级,5,2,100,,30,0,,true
223,dynamic-punch,爆裂拳,2,2,50,100,5,0,100,true
224,megahorn,超级角击,7,2,85,120,10,0,,true
225,dragon-breath,龙息,16,3,100,60,20,0,30,true
226,baton-pass,接棒,1,1,,,40,0,,true
227,encore,再来一次,1,1,100,,5,0,,true
228,pursuit,追打,17,2,100,40,20,0,,true
229,rapid-spin,高速旋转,1,2,100,50,40,0,100,true
230,sweet-scent,甜甜香气,1,1,100,,20,0,,true
231,iron-tail,铁尾,9,2,75,100,15,0,30,true
232,metal-claw,金属爪,9,2,95,50,35,0,10,true
233,vital-throw,借力摔,2,2,,70,10,-1,,true
234,morning-sun,晨光,1,1,,,5,0,,true
235,synthesis,光合作用,12,1,,,5,0,,true
236,moonlight,月光,18,1,,,5,0,,true
237,hidden-power,觉醒力量,1,3,100,60,15,0,,true
238,cross-chop,十字劈,2,2,80,100,5,0,,true
239,twister,龙卷风,16,3,100,40,20,0,20,true
240,rain-dance,求雨,11,1,,,5,0,,true
241,sunny-day,大晴天,10,1,,,5,0,,true
242,crunch,咬碎,17,2,100,80,15,0,20,true
243,mirror-coat,镜面反射,14,3,100,,20,-5,,true
244,psych-up,自我暗示,1,1,,,10,0,,true
245,extreme-speed,神速,1,2,100,80,5,2,,true
246,ancient-power,原始之力,6,3,100,60,5,0,10,true
247,shadow-ball,暗影球,8,3,100,80,15,0,20,true
248,future-sight,预知未来,14,3,100,120,10,0,,true
249,rock-smash,碎岩,2,2,100,40,15,0,50,true
250,whirlpool,潮旋,11,3,85,35,15,0,100,true
251,beat-up,围攻,17,2,100,,10,0,,true
252,fake-out,击掌奇袭,1,2,100,40,10,3,100,true
253,uproar,吵闹,1,3,100,90,10,0,,true
254,stockpile,蓄力,1,1,,,20,0,,true
255,spit-up,喷出,1,3,100,,10,0,,true
256,swallow,吞下,1,1,,,10,0,,true
257,heat-wave,热风,10,3,90,95,10,0,10,true
258,hail,冰雹,15,1,,,10,0,,true
259,torment,无理取闹,17,1,100,,15,0,,true
260,flatter,吹捧,17,1,100,,15,0,,true
261,will-o-wisp,鬼火,10,1,85,,15,0,,true
262,memento,临别礼物,17,1,100,,10,0,,true
263,facade,硬撑,1,2,100,70,20,0,,true
264,focus-punch,真气拳,2,2,100,150,20,-3,,true
265,smelling-salts,清醒,1,2,100,70,10,0,,true
266,follow-me,看我嘛,1,1,,,20,2,,true
267,nature-power,自然之力,1,1,,,20,0,,true
268,charge,充电,13,1,,,20,0,,true
269,taunt,挑衅,17,1,100,,20,0,,true
270,helping-hand,帮助,1,1,,,20,5,,true
271,trick,戏法,14,1,100,,10,0,,true
272,role-play,扮演,14,1,,,10,0,,true
273,wish,祈愿,1,1,,,10,0,,true
274,assist,借助,1,1,,,20,0,,true
275,ingrain,扎根,12,1,,,20,0,,true
276,superpower,蛮力,2,2,100,120,5,0,100,true
277,magic-coat,魔法反射,14,1,,,15,4,,true
278,recycle,回收利用,1,1,,,10,0,,true
279,revenge,报复,2,2,100,60,10,-4,,true
280,brick-break,劈瓦,2,2,100,75,15,0,,true
281,yawn,哈欠,1,1,,,10,0,,true
282,knock-off,拍落,17,2,100,65,20,0,,true
283,endeavor,蛮干,1,2,100,,5,0,,true
284,eruption,喷火,10,3,100,150,5,0,,true
285,skill-swap,特性互换,14,1,,,10,0,,true
286,imprison,封印,14,1,,,10,0,,true
287,refresh,焕然一新,1,1,,,20,0,,true
288,grudge,怨念,8,1,,,5,0,,true
289,snatch,抢夺,17,1,,,10,4,,true
290,secret-power,秘密之力,1,2,100,70,20,0,30,true
291,dive,潜水,11,2,100,80,10,0,,true
292,arm-thrust,猛推,2,2,100,15,20,0,,true
293,camouflage,保护色,1,1,,,20,0,,true
294,tail-glow,萤火,7,1,,,20,0,,true
295,luster-purge,洁净光芒,14,3,100,95,5,0,50,true
296,mist-ball,薄雾球,14,3,100,95,5,0,50,true
297,feather-dance,羽毛舞,3,1,100,,15,0,,true
298,teeter-dance,摇晃舞,1,1,100,,20,0,,true
299,blaze-kick,火焰踢,10,2,90,85,10,0,10,true
300,mud-sport,玩泥巴,5,1,,,15,0,,true
301,ice-ball,冰球,15,2,90,30,20,0,,true
302,needle-arm,尖刺臂,12,2,100,60,15,0,30,true
303,slack-off,偷懒,1,1,,,5,0,,true
304,hyper-voice,巨声,1,3,100,90,10,0,,true
305,poison-fang,剧毒牙,4,2,100,50,15,0,50,true
306,crush-claw,撕裂爪,1,2,95,75,10,0,50,true
307,blast-burn,爆炸烈焰,10,3,90,150,5,0,,true
308,hydro-cannon,加农水炮,11,3,90,150,5,0,,true
309,meteor-mash,彗星拳,9,2,90,90,10,0,20,true
310,astonish,惊吓,8,2,100,30,15,0,30,true
311,weather-ball,气象球,1,3,100,50,10,0,,true
312,aromatherapy,芳香治疗,12,1,,,5,0,,true
313,fake-tears,假哭,17,1,100,,20,0,,true
314,air-cutter,空气利刃,3,3,95,60,25,0,,true
315,overheat,过热,10,3,90,130,5,0,100,true
316,odor-sleuth,气味侦测,1,1,,,40,0,,true
317,rock-tomb,岩石封锁,6,2,95,60,15,0,100,true
318,silver-wind,银色旋风,7,3,100,60,5,0,10,true
319,metal-sound,金属音,9,1,85,,40,0,,true
320,grass-whistle,草笛,12,1,55,,15,0,,true
321,tickle,挠痒,1,1,100,,20,0,,true
322,cosmic-power,宇宙力量,14,1,,,20,0,,true
323,water-spout,喷水,11,3,100,150,5,0,,true
324,signal-beam,信号光束,7,3,100,75,15,0,10,true
325,shadow-punch,暗影拳,8,2,,60,20,0,,true
326,extrasensory,神通力,14,3,100,80,20,0,10,true
327,sky-uppercut,冲天拳,2,2,90,85,15,0,,true
328,sand-tomb,流沙地狱,5,2,85,35,15,0,100,true
329,sheer-cold,绝对零度,15,3,30,,5,0,,true
330,muddy-water,浊流,11,3,85,90,10,0,30,true
331,bullet-seed,种子机关枪,12,2,100,25,30,0,,true
332,aerial-ace,燕返,3,2,,60,20,0,,true
333,icicle-spear,冰锥,15,2,100,25,30,0,,true
334,iron-defense,铁壁,9,1,,,15,0,,true
335,block,挡路,1,1,,,5,0,,true
336,howl,长嚎,1,1,,,40,0,,true
337,dragon-claw,龙爪,16,2,100,80,15,0,,true
338,frenzy-plant,疯狂植物,12,3,90,150,5,0,,true
339,bulk-up,健美,2,1,,,20,0,,true
340,bounce,弹跳,3,2,85,85,5,0,30,true
341,mud-shot,泥巴射击,5,3,95,55,15,0,100,true
342,poison-tail,毒尾,4,2,100,50,25,0,10,true
343,covet,渴望,1,2,100,60,25,0,,true
344,volt-tackle,伏特攻击,13,2,100,120,15,0,10,true
345,magical-leaf,魔法叶,12,3,,60,20,0,,true
346,water-sport,玩水,11,1,,,15,0,,true
347,calm-mind,冥想,14,1,,,20,0,,true
348,leaf-blade,叶刃,12,2,100,90,15,0,,true
349,dragon-dance,龙之舞,16,1,,,20,0,,true
350,rock-blast,岩石爆击,6,2,90,25,10,0,,true
351,shock-wave,电击波,13,3,,60,20,0,,true
352,water-pulse,水之波动,11,3,100,60,20,0,20,true
353,doom-desire,破灭之愿,9,3,100,140,5,0,,true
354,psycho-boost,精神突进,14,3,90,140,5,0,100,true
355,roost,羽栖,3,1,,,5,0,,true
356,gravity,重力,14,1,,,5,0,,true
357,miracle-eye,奇迹之眼,14,1,,,40,0,,true
358,wake-up-slap,唤醒巴掌,2,2,100,70,10,0,,true
359,hammer-arm,臂锤,2,2,90,100,10,0,100,true
360,gyro-ball,陀螺球,9,2,100,,5,0,,true
361,healing-wish,治愈之愿,14,1,,,10,0,,true
362,brine,盐水,11,3,100,65,10,0,,true
363,natural-gift,自然之恩,1,2,100,,15,0,,true
364,feint,佯攻,1,2,100,30,10,2,,true
365,pluck,啄食,3,2,100,60,20,0,,true
366,tailwind,顺风,3,1,,,15,0,,true
367,acupressure,点穴,1,1,,,30,0,,true
368,metal-burst,金属爆炸,9,2,100,,10,0,,true
369,u-turn,急速折返,7,2,100,70,20,0,,true
370,close-combat,近身战,2,2,100,120,5,0,100,true
371,payback,以牙还牙,17,2,100,50,10,0,,true
372,assurance,恶意追击,17,2,100,60,10,0,,true
373,embargo,查封,17,1,100,,15,0,,true
374,fling,投掷,17,2,100,,10,0,,true
375,psycho-shift,精神转移,14,1,100,,10,0,,true
376,trump-card,王牌,1,3,,,5,0,,true
377,heal-block,回复封锁,14,1,100,,15,0,,true
378,wring-out,绞紧,1,3,100,,5,0,,true
379,power-trick,力量戏法,14,1,,,10,0,,true
380,gastro-acid,胃液,4,1,100,,10,0,,true
381,lucky-chant,幸运咒语,1,1,,,30,0,,true
382,me-first,抢先一步,1,1,,,20,0,,true
383,copycat,仿效,1,1,,,20,0,,true
384,power-swap,力量互换,14,1,,,10,0,,true
385,guard-swap,防守互换,14,1,,,10,0,,true
386,punishment,惩罚,17,2,100,,5,0,,true
387,last-resort,珍藏,1,2,100,140,5,0,,true
388,worry-seed,烦恼种子,12,1,100,,10,0,,true
389,sucker-punch,突袭,17,2,100,70,5,1,,true
390,toxic-spikes,毒菱,4,1,,,20,0,,true
391,heart-swap,心灵互换,14,1,,,10,0,,true
392,aqua-ring,水流环,11,1,,,20,0,,true
393,magnet-rise,电磁飘浮,13,1,,,10,0,,true
394,flare-blitz,闪焰冲锋,10,2,100,120,15,0,10,true
395,force-palm,发劲,2,2,100,60,10,0,30,true
396,aura-sphere,波导弹,2,3,,80,20,0,,true
397,rock-polish,岩石打磨,6,1,,,20,0,,true
398,poison-jab,毒击,4,2,100,80,20,0,30,true
399,dark-pulse,恶之波动,17,3,100,80,15,0,20,true
400,night-slash,暗袭要害,17,2,100,70,15,0,,true
401,aqua-tail,水流尾,11,2,90,90,10,0,,true
402,seed-bomb,种子炸弹,12,2,100,80,15,0,,true
403,air-slash,空气斩,3,3,95,75,15,0,30,true
404,x-scissor,十字剪,7,2,100,80,15,0,,true
405,bug-buzz,虫鸣,7,3,100,90,10,0,10,true
406,dragon-pulse,龙之波动,16,3,100,85,10,0,,true
407,dragon-rush,龙之俯冲,16,2,75,100,10,0,20,true
408,power-gem,力量宝石,6,3,100,80,20,0,,true
409,drain-punch,吸取拳,2,2,100,75,10,0,,true
410,vacuum-wave,真空波,2,3,100,40,30,1,,true
411,focus-blast,真气弹,2,3,70,120,5,0,10,true
412,energy-ball,能量球,12,3,100,90,10,0,10,true
413,brave-bird,勇鸟猛攻,3,2,100,120,15,0,,true
414,earth-power,大地之力,5,3,100,90,10,0,10,true
415,switcheroo,掉包,17,1,100,,10,0,,true
416,giga-impact,终极冲击,1,2,90,150,5,0,,true
417,nasty-plot,诡计,17,1,,,20,0,,true
418,bullet-punch,子弹拳,9,2,100,40,30,1,,true
419,avalanche,雪崩,15,2,100,60,10,-4,,true
420,ice-shard,冰砾,15,2,100,40,30,1,,true
421,shadow-claw,暗影爪,8,2,100,70,15,0,,true
422,thunder-fang,雷电牙,13,2,95,65,15,0,10,true
423,ice-fang,冰冻牙,15,2,95,65,15,0,10,true
424,fire-fang,火焰牙,10,2,95,65,15,0,10,true
425,shadow-sneak,影子偷袭,8,2,100,40,30,1,,true
426,mud-bomb,泥巴炸弹,5,3,85,65,10,0,30,true
427,psycho-cut,精神利刃,14,2,100,70,20,0,,true
428,zen-headbutt,意念头锤,14,2,90,80,15,0,20,true
429,mirror-shot,镜光射击,9,3,85,65,10,0,30,true
430,flash-cannon,加农光炮,9,3,100,80,10,0,10,true
431,rock-climb,攀岩,1,2,85,90,20,0,20,true
432,defog,清除浓雾,3,1,,,15,0,,true
433,trick-room,戏法空间,14,1,,,5,-7,,true
434,draco-meteor,流星群,16,3,90,130,5,0,100,true
435,discharge,放电,13,3,100,80,15,0,30,true
436,lava-plume,喷烟,10,3,100,80,15,0,30,true
437,leaf-storm,飞叶风暴,12,3,90,130,5,0,100,true
438,power-whip,强力鞭打,12,2,85,120,10,0,,true
439,rock-wrecker,岩石炮,6,2,90,150,5,0,,true
440,cross-poison,十字毒刃,4,2,100,70,20,0,10,true
441,gunk-shot,垃圾射击,4,2,80,120,5,0,30,true
442,iron-head,铁头,9,2,100,80,15,0,30,true
443,magnet-bomb,磁铁炸弹,9,2,,60,20,0,,true
444,stone-edge,尖石攻击,6,2,80,100,5,0,,true
445,captivate,诱惑,1,1,100,,20,0,,true
446,stealth-rock,隐形岩,6,1,,,20,0,,true
447,grass-knot,打草结,12,3,100,,20,0,,true
448,chatter,喋喋不休,3,3,100,65,20,0,100,true
449,judgment,制裁光砾,1,3,100,100,10,0,,true
450,bug-bite,虫咬,7,2,100,60,20,0,,true
451,charge-beam,充电光束,13,3,90,50,10,0,70,true
452,wood-hammer,木槌,12,2,100,120,15,0,,true
453,aqua-jet,水流喷射,11,2,100,40,20,1,,true
454,attack-order,攻击指令,7,2,100,90,15,0,,true
455,defend-order,防御指令,7,1,,,10,0,,true
456,heal-order,回复指令,7,1,,,10,0,,true
457,head-smash,双刃头锤,6,2,80,150,5,0,,true
458,double-hit,二连击,1,2,90,35,10,0,,true
459,roar-of-time,时光咆哮,16,3,90,150,5,0,,true
460,spacial-rend,亚空裂斩,16,3,95,100,5,0,,true
461,lunar-dance,新月舞,14,1,,,10,0,,true
462,crush-grip,捏碎,1,2,100,,5,0,,true
463,magma-storm,熔岩风暴,10,3,75,100,5,0,100,true
464,dark-void,暗黑洞,17,1,50,,10,0,,true
465,seed-flare,种子闪光,12,3,85,120,5,0,40,true
466,ominous-wind,奇异之风,8,3,100,60,5,0,10,true
467,shadow-force,暗影潜袭,8,2,100,120,5,0,,true
468,hone-claws,磨爪,17,1,,,15,0,,true
469,wide-guard,广域防守,6,1,,,10,3,,true
470,guard-split,防守平分,14,1,,,10,0,,true
471,power-split,力量平分,14,1,,,10,0,,true
472,wonder-room,奇妙空间,14,1,,,10,0,,true
473,psyshock,精神冲击,14,3,100,80,10,0,,true
474,venoshock,毒液冲击,4,3,100,65,10,0,,true
475,autotomize,身体轻量化,9,1,,,15,0,,true
476,rage-powder,愤怒粉,7,1,,,20,2,,true
477,telekinesis,意念移物,14,1,,,15,0,,true
478,magic-room,魔法空间,14,1,,,10,0,,true
479,smack-down,击落,6,2,100,50,15,0,100,true
480,storm-throw,山岚摔,2,2,100,60,10,0,,true
481,flame-burst,烈焰溅射,10,3,100,70,15,0,,true
482,sludge-wave,污泥波,4,3,100,95,10,0,10,true
483,quiver-dance,蝶舞,7,1,,,20,0,,true
484,heavy-slam,重磅冲撞,9,2,100,,10,0,,true
485,synchronoise,同步干扰,14,3,100,120,10,0,,true
486,electro-ball,电球,13,3,100,,10,0,,true
487,soak,浸水,11,1,100,,20,0,,true
488,flame-charge,蓄能焰袭,10,2,100,50,20,0,100,true
489,coil,盘蜷,4,1,,,20,0,,true
490,low-sweep,下盘踢,2,2,100,65,20,0,100,true
491,acid-spray,酸液炸弹,4,3,100,40,20,0,100,true
492,foul-play,欺诈,17,2,100,95,15,0,,true
493,simple-beam,单纯光束,1,1,100,,15,0,,true
494,entrainment,找伙伴,1,1,100,,15,0,,true
495,after-you,您先请,1,1,,,15,0,,true
496,round,轮唱,1,3,100,60,15,0,,true
497,echoed-voice,回声,1,3,100,40,15,0,,true
498,chip-away,逐步击破,1,2,100,70,20,0,,true
499,clear-smog,清除之烟,4,3,,50,15,0,,true
500,stored-power,辅助力量,14,3,100,20,10,0,,true
501,quick-guard,快速防守,2,1,,,15,3,,true
502,ally-switch,交换场地,14,1,,,15,2,,true
503,scald,热水,11,3,100,80,15,0,30,true
504,shell-smash,破壳,1,1,,,15,0,,true
505,heal-pulse,治愈波动,14,1,,,10,0,,true
506,hex,祸不单行,8,3,100,65,10,0,,true
507,sky-drop,自由落体,3,2,100,60,10,0,,true
508,shift-gear,换档,9,1,,,10,0,,true
509,circle-throw,巴投,2,2,90,60,10,-6,,true
510,incinerate,烧尽,10,3,100,60,15,0,,true
