id,creature_id,stat_id,base_value,effort
273,46,3,55,0
274,46,4,45,0
275,46,5,55,0
276,46,6,25,0
277,47,1,60,0
278,47,2,95,2
279,47,3,80,1
280,47,4,60,0
281,47,5,80,0
282,47,6,30,0
283,48,1,60,0
284,48,2,55,0
285,48,3,50,0
286,48,4,40,0
287,48,5,55,1
288,48,6,45,0
289,49,1,70,0
290,49,2,65,0
291,49,3,60,0
292,49,4,90,1
293,49,5,75,0
294,49,6,90,1
295,50,1,10,0
296,50,2,55,0
297,50,3,25,0
298,50,4,35,0
299,50,5,45,0
300,50,6,95,1
301,51,1,35,0
302,51,2,100,0
303,51,3,50,0
304,51,4,50,0
305,51,5,70,0
306,51,6,120,2
307,52,1,40,0
308,52,2,45,0
309,52,3,35,0
310,52,4,40,0
311,52,5,40,0
312,52,6,90,1
313,53,1,65,0
314,53,2,70,0
315,53,3,60,0
316,53,4,65,0
317,53,5,65,0
318,53,6,115,2
319,54,1,50,0
320,54,2,52,0
321,54,3,48,0
322,54,4,65,1
323,54,5,50,0
324,54,6,55,0
325,55,1,80,0
326,55,2,82,0
327,55,3,78,0
328,55,4,95,2
329,55,5,80,0
330,55,6,85,0
331,56,1,40,0
332,56,2,80,1
333,56,3,35,0
334,56,4,35,0
335,56,5,45,0
336,56,6,70,0
337,57,1,65,0
338,57,2,105,2
339,57,3,60,0
340,57,4,60,0
341,57,5,70,0
342,57,6,95,0
343,58,1,55,0
344,58,2,70,1
345,58,3,45,0
346,58,4,70,0
347,58,5,50,0
348,58,6,60,0
349,59,1,90,0
350,59,2,110,2
351,59,3,80,0
352,59,4,100,0
353,59,5,80,0
354,59,6,95,0
355,60,1,40,0
356,60,2,50,0
357,60,3,40,0
358,60,4,40,0
359,60,5,40,0
360,60,6,90,1
361,61,1,65,0
362,61,2,65,0
363,61,3,65,0
364,61,4,50,0
365,61,5,50,0
366,61,6,90,2
367,62,1,90,0
368,62,2,95,0
369,62,3,95,3
370,62,4,70,0
371,62,5,90,0
372,62,6,70,0
373,63,1,25,0
374,63,2,20,0
375,63,3,15,0
376,63,4,105,1
377,63,5,55,0
378,63,6,90,0
379,64,1,40,0
380,64,2,35,0
381,64,3,30,0
382,64,4,120,2
383,64,5,70,0
384,64,6,105,0
385,65,1,55,0
386,65,2,50,0
387,65,3,45,0
388,65,4,135,3
389,65,5,95,0
390,65,6,120,0
391,66,1,70,0
392,66,2,80,1
393,66,3,50,0
394,66,4,35,0
395,66,5,35,0
396,66,6,35,0
397,67,1,80,0
398,67,2,100,2
399,67,3,70,0
400,67,4,50,0
401,67,5,60,0
402,67,6,45,0
403,68,1,90,0
404,68,2,130,3
405,68,3,80,0
406,68,4,65,0
407,68,5,85,0
408,68,6,55,0
409,69,1,50,0
410,69,2,75,1
411,69,3,35,0
412,69,4,70,0
413,69,5,30,0
414,69,6,40,0
415,70,1,65,0
416,70,2,90,2
417,70,3,50,0
418,70,4,85,0
419,70,5,45,0
420,70,6,55,0
421,71,1,80,0
422,71,2,105,3
423,71,3,65,0
424,71,4,100,0
425,71,5,70,0
426,71,6,70,0
427,72,1,40,0
428,72,2,40,0
429,72,3,35,0
430,72,4,50,0
431,72,5,100,1
432,72,6,70,0
433,73,1,80,0
434,73,2,70,0
435,73,3,65,0
436,73,4,80,0
437,73,5,120,2
438,73,6,100,0
439,74,1,40,0
440,74,2,80,0
441,74,3,100,1
442,74,4,30,0
443,74,5,30,0
444,74,6,20,0
445,75,1,55,0
446,75,2,95,0
447,75,3,115,2
448,75,4,45,0
449,75,5,45,0
450,75,6,35,0
451,76,1,80,0
452,76,2,120,0
453,76,3,130,3
454,76,4,55,0
455,76,5,65,0
456,76,6,45,0
457,77,1,50,0
458,77,2,85,0
459,77,3,55,0
460,77,4,65,0
461,77,5,65,0
462,77,6,90,1
463,78,1,65,0
464,78,2,100,0
465,78,3,70,0
466,78,4,80,0
467,78,5,80,0
468,78,6,105,2
469,79,1,90,1
470,79,2,65,0
471,79,3,65,0
472,79,4,40,0
473,79,5,40,0
474,79,6,15,0
475,80,1,95,0
476,80,2,75,0
477,80,3,110,2
478,80,4,100,0
479,80,5,80,0
480,80,6,30,0
481,81,1,25,0
482,81,2,35,0
483,81,3,70,0
484,81,4,95,1
485,81,5,55,0
486,81,6,45,0
487,82,1,50,0
488,82,2,60,0
489,82,3,95,0
490,82,4,120,2
491,82,5,70,0
492,82,6,70,0
493,83,1,52,0
494,83,2,90,1
495,83,3,55,0
496,83,4,58,0
497,83,5,62,0
498,83,6,60,0
499,84,1,35,0
500,84,2,85,1
501,84,3,45,0
502,84,4,35,0
503,84,5,35,0
504,84,6,75,0
505,85,1,60,0
506,85,2,110,2
507,85,3,70,0
508,85,4,60,0
509,85,5,60,0
510,85,6,110,0
511,86,1,65,0
512,86,2,45,0
513,86,3,55,0
514,86,4,45,0
515,86,5,70,1
516,86,6,45,0
517,87,1,90,0
518,87,2,70,0
519,87,3,80,0
520,87,4,70,0
521,87,5,95,2
522,87,6,70,0
523,88,1,80,1
524,88,2,80,0
525,88,3,50,0
526,88,4,40,0
527,88,5,50,0
528,88,6,25,0
529,89,1,105,1
530,89,2,105,1
531,89,3,75,0
532,89,4,65,0
533,89,5,100,0
534,89,6,50,0
535,90,1,30,0
536,90,2,65,0
537,90,3,100,1
538,90,4,45,0
539,90,5,25,0
540,90,6,40,0
541,91,1,50,0
542,91,2,95,0
543,91,3,180,2
544,91,4,85,0
545,91,5,45,0
546,91,6,70,0
547,92,1,30,0
548,92,2,35,0
549,92,3,30,0
550,92,4,100,1
551,92,5,35,0
552,92,6,80,0
553,93,1,45,0
554,93,2,50,0
555,93,3,45,0
556,93,4,115,2
557,93,5,55,0
558,93,6,95,0
559,94,1,60,0
560,94,2,65,0
561,94,3,60,0
562,94,4,130,3
563,94,5,75,0
564,94,6,110,0
565,95,1,35,0
566,95,2,45,0
567,95,3,160,1
568,95,4,30,0
569,95,5,45,0
570,95,6,70,0
571,96,1,60,0
572,96,2,48,0
573,96,3,45,0
574,96,4,43,0
575,96,5,90,1
576,96,6,42,0
577,97,1,85,0
578,97,2,73,0
579,97,3,70,0
580,97,4,73,0
581,97,5,115,2
582,97,6,67,0
583,98,1,30,0
584,98,2,105,1
585,98,3,90,0
586,98,4,25,0
587,98,5,25,0
588,98,6,50,0
589,99,1,55,0
590,99,2,130,2
591,99,3,115,0
592,99,4,50,0
593,99,5,50,0
594,99,6,75,0
595,100,1,40,0
596,100,2,30,0
597,100,3,50,0
598,100,4,55,0
599,100,5,55,0
600,100,6,100,1
601,101,1,60,0
602,101,2,50,0
603,101,3,70,0
604,101,4,80,0
605,101,5,80,0
606,101,6,150,2
607,102,1,60,0
608,102,2,40,0
609,102,3,80,1
610,102,4,60,0
611,102,5,45,0
612,102,6,40,0
613,103,1,95,0
614,103,2,95,0
615,103,3,85,0
616,103,4,125,2
617,103,5,75,0
618,103,6,55,0
619,104,1,50,0
620,104,2,50,0
621,104,3,95,1
622,104,4,40,0
623,104,5,50,0
624,104,6,35,0
625,105,1,60,0
626,105,2,80,0
627,105,3,110,2
628,105,4,50,0
629,105,5,80,0
630,105,6,45,0
631,106,1,50,0
632,106,2,120,2
633,106,3,53,0
634,106,4,35,0
635,106,5,110,0
636,106,6,87,0
637,107,1,50,0
638,107,2,105,0
639,107,3,79,0
640,107,4,35,0
641,107,5,110,2
642,107,6,76,0
643,108,1,90,2
644,108,2,55,0
645,108,3,75,0
646,108,4,60,0
647,108,5,75,0
648,108,6,30,0
649,109,1,40,0
650,109,2,65,0
651,109,3,95,1
652,109,4,60,0
653,109,5,45,0
654,109,6,35,0
655,110,1,65,0
656,110,2,90,0
657,110,3,120,2
658,110,4,85,0
659,110,5,70,0
660,110,6,60,0
661,111,1,80,0
662,111,2,85,0
663,111,3,95,1
664,111,4,30,0
665,111,5,30,0
666,111,6,25,0
667,112,1,105,0
668,112,2,130,2
669,112,3,120,0
670,112,4,45,0
671,112,5,45,0
672,112,6,40,0
673,113,1,250,2
674,113,2,5,0
675,113,3,5,0
676,113,4,35,0
677,113,5,105,0
678,113,6,50,0
679,114,1,65,0
680,114,2,55,0
681,114,3,115,1
682,114,4,100,0
683,114,5,40,0
684,114,6,60,0
685,115,1,105,2
686,115,2,95,0
687,115,3,80,0
688,115,4,40,0
689,115,5,80,0
690,115,6,90,0
691,116,1,30,0
692,116,2,40,0
693,116,3,70,0
694,116,4,70,1
695,116,5,25,0
696,116,6,60,0
697,117,1,55,0
698,117,2,65,0
699,117,3,95,1
700,117,4,95,1
701,117,5,45,0
702,117,6,85,0
703,118,1,45,0
704,118,2,67,1
705,118,3,60,0
706,118,4,35,0
707,118,5,50,0
708,118,6,63,0
709,119,1,80,0
710,119,2,92,2
711,119,3,65,0
712,119,4,65,0
713,119,5,80,0
714,119,6,68,0
715,120,1,30,0
716,120,2,45,0
717,120,3,55,0
718,120,4,70,0
719,120,5,55,0
720,120,6,85,1
721,121,1,60,0
722,121,2,75,0
723,121,3,85,0
724,121,4,100,0
725,121,5,85,0
726,121,6,115,2
727,122,1,40,0
728,122,2,45,0
729,122,3,65,0
730,122,4,100,0
731,122,5,120,2
732,122,6,90,0
733,123,1,70,0
734,123,2,110,1
735,123,3,80,0
736,123,4,55,0
737,123,5,80,0
738,123,6,105,0
739,124,1,65,0
740,124,2,50,0
741,124,3,35,0
742,124,4,115,2
743,124,5,95,0
744,124,6,95,0
745,125,1,65,0
746,125,2,83,0
747,125,3,57,0
748,125,4,95,0
749,125,5,85,0
750,125,6,105,2
751,126,1,65,0
752,126,2,95,0
753,126,3,57,0
754,126,4,100,2
755,126,5,85,0
756,126,6,93,0
757,127,1,65,0
758,127,2,125,2
759,127,3,100,0
760,127,4,55,0
761,127,5,70,0
762,127,6,85,0
763,128,1,75,0
764,128,2,100,1
765,128,3,95,0
766,128,4,40,0
767,128,5,70,0
768,128,6,110,1
769,129,1,20,0
770,129,2,10,0
771,129,3,55,0
772,129,4,15,0
773,129,5,20,0
774,129,6,80,1
775,130,1,95,0
776,130,2,125,2
777,130,3,79,0
778,130,4,60,0
779,130,5,100,0
780,130,6,81,0
781,131,1,130,2
782,131,2,85,0
783,131,3,80,0
784,131,4,85,0
785,131,5,95,0
786,131,6,60,0
787,132,1,48,1
788,132,2,48,0
789,132,3,48,0
790,132,4,48,0
791,132,5,48,0
792,132,6,48,0
793,133,1,55,0
794,133,2,55,0
795,133,3,50,0
796,133,4,45,0
797,133,5,65,1
798,133,6,55,0
799,134,1,130,2
800,134,2,65,0
801,134,3,60,0
802,134,4,110,0
803,134,5,95,0
804,134,6,65,0
805,135,1,65,0
806,135,2,65,0
807,135,3,60,0
808,135,4,110,0
809,135,5,95,0
810,135,6,130,2
811,136,1,65,0
812,136,2,130,2
813,136,3,60,0
814,136,4,95,0
815,136,5,110,0
816,136,6,65,0
817,137,1,65,0
818,137,2,60,0
819,137,3,70,0
820,137,4,85,1
821,137,5,75,0
822,137,6,40,0
823,138,1,35,0
824,138,2,40,0
825,138,3,100,1
826,138,4,90,0
827,138,5,55,0
828,138,6,35,0
829,139,1,70,0
830,139,2,60,0
831,139,3,125,2
832,139,4,115,0
833,139,5,70,0
834,139,6,55,0
835,140,1,30,0
836,140,2,80,0
837,140,3,90,1
838,140,4,55,0
839,140,5,45,0
840,140,6,55,0
841,141,1,60,0
842,141,2,115,2
843,141,3,105,0
844,141,4,65,0
845,141,5,70,0
846,141,6,80,0
847,142,1,80,0
848,142,2,105,0
849,142,3,65,0
850,142,4,60,0
851,142,5,75,0
852,142,6,130,2
853,143,1,160,2
854,143,2,110,0
855,143,3,65,0
856,143,4,65,0
857,143,5,110,0
858,143,6,30,0
859,144,1,90,0
860,144,2,85,0
861,144,3,100,0
862,144,4,95,0
863,144,5,125,3
864,144,6,85,0
865,145,1,90,0
866,145,2,90,0
867,145,3,85,0
868,145,4,125,3
869,145,5,90,0
870,145,6,100,0
871,146,1,90,0
872,146,2,100,0
873,146,3,90,0
874,146,4,125,3
875,146,5,85,0
876,146,6,90,0
877,147,1,41,0
878,147,2,64,1
879,147,3,45,0
880,147,4,50,0
881,147,5,50,0
882,147,6,50,0
883,148,1,61,0
884,148,2,84,2
885,148,3,65,0
886,148,4,70,0
887,148,5,70,0
888,148,6,70,0
889,149,1,91,0
890,149,2,134,3
891,149,3,95,0
892,149,4,100,0
893,149,5,100,0
894,149,6,80,0
895,150,1,106,0
896,150,2,110,0
897,150,3,90,0
898,150,4,154,3
899,150,5,90,0
900,150,6,130,0
901,151,1,100,3
902,151,2,100,0
903,151,3,100,0
904,151,4,100,0
905,151,5,100,0
906,151,6,100,0
907,152,1,45,0
908,152,2,49,0
909,152,3,65,0
910,152,4,49,0
911,152,5,65,1
912,152,6,45,0
913,153,1,60,0
914,153,2,62,0
915,153,3,80,1
916,153,4,63,0
917,153,5,80,1
918,153,6,60,0
919,154,1,80,0
920,154,2,82,0
921,154,3,100,1
922,154,4,83,0
923,154,5,100,2
924,154,6,80,0
925,155,1,39,0
926,155,2,52,0
927,155,3,43,0
928,155,4,60,0
929,155,5,50,0
930,155,6,65,1
931,156,1,58,0
932,156,2,64,0
933,156,3,58,0
934,156,4,80,1
935,156,5,65,0
936,156,6,80,1
937,157,1,78,0
938,157,2,84,0
939,157,3,78,0
940,157,4,109,3
941,157,5,85,0
942,157,6,100,0
943,158,1,50,0
944,158,2,65,1
945,158,3,64,0
946,158,4,44,0
947,158,5,48,0
948,158,6,43,0
949,159,1,65,0
950,159,2,80,1
951,159,3,80,1
952,159,4,59,0
953,159,5,63,0
954,159,6,58,0
955,160,1,85,0
956,160,2,105,2
957,160,3,100,1
958,160,4,79,0
959,160,5,83,0
960,160,6,78,0
961,161,1,35,0
962,161,2,46,1
963,161,3,34,0
964,161,4,35,0
965,161,5,45,0
966,161,6,20,0
967,162,1,85,0
968,162,2,76,0
969,162,3,64,0
970,162,4,45,0
971,162,5,55,0
972,162,6,90,2
973,163,1,60,1
974,163,2,30,0
975,163,3,30,0
976,163,4,36,0
977,163,5,56,0
978,163,6,50,0
979,164,1,100,2
980,164,2,50,0
981,164,3,50,0
982,164,4,86,0
983,164,5,96,0
984,164,6,70,0
985,165,1,40,0
986,165,2,20,0
987,165,3,30,0
988,165,4,40,0
989,165,5,80,1
990,165,6,55,0
991,166,1,55,0
992,166,2,35,0
993,166,3,50,0
994,166,4,55,0
995,166,5,110,2
996,166,6,85,0
997,167,1,40,0
998,167,2,60,1
999,167,3,40,0
1000,167,4,40,0
1001,167,5,40,0
1002,167,6,30,0
1003,168,1,70,0
1004,168,2,90,2
1005,168,3,70,0
1006,168,4,60,0
1007,168,5,70,0
1008,168,6,40,0
1009,169,1,85,0
1010,169,2,90,0
1011,169,3,80,0
1012,169,4,70,0
1013,169,5,80,0
1014,169,6,130,3
1015,170,1,75,1
1016,170,2,38,0
1017,170,3,38,0
1018,170,4,56,0
1019,170,5,56,0
1020,170,6,67,0
1021,171,1,125,2
1022,171,2,58,0
1023,171,3,58,0
1024,171,4,76,0
1025,171,5,76,0
1026,171,6,67,0
1027,172,1,20,0
1028,172,2,40,0
1029,172,3,15,0
1030,172,4,35,0
1031,172,5,35,0
1032,172,6,60,1
1033,173,1,50,0
1034,173,2,25,0
1035,173,3,28,0
1036,173,4,45,0
1037,173,5,55,1
1038,173,6,15,0
1039,174,1,90,1
1040,174,2,30,0
1041,174,3,15,0
1042,174,4,40,0
1043,174,5,20,0
1044,174,6,15,0
1045,175,1,35,0
1046,175,2,20,0
1047,175,3,65,0
1048,175,4,40,0
1049,175,5,65,1
1050,175,6,20,0
1051,176,1,55,0
1052,176,2,40,0
1053,176,3,85,0
1054,176,4,80,0
1055,176,5,105,2
1056,176,6,40,0
1057,177,1,40,0
1058,177,2,50,0
1059,177,3,45,0
1060,177,4,70,1
1061,177,5,45,0
1062,177,6,70,0
1063,178,1,65,0
1064,178,2,75,0
1065,178,3,70,0
1066,178,4,95,1
1067,178,5,70,0
1068,178,6,95,1
1069,179,1,55,0
1070,179,2,40,0
1071,179,3,40,0
1072,179,4,65,1
1073,179,5,45,0
1074,179,6,35,0
1075,180,1,70,0
1076,180,2,55,0
1077,180,3,55,0
1078,180,4,80,2
1079,180,5,60,0
1080,180,6,45,0
1081,181,1,90,0
1082,181,2,75,0
1083,181,3,85,0
1084,181,4,115,3
1085,181,5,90,0
1086,181,6,55,0
1087,182,1,75,0
1088,182,2,80,0
1089,182,3,95,0
1090,182,4,90,0
1091,182,5,100,3
1092,182,6,50,0
1093,183,1,70,2
1094,183,2,20,0
1095,183,3,50,0
1096,183,4,20,0
1097,183,5,50,0
1098,183,6,40,0
1099,184,1,100,3
1100,184,2,50,0
1101,184,3,80,0
1102,184,4,60,0
1103,184,5,80,0
1104,184,6,50,0
1105,185,1,70,0
1106,185,2,100,0
1107,185,3,115,2
1108,185,4,30,0
1109,185,5,65,0
1110,185,6,30,0
1111,186,1,90,0
1112,186,2,75,0
1113,186,3,75,0
1114,186,4,90,0
1115,186,5,100,3
1116,186,6,70,0
1117,187,1,35,0
1118,187,2,35,0
1119,187,3,40,0
1120,187,4,35,0
1121,187,5,55,1
1122,187,6,50,0
1123,188,1,55,0
1124,188,2,45,0
1125,188,3,50,0
1126,188,4,45,0
1127,188,5,65,0
1128,188,6,80,2
1129,189,1,75,0
1130,189,2,55,0
1131,189,3,70,0
1132,189,4,55,0
1133,189,5,95,0
1134,189,6,110,3
1135,190,1,55,0
1136,190,2,70,0
1137,190,3,55,0
1138,190,4,40,0
1139,190,5,55,0
1140,190,6,85,1
1141,191,1,30,0
1142,191,2,30,0
1143,191,3,30,0
1144,191,4,30,1
1145,191,5,30,0
1146,191,6,30,0
1147,192,1,75,0
1148,192,2,75,0
1149,192,3,55,0
1150,192,4,105,2
1151,192,5,85,0
1152,192,6,30,0
1153,193,1,65,0
1154,193,2,65,0
1155,193,3,45,0
1156,193,4,75,0
1157,193,5,45,0
1158,193,6,95,1
1159,194,1,55,1
1160,194,2,45,0
1161,194,3,45,0
1162,194,4,25,0
1163,194,5,25,0
1164,194,6,15,0
1165,195,1,95,2
1166,195,2,85,0
1167,195,3,85,0
1168,195,4,65,0
1169,195,5,65,0
1170,195,6,35,0
1171,196,1,65,0
1172,196,2,65,0
1173,196,3,60,0
1174,196,4,130,2
1175,196,5,95,0
1176,196,6,110,0
1177,197,1,95,0
1178,197,2,65,0
1179,197,3,110,0
1180,197,4,60,0
1181,197,5,130,2
1182,197,6,65,0
1183,198,1,60,0
1184,198,2,85,0
1185,198,3,42,0
1186,198,4,85,0
1187,198,5,42,0
1188,198,6,91,1
1189,199,1,95,0
1190,199,2,75,0
1191,199,3,80,0
1192,199,4,100,0
1193,199,5,110,2
1194,199,6,30,0
1195,200,1,60,0
1196,200,2,60,0
1197,200,3,60,0
1198,200,4,85,0
1199,200,5,85,1
1200,200,6,85,0
1201,201,1,48,0
1202,201,2,72,1
1203,201,3,48,0
1204,201,4,72,1
1205,201,5,48,0
1206,201,6,48,0
1207,202,1,190,2
1208,202,2,33,0
1209,202,3,58,0
1210,202,4,33,0
1211,202,5,58,0
1212,202,6,33,0
1213,203,1,70,0
1214,203,2,80,0
1215,203,3,65,0
1216,203,4,90,2
1217,203,5,65,0
1218,203,6,85,0
1219,204,1,50,0
1220,204,2,65,0
1221,204,3,90,1
1222,204,4,35,0
1223,204,5,35,0
1224,204,6,15,0
1225,205,1,75,0
1226,205,2,90,0
1227,205,3,140,2
1228,205,4,60,0
1229,205,5,60,0
1230,205,6,40,0
1231,206,1,100,1
1232,206,2,70,0
1233,206,3,70,0
1234,206,4,65,0
1235,206,5,65,0
1236,206,6,45,0
1237,207,1,65,0
1238,207,2,75,0
1239,207,3,105,1
1240,207,4,35,0
1241,207,5,65,0
1242,207,6,85,0
1243,208,1,75,0
1244,208,2,85,0
1245,208,3,200,2
1246,208,4,55,0
1247,208,5,65,0
1248,208,6,30,0
1249,209,1,60,0
1250,209,2,80,1
1251,209,3,50,0
1252,209,4,40,0
1253,209,5,40,0
1254,209,6,30,0
1255,210,1,90,0
1256,210,2,120,2
1257,210,3,75,0
1258,210,4,60,0
1259,210,5,60,0
1260,210,6,45,0
1261,211,1,65,0
1262,211,2,95,1
1263,211,3,85,0
1264,211,4,55,0
1265,211,5,55,0
1266,211,6,85,0
1267,212,1,70,0
1268,212,2,130,2
1269,212,3,100,0
1270,212,4,55,0
1271,212,5,80,0
1272,212,6,65,0
1273,213,1,20,0
1274,213,2,10,0
1275,213,3,230,1
1276,213,4,10,0
1277,213,5,230,1
1278,213,6,5,0
1279,214,1,80,0
1280,214,2,125,2
1281,214,3,75,0
1282,214,4,40,0
1283,214,5,95,0
1284,214,6,85,0
1285,215,1,55,0
1286,215,2,95,0
1287,215,3,55,0
1288,215,4,35,0
1289,215,5,75,0
1290,215,6,115,1
1291,216,1,60,0
1292,216,2,80,1
1293,216,3,50,0
1294,216,4,50,0
1295,216,5,50,0
1296,216,6,40,0
1297,217,1,90,0
1298,217,2,130,2
1299,217,3,75,0
1300,217,4,75,0
1301,217,5,75,0
1302,217,6,55,0
1303,218,1,40,0
1304,218,2,40,0
1305,218,3,40,0
1306,218,4,70,1
1307,218,5,40,0
1308,218,6,20,0
1309,219,1,60,0
1310,219,2,50,0
1311,219,3,120,2
1312,219,4,90,0
1313,219,5,80,0
1314,219,6,30,0
1315,220,1,50,0
1316,220,2,50,1
1317,220,3,40,0
1318,220,4,30,0
1319,220,5,30,0
1320,220,6,50,0
1321,221,1,100,1
1322,221,2,100,1
1323,221,3,80,0
1324,221,4,60,0
1325,221,5,60,0
1326,221,6,50,0
1327,222,1,65,0
1328,222,2,55,0
1329,222,3,95,1
1330,222,4,65,0
1331,222,5,95,1
1332,222,6,35,0
1333,223,1,35,0
1334,223,2,65,0
1335,223,3,35,0
1336,223,4,65,1
1337,223,5,35,0
1338,223,6,65,0
1339,224,1,75,0
1340,224,2,105,1
1341,224,3,75,0
1342,224,4,105,1
1343,224,5,75,0
1344,224,6,45,0
1345,225,1,45,0
1346,225,2,55,0
1347,225,3,45,0
1348,225,4,65,0
1349,225,5,45,0
1350,225,6,75,1
1351,226,1,85,0
1352,226,2,40,0
1353,226,3,70,0
1354,226,4,80,0
1355,226,5,140,2
1356,226,6,70,0
1357,227,1,65,0
1358,227,2,80,0
1359,227,3,140,2
1360,227,4,40,0
