id,internal_name,name,type_id,accuracy,effect_chance,pp,priority,power,move_damage_class_id,move_target_id,text,short_effect,effect,min_hits,max_turns,drain,healing,crit_rate,ailment_chance,flinch_chance,stat_chance,move_category_id,move_ailment_id
17,wing-attack,翅膀攻击,3,100,,35,0,60,2,10,"大大地展开美丽的翅膀，
将其撞向对手进行攻击。",Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
18,whirlwind,吹飞,1,,,20,-6,,1,10,"吹飞对手，强制拉后备宝可梦上场。
如果对手为野生宝可梦，
战斗将直接结束。",Immediately ends wild battles.  Forces trainers to switch Pokémon.,"Switches the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.

Doesn't affect Pokémon with suction cups or under the effect of ingrain.",,,0,0,0,0,0,0,12,0
19,fly,飞翔,3,95,,15,0,90,2,10,"第１回合飞上天空，
第２回合攻击对手。","User flies high into the air, dodging all attacks, and hits next turn.","Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",,,0,0,0,0,0,0,0,0
39,tail-whip,摇尾巴,1,100,,30,0,,1,11,"可爱地左右摇晃尾巴，
诱使对手疏忽大意。
会降低对手的防御。",Lowers the target's Defense by one stage.,Lowers the target's Defense by one stage.,,,0,0,0,0,0,0,2,0
20,bind,绑紧,1,85,100,20,0,15,2,10,"使用长长的身体或藤蔓等，
在４～５回合内
绑紧对手进行攻击。",Prevents the target from fleeing and inflicts damage for 2-5 turns.,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",,6,0,0,0,100,0,0,4,8
21,slam,摔打,1,75,,20,0,80,2,10,"使用长长的尾巴或藤蔓等
摔打对手进行攻击。",Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
22,vine-whip,藤鞭,12,100,,25,0,45,2,10,"用如同鞭子般弯曲而细长的藤蔓
摔打对手进行攻击。",Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
23,stomp,踩踏,1,100,30,20,0,65,2,10,"用大脚踩踏对手进行攻击。
有时会使对手畏缩。",Has a 30% chance to make the target flinch.,"Inflicts regular damage.  Has a 30% chance to make the target flinch.

Power is doubled against Pokémon that have used minimize since entering the field.",,,0,0,0,0,30,0,0,0
24,double-kick,二连踢,2,100,,30,0,30,2,10,"用２只脚踢飞对手进行攻击。
连续２次给予伤害。",Hits twice in one turn.,Inflicts regular damage.  Hits twice in one turn.,2,,0,0,0,0,0,0,0,0
25,mega-kick,百万吨重踢,1,75,,5,0,120,2,10,"使出力大无穷的重踢
踢飞对手进行攻击。",Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
26,jump-kick,飞踢,2,95,,10,0,100,2,10,"使出高高的腾空踢攻击对手。
如果踢偏则自己会受到伤害。","If the user misses, it takes half the damage it would have inflicted in recoil.","Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.

This move cannot be used while gravity is in effect.",,,0,0,0,0,0,0,0,0
27,rolling-kick,回旋踢,2,85,30,15,0,60,2,10,"一边使身体快速旋转，
一边踢飞对手进行攻击。
有时会使对手畏缩。",Has a 30% chance to make the target flinch.,Inflicts regular damage.  Has a 30% chance to make the target flinch.,,,0,0,0,0,30,0,0,0
28,sand-attack,泼沙,5,100,,15,0,,1,10,"向对手脸上泼沙子，
从而降低命中率。",Lowers the target's accuracy by one stage.,Lowers the target's accuracy by one stage.,,,0,0,0,0,0,0,2,0
29,headbutt,头锤,1,100,30,15,0,70,2,10,"将头伸出，
笔直地扑向对手进行攻击。
有时会使对手畏缩。",Has a 30% chance to make the target flinch.,Inflicts regular damage.  Has a 30% chance to make the target flinch.,,,0,0,0,0,30,0,0,0
30,horn-attack,角撞,1,100,,25,0,65,2,10,用尖锐的角攻击对手。,Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
31,fury-attack,乱击,1,85,,20,0,15,2,10,"用角或喙
刺向对手进行攻击。
连续攻击２～５次。",Hits 2-5 times in one turn.,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",2,,0,0,0,0,0,0,0,0
32,horn-drill,角钻,1,30,,5,0,,2,10,"用旋转的角
刺入对手进行攻击。
只要命中就会一击濒死。",Causes a one-hit KO.,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",,,0,0,0,0,0,0,9,0
33,tackle,撞击,1,100,,35,0,40,2,10,"用整个身体
撞向对手进行攻击。",Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
34,body-slam,泰山压顶,1,100,30,15,0,85,2,10,"用整个身体
压住对手进行攻击。
有时会让对手陷入麻痹状态。",Has a 30% chance to paralyze the target.,Inflicts regular damage.  Has a 30% chance to paralyze the target.,,,0,0,0,30,0,0,4,1
35,wrap,紧束,1,90,100,20,0,15,2,10,"使用长长的身体或藤蔓等，
在４～５回合内
紧束对手进行攻击。",Prevents the target from fleeing and inflicts damage for 2-5 turns.,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",,4,0,0,0,100,0,0,4,8
36,take-down,猛撞,1,85,,20,0,90,2,10,"以惊人的气势
撞向对手进行攻击。
自己也会受到少许伤害。",User receives 1/4 the damage it inflicts in recoil.,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,,,-25,0,0,0,0,0,0,0
37,thrash,大闹一番,1,100,,10,0,120,2,8,"在２～３回合内，
乱打一气地攻击对手。
大闹一番后自己会陷入混乱。","Hits every turn for 2-3 turns, then confuses the user.","Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.",,,0,0,0,0,0,0,0,0
38,double-edge,舍身冲撞,1,100,,15,0,120,2,10,"拼命地猛撞向对手进行攻击。
自己也会受到不小的伤害。",User receives 1/3 the damage inflicted in recoil.,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,,,-33,0,0,0,0,0,0,0
40,poison-sting,毒针,4,100,30,35,0,15,2,10,"将有毒的针
刺入对手进行攻击。
有时会让对手陷入中毒状态。",Has a 30% chance to poison the target.,Inflicts regular damage.  Has a 30% chance to poison the target.,,,0,0,0,30,0,0,4,5
41,twineedle,双针,7,100,20,20,0,25,2,10,"将２根针刺入对手，
连续２次给予伤害。
有时会让对手陷入中毒状态。",Hits twice in the same turn.  Has a 20% chance to poison the target.,Inflicts regular damage.  Hits twice in the same turn.  Has a 20% chance to poison the target.,2,,0,0,0,20,0,0,4,5
42,pin-missile,飞弹针,7,95,,20,0,25,2,10,"向对手发射
锐针进行攻击。
连续攻击２～５次。",Hits 2-5 times in one turn.,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",2,,0,0,0,0,0,0,0,0
43,leer,瞪眼,1,100,100,30,0,,1,11,"用犀利的眼神使其害怕，
从而降低对手的防御。",Lowers the target's Defense by one stage.,Lowers the target's Defense by one stage.,,,0,0,0,0,0,100,2,0
44,bite,咬住,17,100,30,25,0,60,2,10,"用尖锐的牙
咬住对手进行攻击。
有时会使对手畏缩。",Has a 30% chance to make the target flinch.,Inflicts regular damage.  Has a 30% chance to make the target flinch.,,,0,0,0,0,30,0,0,0
45,growl,叫声,1,100,,40,0,,1,11,"让对手听可爱的叫声，
引开注意力使其疏忽，
从而降低对手的攻击。",Lowers the target's Attack by one stage.,Lowers the target's Attack by one stage.,,,0,0,0,0,0,0,2,0
46,roar,吼叫,1,,,20,-6,,1,10,"放走对手，强制拉后备宝可梦上场。
如果对手为野生宝可梦，
战斗将直接结束。",Immediately ends wild battles.  Forces trainers to switch Pokémon.,"Switches the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.

Doesn't affect Pokémon with suction cups or under the effect of ingrain.",,,0,0,0,0,0,0,12,0
47,sing,唱歌,1,55,,15,0,,1,10,"让对手听舒适、
美妙的歌声，
从而陷入睡眠状态。",Puts the target to sleep.,Puts the target to sleep.,,4,0,0,0,0,0,0,1,2
48,supersonic,超音波,1,55,,20,0,,1,10,"从身体发出
特殊的音波，
从而使对手混乱。",Confuses the target.,Confuses the target.,,5,0,0,0,0,0,0,1,6
49,sonic-boom,音爆,1,90,,20,0,,3,10,"将冲击波
撞向对手进行攻击。
必定会给予２０的伤害。",Inflicts 20 points of damage.,Inflicts exactly 20 damage.,,,0,0,0,0,0,0,0,0
50,disable,定身法,1,100,,20,0,,1,10,"阻碍对手行动，
之前使出的招式
将在４回合内无法使用。",Disables the target's last used move for 1-8 turns.,"Disables the target's last used move, preventing its use for 4–7 turns, selected at random, or until the target leaves the field.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed,  if its last used move has 0 PP remaining, or if it already has a move disabled, this move will fail.",,4,0,0,0,0,0,0,13,13
51,acid,溶解液,4,100,10,30,0,40,3,11,"将强酸泼向对手进行攻击。
有时会降低对手的特防。",Has a 10% chance to lower the target's Special Defense by one stage.,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.,,,0,0,0,0,0,10,6,0
52,ember,火花,10,100,10,25,0,40,3,10,"向对手发射
小型火焰进行攻击。
有时会让对手陷入灼伤状态。",Has a 10% chance to burn the target.,Inflicts regular damage.  Has a 10% chance to burn the target.,,,0,0,0,10,0,0,4,4
53,flamethrower,喷射火焰,10,100,10,15,0,90,3,10,"向对手发射
烈焰进行攻击。
有时会让对手陷入灼伤状态。",Has a 10% chance to burn the target.,Inflicts regular damage.  Has a 10% chance to burn the target.,,,0,0,0,10,0,0,4,4
54,mist,白雾,15,,,30,0,,1,4,"用白雾覆盖身体。
在５回合内不会让对手
降低自己的能力。",Protects the user's stats from being changed by enemy moves.,"Pokémon on the user's side of the field are immune to stat-lowering effects for five turns.

guard swap, heart swap, and power swap may still be used.

defog used by an opponent will end this effect.",,,0,0,0,0,0,0,11,0
55,water-gun,水枪,11,100,,25,0,40,3,10,"向对手猛烈地喷射
水流进行攻击。",Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
56,hydro-pump,水炮,11,80,,5,0,110,3,10,"向对手猛烈地喷射
大量水流进行攻击。",Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
57,surf,冲浪,11,100,,15,0,90,3,9,"利用大浪
攻击自己周围所有的宝可梦。",Inflicts regular damage and can hit Dive users.,"Inflicts regular damage.

If the target is in the first turn of dive, this move will hit with double power.",,,0,0,0,0,0,0,0,0
58,ice-beam,冰冻光束,15,100,10,10,0,90,3,10,"向对手发射
冰冻光束进行攻击。
有时会让对手陷入冰冻状态。",Has a 10% chance to freeze the target.,Inflicts regular damage.  Has a 10% chance to freeze the target.,,,0,0,0,10,0,0,4,3
59,blizzard,暴风雪,15,70,10,5,0,110,3,11,"将猛烈的暴风雪
刮向对手进行攻击。
有时会让对手陷入冰冻状态。",Has a 10% chance to freeze the target.,"Inflicts regular damage.  Has a 10% chance to freeze the target.

During hail, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.",,,0,0,0,10,0,0,4,3
60,psybeam,幻象光线,14,100,10,20,0,65,3,10,"向对手发射
神奇的光线进行攻击。
有时会使对手混乱。",Has a 10% chance to confuse the target.,Inflicts regular damage.  Has a 10% chance to confuse the target.,,5,0,0,0,10,0,0,4,6
61,bubble-beam,泡沫光线,11,100,10,20,0,65,3,10,"向对手猛烈地喷射
泡沫进行攻击。
有时会降低对手的速度。",Has a 10% chance to lower the target's Speed by one stage.,Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage.,,,0,0,0,0,0,10,6,0
62,aurora-beam,极光束,15,100,10,20,0,65,3,10,"向对手发射
虹色光束进行攻击。
有时会降低对手的攻击。",Has a 10% chance to lower the target's Attack by one stage.,Inflicts regular damage.  Has a 10% chance to lower the target's Attack by one stage.,,,0,0,0,0,0,10,6,0
63,hyper-beam,破坏光线,1,90,,5,0,150,3,10,"向对手发射
强烈的光线进行攻击。
下一回合自己将无法动弹。",User foregoes its next turn to recharge.,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",,,0,0,0,0,0,0,0,0
64,peck,啄,3,100,,35,0,35,2,10,"用尖锐的喙或角
刺向对手进行攻击。",Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
65,drill-peck,啄钻,3,100,,20,0,80,2,10,"一边旋转，一边将尖喙
刺入对手进行攻击。",Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
66,submission,地狱翻滚,2,80,,20,0,80,2,10,"将对手连同自己一起
摔向地面进行攻击。
自己也会受到少许伤害。",User receives 1/4 the damage it inflicts in recoil.,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,,,-25,0,0,0,0,0,0,0
67,low-kick,踢倒,2,100,,20,0,,2,10,"用力踢对手的脚，
使其摔倒进行攻击。
对手越重，威力越大。","Inflicts more damage to heavier targets, with a maximum of 120 power.","Inflicts regular damage.  Power increases with the target's weight in kilograms, to a maximum of 120.

Target's weight | Power
--------------- | ----:
Up to 10kg      |    20
Up to 25kg      |    40
Up to 50kg      |    60
Up to 100kg     |    80
Up to 200kg     |   100
Above 200kg     |   120
",,,0,0,0,0,0,0,0,0
68,counter,双倍奉还,2,100,,20,-5,,2,1,"从对手那里受到
物理攻击的伤害将以
２倍返还给同一个对手。",Inflicts twice the damage the user received from the last physical hit it took.,"Targets the last opposing Pokémon to hit the user with a physical move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror move, nor selected by assist or metronome.",,,0,0,0,0,0,0,0,0
69,seismic-toss,地球上投,2,100,,20,0,,2,10,"利用引力将对手甩飞出去。
给予对手和自己等级相同的伤害。",Inflicts damage equal to the user's level.,"Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored.",,,0,0,0,0,0,0,0,0
70,strength,怪力,1,100,,15,0,80,2,10,"使出浑身力气
殴打对手进行攻击。",Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
71,absorb,吸取,12,100,,25,0,20,3,10,"吸取对手的养分进行攻击。
可以回复给予对手
伤害的一半ＨＰ。",Drains half the damage inflicted to heal the user.,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,,,50,0,0,0,0,0,8,0
72,mega-drain,超级吸取,12,100,,15,0,40,3,10,"吸取对手的养分进行攻击。
可以回复给予对手
伤害的一半ＨＰ。",Drains half the damage inflicted to heal the user.,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,,,50,0,0,0,0,0,8,0
73,leech-seed,寄生种子,12,90,,10,0,,1,10,"植入寄生种子后，将在每回合
一点一点吸取对手的ＨＰ，
从而用来回复自己的ＨＰ。","Seeds the target, stealing HP from it every turn.","Plants a seed on the target that drains 1/8 of its max HP at the end of every turn and heals the user for the amount taken.  Has no effect on grass Pokémon.  The seed remains until the target leaves the field.

The user takes damage instead of being healed if the target has liquid ooze.

rapid spin will remove this effect.

This effect is passed on by baton pass.",,,0,0,0,0,0,0,1,18
74,growth,生长,1,,,20,0,,1,7,"让身体一下子长大，
从而提高攻击和特攻。",Raises the user's Attack and Special Attack by one stage.,"Raises the user's Attack and Special Attack by one stage each.  During sunny day, raises both stats by two stages.",,,0,0,0,0,0,0,2,0
75,razor-leaf,飞叶快刀,12,95,,25,0,55,2,11,"飞出叶片，
切斩对手进行攻击。
容易击中要害。",Has an increased chance for a critical hit.,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,,,0,0,1,0,0,0,0,0
76,solar-beam,日光束,12,100,,10,0,120,3,10,"第１回合收集满满的日光，
第２回合发射光束进行攻击。",Requires a turn to charge before attacking.,"Inflicts regular damage.  User charges for one turn before attacking.

During sunny day, the charge turn is skipped.

During hail, rain dance, or sandstorm, power is halved.

This move cannot be selected by sleep talk.",,,0,0,0,0,0,0,0,0
77,poison-powder,毒粉,4,75,,35,0,,1,10,"撒出毒粉，
从而让对手陷入中毒状态。",Poisons the target.,Poisons the target.,,,0,0,0,0,0,0,1,5
78,stun-spore,麻痹粉,12,75,,30,0,,1,10,"撒出麻痹粉，
从而让对手陷入麻痹状态。",Paralyzes the target.,Paralyzes the target.,,,0,0,0,0,0,0,1,1
79,sleep-powder,催眠粉,12,75,,15,0,,1,10,"撒出催眠粉，
从而让对手陷入睡眠状态。",Puts the target to sleep.,Puts the target to sleep.,,4,0,0,0,0,0,0,1,2
80,petal-dance,花瓣舞,12,100,,10,0,120,3,8,"在２～３回合内，
散落花瓣攻击对手。
之后自己会陷入混乱。","Hits every turn for 2-3 turns, then confuses the user.","Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.",,,0,0,0,0,0,0,0,0
81,string-shot,吐丝,7,95,,40,0,,1,11,"用口中吐出的丝缠绕对手，
从而大幅降低对手的速度。",Lowers the target's Speed by two stages.,Lowers the target's Speed by two stages.,,,0,0,0,0,0,0,2,0
82,dragon-rage,龙之怒,16,100,,10,0,,3,10,"将愤怒的冲击波
撞向对手进行攻击。
必定会给予４０的伤害。",Inflicts 40 points of damage.,Inflicts exactly 40 damage.,,,0,0,0,0,0,0,0,0
83,fire-spin,火焰旋涡,10,85,100,15,0,35,3,10,"将对手困在
激烈的火焰旋涡中，
在４～５回合内进行攻击。",Prevents the target from fleeing and inflicts damage for 2-5 turns.,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",,6,0,0,0,100,0,0,4,8
84,thunder-shock,电击,13,100,10,30,0,40,3,10,"发出电流刺激对手进行攻击。
有时会让对手陷入麻痹状态。",Has a 10% chance to paralyze the target.,Inflicts regular damage.  Has a 10% chance to paralyze the target.,,,0,0,0,10,0,0,4,1
85,thunderbolt,十万伏特,13,100,10,15,0,90,3,10,"向对手发出
强力电击进行攻击。
有时会让对手陷入麻痹状态。",Has a 10% chance to paralyze the target.,Inflicts regular damage.  Has a 10% chance to paralyze the target.,,,0,0,0,10,0,0,4,1
86,thunder-wave,电磁波,13,90,,20,0,,1,10,"向对手发出
微弱的电击，
从而让对手陷入麻痹状态。",Paralyzes the target.,Paralyzes the target.,,,0,0,0,0,0,0,1,1
87,thunder,打雷,13,70,30,10,0,110,3,10,"向对手劈下暴雷进行攻击。
有时会让对手陷入麻痹状态。",Has a 30% chance to paralyze the target.,"Inflicts regular damage.  Has a 30% chance to paralyze the target.

During rain dance, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.

During sunny day, this move has 50% accuracy.",,,0,0,0,30,0,0,4,1
88,rock-throw,落石,6,90,,15,0,50,2,10,"拿起小岩石，
投掷对手进行攻击。",Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
89,earthquake,地震,5,100,,10,0,100,2,9,"利用地震的冲击，
攻击自己周围所有的宝可梦。",Inflicts regular damage and can hit Dig users.,"Inflicts regular damage.

If the target is in the first turn of dig, this move will hit with double power.",,,0,0,0,0,0,0,0,0
90,fissure,地裂,5,30,,5,0,,2,10,"让对手掉落于地裂的
裂缝中进行攻击。
只要命中就会一击濒死。",Causes a one-hit KO.,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",,,0,0,0,0,0,0,9,0
91,dig,挖洞,5,100,,10,0,80,2,10,"第１回合钻入，
第２回合攻击对手。","User digs underground, dodging all attacks, and hits next turn.","Inflicts regular damage.  User digs underground for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, earthquake, fissure, and magnitude still hit the user normally, and their power is doubled if appropriate.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be selected by sleep talk.",,,0,0,0,0,0,0,0,0
92,toxic,剧毒,4,90,,10,0,,1,10,"让对手陷入剧毒状态。
随着回合的推进，
中毒伤害会增加。","Badly poisons the target, inflicting more damage every turn.",Badly poisons the target.  Never misses when used by a poison-type Pokémon.,,15,0,0,0,0,0,0,1,5
93,confusion,念力,14,100,10,25,0,50,3,10,"向对手发送
微弱的念力进行攻击。
有时会使对手混乱。",Has a 10% chance to confuse the target.,Inflicts regular damage.  Has a 10% chance to confuse the target.,,5,0,0,0,10,0,0,4,6
94,psychic,精神强念,14,100,10,10,0,90,3,10,"向对手发送
强大的念力进行攻击。
有时会降低对手的特防。",Has a 10% chance to lower the target's Special Defense by one stage.,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.,,,0,0,0,0,0,10,6,0
95,hypnosis,催眠术,14,60,,20,0,,1,10,"施以诱导睡意的暗示，
让对手陷入睡眠状态。",Puts the target to sleep.,Puts the target to sleep.,,4,0,0,0,0,0,0,1,2
96,meditate,瑜伽姿势,14,,,40,0,,1,7,"唤醒身体深处
沉睡的力量，
从而提高自己的攻击。",Raises the user's Attack by one stage.,Raises the user's Attack by one stage.,,,0,0,0,0,0,0,2,0
97,agility,高速移动,14,,,30,0,,1,7,"让身体放松变得轻盈，
以便高速移动。
大幅提高自己的速度。",Raises the user's Speed by two stages.,Raises the user's Speed by two stages.,,,0,0,0,0,0,0,2,0
98,quick-attack,电光一闪,1,100,,30,1,40,2,10,"以迅雷不及掩耳之势扑向对手。
必定能够先制攻击。",Inflicts regular damage with no additional effect.,Inflicts regular damage.,,,0,0,0,0,0,0,0,0
