id,code,name,condition_id,enabled
98,other-reshiram-zekrom-in-party,Have Reshiram and Zekrom in party,10,true
99,other-captured-all-ultra-beasts,Captured all Ultra Beasts,10,true
100,story-progress-finished-looker-sidequest,Finished Looker’s Sidequest,9,true
101,story-progress-beat-olivias-trial,After finishing Olivia’s trial,9,true
102,other-raikou-entei-in-party,Have Raikou and Entei in party,10,true
103,other-groudon-kyogre-in-party,Have Groudon and Kyogre in party,10,true
104,other-dialga-palkia-in-party,Have Dialga and Palkia in party,10,true
105,other-scan-qr-code,Scan a specific QR Code,10,true
106,other-caught-articuno,other caught articuno,10,true
107,other-caught-zapdos,other caught zapdos,10,true
108,other-caught-moltres,other caught moltres,10,true
109,trade-togepi-or-togetic,Give Togepi or Togetic in a Trade,15,true
110,trade-trapinch,Give Trapunch in a Trade,15,true
111,trade-surskit,Give Surskit in a Trade,15,true
112,trade-wooper,Give Wooper in a Trade,15,true
113,story-progress-catch-all-shadow-pokemon,Catch all 82 Shadow Pokemon and Mirror B will appear in Gateon with a Shadow Dragonite,9,true
114,other-complete-mt-battle,Complete Mt. Battle to receive a special prize Pokemon,9,true
115,coins-180,Have at least 180 coins in your Coin Case,16,true
116,coins-500,Have at least 500 coins in your Coin Case,16,true
117,coins-1200,Have at least 1200 coins in your Coin Case,16,true
118,coins-2800,Have at least 2800 coins in your Coin Case,16,true
119,coins-5500,Have at least 5500 coins in your Coin Case,16,true
120,coins-9999,Have at least 9999 coins in your Coin Case,16,true
121,coins-120,Have at least 120 coins in your Coin Case,16,true
122,coins-750,Have at least 750 coins in your Coin Case,16,true
123,coins-2500,Have at least 2500 coins in your Coin Case,16,true
124,coins-4600,Have at least 4600 coins in your Coin Case,16,true
125,coins-6500,Have at least 6500 coins in your Coin Case,16,true
126,coins-230,Have at least 230 coins in your Coin Case,16,true
127,coins-1000,Have at least 1000 coins in your Coin Case,16,true
128,coins-2680,Have at least 2680 coins in your Coin Case,16,true
129,coins-3333,Have at least 3333 coins in your Coin Case,16,true
130,coins-6666,Have at least 6666 coins in your Coin Case,16,true
131,coins-200,Have at least 200 coins in your Coin Case,16,true
132,coins-700,Have at least 700 coins in your Coin Case,16,true
133,coins-2100,Have at least 2100 coins in your Coin Case,16,true
134,coins-100,Have at least 100 coins in your Coin Case,16,true
135,coins-800,Have at least 800 coins in your Coin Case,16,true
136,coins-1500,Have at least 1500 coins in your Coin Case,16,true
137,coins-2222,Have at least 2222 coins in your Coin Case,16,true
138,coins-5555,Have at least 5555 coins in your Coin Case,16,true
139,coins-8888,Have at least 8888 coins in your Coin Case,16,true
140,coins-150,Have at least 150 coins in your Coin Case,16,true
141,coins-620,Have at least 620 coins in your Coin Case,16,true
142,coins-2880,Have at least 2880 coins in your Coin Case,16,true
143,coins-5400,Have at least 5400 coins in your Coin Case,16,true
144,coins-8300,Have at least 8300 coins in your Coin Case,16,true
145,trade-abra,Give Abra in a Trade,15,true
146,trade-nidoran-m,Give Nidoran-M in a Trade,15,true
147,trade-nidorino,Give Nidorino in a Trade,15,true
148,trade-slowbro,Give Slowbro in a Trade,15,true
149,trade-poliwhirl,Give Poliwhirl in a Trade,15,true
150,trade-spearow,Give Spearow in a Trade,15,true
151,trade-raichu,Give Raichu in a Trade,15,true
152,trade-venonat,Give Venonat in a Trade,15,true
153,trade-ponyta,Give Ponyta in a Trade,15,true
154,trade-clefairy,Give Clefairy in a Trade,15,true
155,trade-cubone,Give Cubone in a Trade,15,true
156,trade-lickitung,Give Lickitung in a Trade,15,true
157,trade-tangela,Give Tangela in a Trade,15,true
158,trade-golduck,Give Golduck in a Trade,15,true
159,trade-growlithe,Give Growlithe in a Trade,15,true
160,trade-kangaskhan,Give Kangaskhan in a Trade,15,true
161,trade-bellsprout,Give Bellsprout in a Trade,15,true
162,trade-drowzee,Give Drowzee in a Trade,15,true
163,trade-krabby,Give Krabby in a Trade,15,true
164,trade-dragonair,Give Dragonair in a Trade,15,true
165,trade-chansey,Give Chansey in a Trade,15,true
166,trade-gloom,Give Gloom in a Trade,15,true
167,trade-haunter,Give Haunter in a Trade,15,true
168,trade-dugtrio,Give Dugtrio in a Trade,15,true
169,trade-slakoth,Give Slakoth in a Trade,15,true
170,trade-pikachu,Give Pikachu in a Trade,15,true
171,trade-bellossom,Give Bellossom in a Trade,15,true
172,trade-ralts,Give Ralts in a Trade,15,true
173,trade-volbeat,Give Volbeat in a Trade,15,true
174,trade-bagon,Give Bagon in a Trade,15,true
175,trade-skitty,Give Skitty in a Trade,15,true
176,friend-safari-slot-1,Randomly assigned to Friend Safari Slot 1,17,true
177,friend-safari-slot-2,Randomly assigned to Friend Safari Slot 2,17,true
178,friend-safari-slot-3,Randomly assigned to Friend Safari Slot 3,17,true
179,item-skull-fossil,Have Skull Fossil in bag,11,true
180,item-armor-fossil,Have Armor Fossil in bag,11,true
181,great-marsh-daily-slot-none,Great Marsh Daily Chance: None,18,true
182,great-marsh-daily-slot-1-of-32,Great Marsh Daily Chance: 1 in 32,18,true
183,great-marsh-daily-slot-2-of-32,Great Marsh Daily Chance: 2 in 32,18,true
184,great-marsh-daily-slot-3-of-32,Great Marsh Daily Chance: 3 in 32,18,true
185,great-marsh-daily-slot-5-of-32,Great Marsh Daily Chance: 5 in 32,18,true
186,story-progress-before-national-dex,Before National Pokédex,9,true
187,great-marsh-daily-slot-4-of-32,Great Marsh Daily Chance: 4 in 32,18,true
188,great-marsh-daily-slot-15-of-32,Great Marsh Daily Chance: 15 in 32,18,true
189,honey-tree-group-a,Honey Tree Group A (70% on normal trees / 20% on Munchlax trees),19,true
190,honey-tree-group-b,Honey Tree Group B (20% on normal trees / 70% on Munchlax trees),19,true
191,honey-tree-group-c,Honey Tree Group C (0% on normal trees / 1% on Munchlax trees),19,true
192,headbutt-tree-common,Headbutt Tree (Common),20,true
193,headbutt-tree-rare,Headbutt Tree (Rare),20,true
194,headbutt-tree-secret,Headbutt Tree (Secret),20,true
195,trade-cottonee,Give Cottonee in a Trade,15,true
196,trade-petilil,Give Petilil in a Trade,15,true
197,trade-emolga,Give Emolga in a Trade,15,true
198,trade-mantine,Give Mantine in a Trade,15,true
199,trade-ditto,Give Ditto in a Trade,15,true
200,trade-excadrill,Give Excadrill in a Trade,15,true
201,trade-hippowdon,Give Hippowdon in a Trade,15,true
202,backlot-not-mentioned,Mr. Backlot hasn't mentioned any Pokemon,21,true
203,backlot-mentioned,Mr. Backlot has mentioned seeing this Pokemon in the garden,21,true
204,bug-catching-contest-no,Not during the Bug-Catching Contest,22,true
205,bug-catching-contest-yes,During the Bug-Catching Contest,22,true
