id,area_id,species_id,base_score,rate
114,2,38,80,10
115,2,39,80,10
116,2,40,90,3
117,2,52,50,30
118,2,53,70,20
119,2,58,70,20
120,2,59,80,10
121,2,63,50,30
122,2,64,80,10
123,2,65,90,3
124,2,77,50,30
125,2,78,70,20
126,2,83,70,20
127,2,84,50,30
128,2,85,70,20
129,2,88,50,30
130,2,89,70,20
131,2,100,50,30
132,2,101,70,20
133,2,108,70,20
134,2,113,90,3
135,2,115,70,20
136,2,122,70,20
137,2,123,70,20
138,2,124,70,20
139,2,128,70,20
140,2,132,70,20
141,2,133,90,3
142,2,134,90,3
143,2,135,90,3
144,2,136,90,3
145,2,137,80,10
146,2,143,80,10
147,2,150,90,3
148,2,152,50,30
149,2,153,80,10
150,2,154,90,3
151,2,155,50,30
152,2,156,80,10
153,2,157,90,3
154,2,161,30,50
155,2,162,50,30
156,2,165,30,50
157,2,166,50,30
158,2,167,30,50
159,2,168,50,30
160,2,172,80,10
161,2,173,80,10
162,2,174,80,10
163,2,175,80,10
164,2,176,90,3
165,2,179,50,30
166,2,180,70,20
167,2,181,80,10
168,2,187,50,30
169,2,188,70,20
170,2,189,80,10
171,2,191,50,30
172,2,192,70,20
173,2,193,80,10
174,2,196,90,3
175,2,197,90,3
176,2,202,80,10
177,2,203,70,20
178,2,209,50,30
179,2,210,70,20
180,2,212,90,3
181,2,233,80,10
182,2,234,50,30
183,2,235,80,10
184,2,238,80,10
185,2,241,70,20
186,2,242,90,3
187,2,255,50,30
188,2,256,80,10
189,2,257,90,3
190,2,261,30,50
191,2,262,50,30
192,2,263,30,50
193,2,264,50,30
194,2,276,30,50
195,2,277,50,30
196,2,280,50,30
197,2,281,70,20
198,2,282,80,10
199,2,300,50,30
200,2,301,70,20
201,2,309,50,30
202,2,310,70,20
203,2,311,90,3
204,2,312,90,3
205,2,315,70,20
206,2,325,50,30
207,2,326,70,20
208,2,327,50,30
209,2,333,50,30
210,2,334,80,10
211,2,335,70,20
212,2,351,80,10
213,2,360,80,10
214,2,380,90,3
215,2,381,90,3
216,2,384,90,3
217,2,390,50,30
218,2,391,80,10
219,2,392,90,3
220,2,396,30,50
221,2,397,50,30
222,2,398,70,20
223,2,399,30,50
224,2,400,50,30
225,2,403,50,30
226,2,404,70,20
227,2,405,80,10
228,2,406,80,10
229,2,407,80,10
230,2,421,90,3
231,2,427,50,30
232,2,428,70,20
233,2,431,50,30
234,2,432,70,20
235,2,433,70,20
236,2,438,90,3
237,2,439,90,3
238,2,440,50,30
239,2,441,70,20
240,2,442,80,10
241,2,447,70,20
242,2,448,50,30
243,2,449,70,20
244,2,463,80,10
245,2,468,80,10
246,2,469,80,10
247,2,470,90,3
248,2,471,90,3
249,2,474,80,10
250,2,475,80,10
251,2,479,90,3
252,2,480,90,3
253,2,481,90,3
254,2,482,90,3
255,2,492,100,1
256,3,27,50,30
257,3,28,70,20
258,3,35,80,10
259,3,36,90,3
260,3,41,30,50
261,3,42,50,30
262,3,50,30,50
263,3,51,50,30
264,3,56,50,30
265,3,57,70,20
266,3,66,50,30
267,3,67,80,10
268,3,68,90,3
269,3,74,30,50
270,3,75,50,30
271,3,76,70,20
272,3,81,50,30
273,3,82,70,20
274,3,95,80,10
275,3,104,50,30
276,3,105,70,20
277,3,106,80,10
278,3,107,80,10
279,3,109,50,30
280,3,110,70,20
281,3,111,50,30
282,3,112,70,20
283,3,125,70,20
284,3,126,70,20
285,3,142,70,20
286,3,144,90,3
287,3,145,90,3
288,3,146,90,3
289,3,149,90,3
290,3,160,90,3
291,3,169,90,3
292,3,185,70,20
293,3,207,50,30
294,3,208,90,3
295,3,215,50,30
296,3,218,50,30
297,3,219,70,20
298,3,220,50,30
299,3,221,70,20
300,3,225,70,20
301,3,227,70,20
302,3,228,50,30
303,3,229,70,20
304,3,231,50,30
305,3,232,70,20
306,3,236,80,10
307,3,237,80,10
308,3,239,80,10
309,3,240,80,10
310,3,243,90,3
311,3,244,90,3
312,3,245,90,3
313,3,246,70,20
314,3,247,80,10
315,3,248,90,3
316,3,249,90,3
317,3,250,90,3
318,3,293,50,30
319,3,294,70,20
320,3,295,80,10
321,3,296,50,30
322,3,297,70,20
323,3,299,70,20
324,3,302,70,20
325,3,303,70,20
326,3,304,50,30
327,3,305,70,20
328,3,306,80,10
329,3,307,50,30
330,3,308,70,20
331,3,313,70,20
332,3,314,70,20
333,3,322,50,30
334,3,323,70,20
335,3,324,70,20
336,3,328,50,30
337,3,329,70,20
338,3,330,80,10
339,3,331,50,30
340,3,332,70,20
341,3,337,70,20
342,3,338,70,20
343,3,343,50,30
344,3,344,70,20
345,3,358,80,10
346,3,359,80,10
347,3,361,50,30
348,3,362,70,20
349,3,371,50,30
350,3,372,70,20
351,3,373,80,10
352,3,374,70,20
353,3,375,80,10
354,3,376,90,3
355,3,377,90,3
356,3,378,90,3
357,3,379,90,3
358,3,383,90,3
359,3,385,100,1
360,3,386,100,1
361,3,408,70,20
362,3,409,80,10
363,3,410,70,20
364,3,411,80,10
365,3,419,70,20
366,3,420,80,10
367,3,434,80,10
368,3,435,50,30
369,3,436,70,20
370,3,437,80,10
371,3,443,50,30
372,3,444,70,20
373,3,454,50,30
374,3,455,70,20
375,3,456,80,10
376,3,457,90,3
377,3,458,90,3
378,3,459,50,30
379,3,460,70,20
380,3,461,80,10
381,3,462,80,10
382,3,464,80,10
383,3,466,80,10
384,3,467,80,10
385,3,472,80,10
386,3,473,80,10
387,3,476,80,10
388,3,478,80,10
389,3,483,90,3
390,3,484,90,3
391,3,485,90,3
392,3,486,90,3
393,3,487,90,3
394,3,491,100,1
395,3,493,100,1
396,4,7,50,30
397,4,8,80,10
398,4,9,90,3
399,4,54,50,30
400,4,55,70,20
401,4,60,50,30
402,4,61,80,10
403,4,62,90,3
404,4,79,50,30
405,4,80,70,20
406,4,118,50,30
407,4,119,70,20
408,4,129,30,50
409,4,130,90,3
410,4,147,70,20
411,4,148,80,10
412,4,158,50,30
413,4,159,80,10
414,4,183,50,30
415,4,184,70,20
416,4,186,80,10
417,4,194,50,30
418,4,195,70,20
419,4,199,80,10
420,4,258,50,30
421,4,259,80,10
422,4,260,90,3
423,4,270,30,50
424,4,271,50,30
425,4,272,80,10
426,4,283,50,30
427,4,284,70,20
428,4,298,80,10
429,4,339,50,30
430,4,340,70,20
431,4,341,50,30
432,4,342,70,20
433,4,393,50,30
434,4,394,80,10
435,4,395,90,3
436,4,424,50,30
437,4,425,70,20
438,4,445,50,30
439,4,446,70,20
440,5,72,30,50
441,5,73,50,30
442,5,86,50,30
443,5,87,70,20
444,5,90,50,30
445,5,91,70,20
446,5,98,50,30
447,5,99,70,20
448,5,116,50,30
449,5,117,70,20
450,5,120,50,30
451,5,121,70,20
452,5,131,90,3
453,5,138,50,30
454,5,139,70,20
455,5,140,50,30
456,5,141,70,20
457,5,170,50,30
458,5,171,70,20
459,5,211,80,10
460,5,213,80,10
461,5,222,70,20
462,5,223,50,30
463,5,224,70,20
464,5,226,70,20
465,5,230,80,10
466,5,278,30,50
467,5,279,50,30
468,5,318,50,30
469,5,319,70,20
470,5,320,50,30
471,5,321,80,10
472,5,345,70,20
473,5,346,80,10
474,5,347,70,20
475,5,348,80,10
476,5,349,70,20
477,5,350,90,3
478,5,363,50,30
479,5,364,70,20
480,5,365,80,10
481,5,366,50,30
482,5,367,80,10
483,5,368,80,10
484,5,369,80,10
485,5,370,50,30
486,5,382,90,3
487,5,422,50,30
488,5,423,70,20
489,5,450,80,10
490,5,451,50,30
491,5,452,70,20
492,5,489,90,3
493,5,490,100,1
