id,stat_id,skill_id,change_value,effect_type
166,5,313,-2,decrease
167,5,319,-2,decrease
168,5,370,-1,decrease
169,5,405,-1,decrease
170,5,411,-1,decrease
171,5,412,-1,decrease
172,5,414,-1,decrease
173,5,430,-1,decrease
174,5,465,-2,decrease
175,5,491,-2,decrease
176,5,504,-1,decrease
177,5,557,-1,decrease
178,5,620,-1,decrease
179,5,787,-1,decrease
180,5,855,-2,decrease
181,5,890,-1,decrease
182,6,97,2,increase
183,6,229,1,increase
184,6,246,1,increase
185,6,318,1,increase
186,6,349,1,increase
187,6,397,2,increase
188,6,466,1,increase
189,6,475,2,increase
190,6,483,1,increase
191,6,488,1,increase
192,6,504,2,increase
193,6,508,2,increase
194,6,601,2,increase
195,6,702,2,increase
196,6,728,1,increase
197,6,748,1,increase
198,6,775,1,increase
199,6,783,1,increase
200,6,868,2,increase
201,6,872,1,increase
202,6,882,1,increase
203,6,885,1,increase
204,6,61,-1,decrease
205,6,81,-2,decrease
206,6,132,-1,decrease
207,6,145,-1,decrease
208,6,178,-2,decrease
209,6,184,-2,decrease
210,6,196,-1,decrease
211,6,317,-1,decrease
212,6,341,-1,decrease
213,6,359,-1,decrease
214,6,490,-1,decrease
215,6,523,-1,decrease
216,6,527,-1,decrease
217,6,549,-1,decrease
218,6,557,-1,decrease
219,6,599,-1,decrease
220,6,665,-1,decrease
221,6,672,-1,decrease
222,6,749,-1,decrease
223,6,778,-1,decrease
224,6,852,-1,decrease
225,6,859,-2,decrease
226,6,884,-1,decrease
227,6,903,-1,decrease
228,7,468,1,increase
229,7,489,1,increase
230,7,28,-1,decrease
231,7,108,-1,decrease
232,7,134,-1,decrease
233,7,148,-1,decrease
234,7,189,-1,decrease
235,7,190,-1,decrease
236,7,330,-1,decrease
237,7,426,-1,decrease
238,7,429,-1,decrease
239,7,536,-1,decrease
240,7,539,-1,decrease
241,8,104,1,increase
242,8,107,2,increase
243,8,729,1,increase
244,8,230,-2,decrease
245,8,432,-1,decrease
