id,creature_id,item_id,rarity
2887,334,227,100
2904,335,194,5
2905,335,228,100
2907,336,133,100
2913,336,272,5
2935,337,81,5
2942,337,215,100
2968,338,80,5
2984,343,246,5
2990,344,246,5
3007,345,273,5
3024,346,273,5
3046,351,220,5
3060,352,133,5
3082,353,224,5
3104,354,224,5
3114,355,173,5
3125,355,224,5
3134,356,173,5
3145,356,224,5
3154,358,175,5
3162,359,247,5
3171,361,176,5
3177,361,689,5
3186,362,176,5
3191,362,223,5
3236,367,203,5
3253,368,204,5
3275,369,204,5
3302,371,212,5
3319,371,227,5
3324,372,212,5
3341,372,227,5
3346,373,212,5
3363,373,227,5
3385,374,210,5
3407,375,210,5
3429,376,210,5
3461,396,165,5
3470,397,165,5
3479,398,165,5
3488,400,132,50
3497,400,135,5
3514,401,254,5
3531,402,254,5
3548,406,222,5
3565,407,222,5
3567,407,588,1
3584,413,199,5
3601,414,199,5
3635,416,222,5
3642,418,163,5
3649,419,163,5
3666,420,216,5
3683,421,216,5
3685,426,584,1
3687,427,128,50
3694,427,166,5
3696,428,128,50
3703,428,166,5
3712,431,126,5
3721,432,126,5
3730,433,175,5
3745,434,128,5
3754,435,128,5
3771,436,210,5
3788,437,210,5
3795,439,131,5
3812,440,110,50
3842,441,254,5
3851,443,174,5
3860,444,174,5
3869,445,174,5
3886,446,211,5
3903,451,222,5
3920,452,222,5
3937,453,258,5
3954,454,258,5
3963,456,164,5
3972,457,164,5
3989,459,223,5
4006,460,223,5
4023,461,194,5
4034,461,263,50
4051,462,210,5
4068,463,256,5
4085,466,299,5
4102,467,300,5
4119,469,242,5
4132,476,215,5
4136,476,219,5
4145,477,173,5
4151,477,224,5
4160,478,176,5
4177,492,134,5
4181,511,132,50
4185,511,161,5
4189,512,132,50
4193,512,161,5
4197,513,132,50
4201,513,162,5
4205,514,132,50
4209,514,162,5
4213,515,132,50
4217,515,164,5
4221,516,132,50
4225,516,164,5
4229,522,126,50
4233,523,126,50
4257,524,215,5
4281,525,215,5
4305,526,215,5
4317,531,132,50
4329,531,135,5
4331,535,128,50
4333,535,133,50
4335,536,128,50
4337,536,133,50
4339,537,128,50
4341,537,133,50
4353,538,218,5
4357,538,245,1
4369,539,218,5
4373,539,245,1
4385,540,196,5
4397,541,196,5
4409,542,196,5
4411,543,128,50
4423,543,222,5
4425,544,128,50
4437,544,222,5
4439,545,128,50
4451,545,222,5
4455,546,588,5
4459,547,588,5
4463,548,588,5
4467,549,588,5
4479,550,203,5
4483,551,217,5
4487,552,217,5
4491,553,217,50
4495,554,129,50
4499,555,129,50
4511,556,216,5
4515,557,106,1
4527,557,215,5
4531,558,106,1
4543,558,215,5
4555,559,272,5
4567,560,272,5
4579,562,224,5
4591,563,224,5
4599,568,228,5
4607,568,258,5
4619,569,228,50
4631,569,258,5
4635,569,622,1
4639,572,127,50
4643,573,127,50
4645,574,133,50
4647,575,133,50
4649,576,133,50
4651,577,133,50
4653,578,133,50
4655,579,133,50
4659,582,223,5
4663,583,223,5
4667,584,223,50
4671,587,126,100
4739,597,265,5
4751,598,265,5
4755,613,130,50
4759,614,130,50
4771,615,223,5
4783,618,214,5
4795,621,227,5
4807,622,246,5
4819,623,246,5
4821,631,250,1
4833,637,199,5
4853,674,196,5
4861,675,196,5
4869,701,198,5
4873,704,272,5
4877,705,272,5
4881,731,132,5
4885,732,135,5
4889,733,129,5
4893,734,128,5
4897,735,128,5
4901,737,589,5
4905,739,130,5
4909,740,126,5
4925,747,222,5
4929,748,222,5
4933,749,246,5
4937,750,246,5
4941,751,220,5
4945,752,220,5
4949,753,216,5
4953,754,216,5
4981,761,901,5
4985,762,901,5
4989,763,901,50
4993,764,900,5
4997,769,224,5
5001,770,224,5
5009,776,226,5
5013,777,898,5
5017,778,127,5
5021,779,304,5
5025,780,133,5
5029,782,303,5
5033,783,303,5
5037,784,303,50
5054,10004,199,5
5071,10005,199,5
5086,10006,134,5
5108,10013,220,5
5130,10014,220,5
5152,10015,220,5
5164,10016,204,5
5168,10017,129,50
5188,10029,216,5
5196,10032,216,5
5204,10037,225,5
5212,10053,215,5
5220,10056,224,5
5222,10057,247,5
5230,10060,223,5
5236,10069,132,50
5242,10069,135,5
5248,10070,203,5
5254,10071,198,5
5260,10072,210,5
5266,10076,210,5
5268,10080,213,5
5270,10081,213,5
5272,10082,213,5
5274,10083,213,5
5276,10084,213,5
5278,10085,213,5
5284,10089,227,5
5290,10090,222,5
5294,10091,128,5
5298,10092,128,5
5302,10093,128,5
5306,10094,213,5
5310,10095,213,5
5314,10096,213,5
5318,10097,213,5
5322,10098,213,5
5326,10099,213,5
5330,10101,263,5
5334,10102,263,5
5338,10103,689,5
5342,10104,689,5
5346,10105,214,5
5350,10106,214,5
5354,10107,194,5
5358,10108,194,5
5362,10109,589,5
5366,10110,589,5
5370,10111,589,50
5374,10112,258,5
5378,10113,258,50
5386,10121,128,5
5402,10128,216,5
5434,10144,127,5
5438,10146,303,50
5440,10148,213,5
5446,10153,220,5
5448,10154,898,5
