id,code,name,creature_id,version_group_id,form_name,sort_order,form_order,battle_only,default_form,enhanced_form,enabled
204,pineco,pineco,204,3,,337,1,false,true,false,true
205,forretress,forretress,205,3,,338,1,false,true,false,true
206,dunsparce,dunsparce,206,3,,339,1,false,true,false,true
207,gligar,gligar,207,3,,340,1,false,true,false,true
208,steelix,steelix,208,3,,157,1,false,true,false,true
209,snubbull,snubbull,209,3,,342,1,false,true,false,true
210,granbull,granbull,210,3,,343,1,false,true,false,true
211,qwilfish,qwilfish,211,3,,344,1,false,true,false,true
212,scizor,scizor,212,3,,203,1,false,true,false,true
213,shuckle,shuckle,213,3,,345,1,false,true,false,true
214,heracross,heracross,214,3,,346,1,false,true,false,true
215,sneasel,sneasel,215,3,,348,1,false,true,false,true
216,teddiursa,teddiursa,216,3,,350,1,false,true,false,true
217,ursaring,ursaring,217,3,,351,1,false,true,false,true
218,slugma,slugma,218,3,,352,1,false,true,false,true
219,magcargo,magcargo,219,3,,353,1,false,true,false,true
220,swinub,swinub,220,3,,354,1,false,true,false,true
221,piloswine,piloswine,221,3,,355,1,false,true,false,true
222,corsola,corsola,222,3,,357,1,false,true,false,true
223,remoraid,remoraid,223,3,,359,1,false,true,false,true
224,octillery,octillery,224,3,,360,1,false,true,false,true
225,delibird,delibird,225,3,,361,1,false,true,false,true
226,mantine,mantine,226,3,,363,1,false,true,false,true
227,skarmory,skarmory,227,3,,364,1,false,true,false,true
228,houndour,houndour,228,3,,366,1,false,true,false,true
229,houndoom,houndoom,229,3,,367,1,false,true,false,true
230,kingdra,kingdra,230,3,,193,1,false,true,false,true
231,phanpy,phanpy,231,3,,369,1,false,true,false,true
232,donphan,donphan,232,3,,370,1,false,true,false,true
233,porygon2,porygon2,233,3,,232,1,false,true,false,true
234,stantler,stantler,234,3,,371,1,false,true,false,true
235,smeargle,smeargle,235,3,,372,1,false,true,false,true
236,tyrogue,tyrogue,236,3,,172,1,false,true,false,true
237,hitmontop,hitmontop,237,3,,175,1,false,true,false,true
238,smoochum,smoochum,238,3,,205,1,false,true,false,true
239,elekid,elekid,239,3,,207,1,false,true,false,true
240,magby,magby,240,3,,210,1,false,true,false,true
241,miltank,miltank,241,3,,373,1,false,true,false,true
242,blissey,blissey,242,3,,186,1,false,true,false,true
243,raikou,raikou,243,3,,374,1,false,true,false,true
244,entei,entei,244,3,,375,1,false,true,false,true
245,suicune,suicune,245,3,,376,1,false,true,false,true
246,larvitar,larvitar,246,3,,377,1,false,true,false,true
247,pupitar,pupitar,247,3,,378,1,false,true,false,true
248,tyranitar,tyranitar,248,3,,379,1,false,true,false,true
249,lugia,lugia,249,3,,381,1,false,true,false,true
250,ho-oh,ho-oh,250,3,,382,1,false,true,false,true
251,celebi,celebi,251,3,,383,1,false,true,false,true
252,treecko,treecko,252,5,,384,1,false,true,false,true
253,grovyle,grovyle,253,5,,385,1,false,true,false,true
254,sceptile,sceptile,254,5,,386,1,false,true,false,true
255,torchic,torchic,255,5,,388,1,false,true,false,true
256,combusken,combusken,256,5,,389,1,false,true,false,true
257,blaziken,blaziken,257,5,,390,1,false,true,false,true
258,mudkip,mudkip,258,5,,392,1,false,true,false,true
259,marshtomp,marshtomp,259,5,,393,1,false,true,false,true
260,swampert,swampert,260,5,,394,1,false,true,false,true
261,poochyena,poochyena,261,5,,396,1,false,true,false,true
262,mightyena,mightyena,262,5,,397,1,false,true,false,true
263,zigzagoon,zigzagoon,263,5,,398,1,false,true,false,true
264,linoone,linoone,264,5,,400,1,false,true,false,true
265,wurmple,wurmple,265,5,,402,1,false,true,false,true
266,silcoon,silcoon,266,5,,403,1,false,true,false,true
267,beautifly,beautifly,267,5,,404,1,false,true,false,true
268,cascoon,cascoon,268,5,,405,1,false,true,false,true
269,dustox,dustox,269,5,,406,1,false,true,false,true
270,lotad,lotad,270,5,,407,1,false,true,false,true
271,lombre,lombre,271,5,,408,1,false,true,false,true
272,ludicolo,ludicolo,272,5,,409,1,false,true,false,true
273,seedot,seedot,273,5,,410,1,false,true,false,true
274,nuzleaf,nuzleaf,274,5,,411,1,false,true,false,true
275,shiftry,shiftry,275,5,,412,1,false,true,false,true
276,taillow,taillow,276,5,,413,1,false,true,false,true
277,swellow,swellow,277,5,,414,1,false,true,false,true
278,wingull,wingull,278,5,,415,1,false,true,false,true
279,pelipper,pelipper,279,5,,416,1,false,true,false,true
280,ralts,ralts,280,5,,417,1,false,true,false,true
281,kirlia,kirlia,281,5,,418,1,false,true,false,true
282,gardevoir,gardevoir,282,5,,419,1,false,true,false,true
283,surskit,surskit,283,5,,423,1,false,true,false,true
284,masquerain,masquerain,284,5,,424,1,false,true,false,true
285,shroomish,shroomish,285,5,,425,1,false,true,false,true
286,breloom,breloom,286,5,,426,1,false,true,false,true
287,slakoth,slakoth,287,5,,427,1,false,true,false,true
288,vigoroth,vigoroth,288,5,,428,1,false,true,false,true
289,slaking,slaking,289,5,,429,1,false,true,false,true
290,nincada,nincada,290,5,,430,1,false,true,false,true
291,ninjask,ninjask,291,5,,431,1,false,true,false,true
292,shedinja,shedinja,292,5,,432,1,false,true,false,true
293,whismur,whismur,293,5,,433,1,false,true,false,true
294,loudred,loudred,294,5,,434,1,false,true,false,true
295,exploud,exploud,295,5,,435,1,false,true,false,true
296,makuhita,makuhita,296,5,,436,1,false,true,false,true
297,hariyama,hariyama,297,5,,437,1,false,true,false,true
298,azurill,azurill,298,5,,286,1,false,true,false,true
299,nosepass,nosepass,299,5,,438,1,false,true,false,true
300,skitty,skitty,300,5,,440,1,false,true,false,true
301,delcatty,delcatty,301,5,,441,1,false,true,false,true
302,sableye,sableye,302,5,,442,1,false,true,false,true
303,mawile,mawile,303,5,,444,1,false,true,false,true
304,aron,aron,304,5,,446,1,false,true,false,true
305,lairon,lairon,305,5,,447,1,false,true,false,true
306,aggron,aggron,306,5,,448,1,false,true,false,true
307,meditite,meditite,307,5,,450,1,false,true,false,true
308,medicham,medicham,308,5,,451,1,false,true,false,true
309,electrike,electrike,309,5,,453,1,false,true,false,true
310,manectric,manectric,310,5,,454,1,false,true,false,true
311,plusle,plusle,311,5,,456,1,false,true,false,true
312,minun,minun,312,5,,457,1,false,true,false,true
313,volbeat,volbeat,313,5,,458,1,false,true,false,true
314,illumise,illumise,314,5,,459,1,false,true,false,true
315,roselia,roselia,315,5,,461,1,false,true,false,true
316,gulpin,gulpin,316,5,,463,1,false,true,false,true
317,swalot,swalot,317,5,,464,1,false,true,false,true
318,carvanha,carvanha,318,5,,465,1,false,true,false,true
319,sharpedo,sharpedo,319,5,,466,1,false,true,false,true
320,wailmer,wailmer,320,5,,468,1,false,true,false,true
321,wailord,wailord,321,5,,469,1,false,true,false,true
322,numel,numel,322,5,,470,1,false,true,false,true
323,camerupt,camerupt,323,5,,471,1,false,true,false,true
324,torkoal,torkoal,324,5,,473,1,false,true,false,true
325,spoink,spoink,325,5,,474,1,false,true,false,true
326,grumpig,grumpig,326,5,,475,1,false,true,false,true
327,spinda,spinda,327,5,,476,1,false,true,false,true
328,trapinch,trapinch,328,5,,477,1,false,true,false,true
329,vibrava,vibrava,329,5,,478,1,false,true,false,true
330,flygon,flygon,330,5,,479,1,false,true,false,true
331,cacnea,cacnea,331,5,,480,1,false,true,false,true
332,cacturne,cacturne,332,5,,481,1,false,true,false,true
333,swablu,swablu,333,5,,482,1,false,true,false,true
334,altaria,altaria,334,5,,483,1,false,true,false,true
335,zangoose,zangoose,335,5,,485,1,false,true,false,true
336,seviper,seviper,336,5,,486,1,false,true,false,true
337,lunatone,lunatone,337,5,,487,1,false,true,false,true
338,solrock,solrock,338,5,,488,1,false,true,false,true
339,barboach,barboach,339,5,,489,1,false,true,false,true
340,whiscash,whiscash,340,5,,490,1,false,true,false,true
341,corphish,corphish,341,5,,491,1,false,true,false,true
342,crawdaunt,crawdaunt,342,5,,492,1,false,true,false,true
343,baltoy,baltoy,343,5,,493,1,false,true,false,true
344,claydol,claydol,344,5,,494,1,false,true,false,true
345,lileep,lileep,345,5,,495,1,false,true,false,true
346,cradily,cradily,346,5,,496,1,false,true,false,true
347,anorith,anorith,347,5,,497,1,false,true,false,true
348,armaldo,armaldo,348,5,,498,1,false,true,false,true
349,feebas,feebas,349,5,,499,1,false,true,false,true
350,milotic,milotic,350,5,,500,1,false,true,false,true
351,castform,Morphéo,351,5,,501,1,false,true,false,true
352,kecleon,kecleon,352,5,,505,1,false,true,false,true
353,shuppet,shuppet,353,5,,506,1,false,true,false,true
354,banette,banette,354,5,,507,1,false,true,false,true
355,duskull,duskull,355,5,,509,1,false,true,false,true
356,dusclops,dusclops,356,5,,510,1,false,true,false,true
357,tropius,tropius,357,5,,512,1,false,true,false,true
358,chimecho,chimecho,358,5,,514,1,false,true,false,true
359,absol,absol,359,5,,516,1,false,true,false,true
360,wynaut,wynaut,360,5,,334,1,false,true,false,true
361,snorunt,snorunt,361,5,,519,1,false,true,false,true
362,glalie,glalie,362,5,,520,1,false,true,false,true
363,spheal,spheal,363,5,,524,1,false,true,false,true
364,sealeo,sealeo,364,5,,525,1,false,true,false,true
365,walrein,walrein,365,5,,526,1,false,true,false,true
366,clamperl,clamperl,366,5,,527,1,false,true,false,true
367,huntail,huntail,367,5,,528,1,false,true,false,true
368,gorebyss,gorebyss,368,5,,529,1,false,true,false,true
369,relicanth,relicanth,369,5,,530,1,false,true,false,true
370,luvdisc,luvdisc,370,5,,531,1,false,true,false,true
371,bagon,bagon,371,5,,532,1,false,true,false,true
372,shelgon,shelgon,372,5,,533,1,false,true,false,true
373,salamence,salamence,373,5,,534,1,false,true,false,true
374,beldum,beldum,374,5,,536,1,false,true,false,true
375,metang,metang,375,5,,537,1,false,true,false,true
376,metagross,metagross,376,5,,538,1,false,true,false,true
377,regirock,regirock,377,5,,540,1,false,true,false,true
378,regice,regice,378,5,,541,1,false,true,false,true
379,registeel,registeel,379,5,,542,1,false,true,false,true
380,latias,latias,380,5,,543,1,false,true,false,true
381,latios,latios,381,5,,545,1,false,true,false,true
382,kyogre,Kyogre,382,5,,547,1,false,true,false,true
383,groudon,Groudon,383,5,,549,1,false,true,false,true
384,rayquaza,rayquaza,384,5,,551,1,false,true,false,true
385,jirachi,jirachi,385,5,,553,1,false,true,false,true
386,deoxys-normal,Normal Deoxys,386,5,normal,554,1,false,true,false,true
387,turtwig,turtwig,387,8,,558,1,false,true,false,true
388,grotle,grotle,388,8,,559,1,false,true,false,true
389,torterra,torterra,389,8,,560,1,false,true,false,true
390,chimchar,chimchar,390,8,,561,1,false,true,false,true
391,monferno,monferno,391,8,,562,1,false,true,false,true
392,infernape,infernape,392,8,,563,1,false,true,false,true
393,piplup,piplup,393,8,,564,1,false,true,false,true
394,prinplup,prinplup,394,8,,565,1,false,true,false,true
395,empoleon,empoleon,395,8,,566,1,false,true,false,true
396,starly,starly,396,8,,567,1,false,true,false,true
397,staravia,staravia,397,8,,568,1,false,true,false,true
398,staraptor,staraptor,398,8,,569,1,false,true,false,true
399,bidoof,bidoof,399,8,,571,1,false,true,false,true
400,bibarel,bibarel,400,8,,572,1,false,true,false,true
401,kricketot,kricketot,401,8,,573,1,false,true,false,true
402,kricketune,kricketune,402,8,,574,1,false,true,false,true
403,shinx,shinx,403,8,,575,1,false,true,false,true
404,luxio,luxio,404,8,,576,1,false,true,false,true
405,luxray,luxray,405,8,,577,1,false,true,false,true
406,budew,budew,406,8,,460,1,false,true,false,true
407,roserade,roserade,407,8,,462,1,false,true,false,true
408,cranidos,cranidos,408,8,,578,1,false,true,false,true
409,rampardos,rampardos,409,8,,579,1,false,true,false,true
410,shieldon,shieldon,410,8,,580,1,false,true,false,true
411,bastiodon,bastiodon,411,8,,581,1,false,true,false,true
412,burmy-plant,Plant Burmy,412,8,plant,582,1,false,true,false,true
413,wormadam-plant,Plant Wormadam,413,8,plant,585,1,false,true,false,true
414,mothim-plant,plant,414,8,plant,588,1,false,true,false,true
415,combee,combee,415,8,,591,1,false,true,false,true
416,vespiquen,vespiquen,416,8,,592,1,false,true,false,true
417,pachirisu,pachirisu,417,8,,593,1,false,true,false,true
418,buizel,buizel,418,8,,594,1,false,true,false,true
419,floatzel,floatzel,419,8,,595,1,false,true,false,true
420,cherubi,cherubi,420,8,,596,1,false,true,false,true
421,cherrim-overcast,Overcast Cherrim,421,8,overcast,597,1,false,true,false,true
422,shellos-west,West Shellos,422,8,west,599,1,false,true,false,true
423,gastrodon-west,West Gastrodon,423,8,west,601,1,false,true,false,true
424,ambipom,ambipom,424,8,,295,1,false,true,false,true
425,drifloon,drifloon,425,8,,603,1,false,true,false,true
426,drifblim,drifblim,426,8,,604,1,false,true,false,true
427,buneary,buneary,427,8,,605,1,false,true,false,true
428,lopunny,lopunny,428,8,,606,1,false,true,false,true
429,mismagius,mismagius,429,8,,305,1,false,true,false,true
430,honchkrow,honchkrow,430,8,,303,1,false,true,false,true
431,glameow,glameow,431,8,,608,1,false,true,false,true
432,purugly,purugly,432,8,,609,1,false,true,false,true
433,chingling,chingling,433,8,,513,1,false,true,false,true
434,stunky,stunky,434,8,,610,1,false,true,false,true
435,skuntank,skuntank,435,8,,611,1,false,true,false,true
436,bronzor,bronzor,436,8,,612,1,false,true,false,true
437,bronzong,bronzong,437,8,,613,1,false,true,false,true
438,bonsly,bonsly,438,8,,289,1,false,true,false,true
439,mime-jr,mime-jr,439,8,,199,1,false,true,false,true
440,happiny,happiny,440,8,,184,1,false,true,false,true
441,chatot,chatot,441,8,,614,1,false,true,false,true
442,spiritomb,spiritomb,442,8,,615,1,false,true,false,true
443,gible,gible,443,8,,616,1,false,true,false,true
444,gabite,gabite,444,8,,617,1,false,true,false,true
445,garchomp,garchomp,445,8,,618,1,false,true,false,true
446,munchlax,munchlax,446,8,,240,1,false,true,false,true
447,riolu,riolu,447,8,,621,1,false,true,false,true
448,lucario,lucario,448,8,,622,1,false,true,false,true
449,hippopotas,hippopotas,449,8,,625,1,false,true,false,true
450,hippowdon,hippowdon,450,8,,626,1,false,true,false,true
451,skorupi,skorupi,451,8,,627,1,false,true,false,true
452,drapion,drapion,452,8,,628,1,false,true,false,true
453,croagunk,croagunk,453,8,,629,1,false,true,false,true
454,toxicroak,toxicroak,454,8,,630,1,false,true,false,true
455,carnivine,carnivine,455,8,,631,1,false,true,false,true
456,finneon,finneon,456,8,,632,1,false,true,false,true
457,lumineon,lumineon,457,8,,633,1,false,true,false,true
458,mantyke,mantyke,458,8,,362,1,false,true,false,true
459,snover,snover,459,8,,634,1,false,true,false,true
460,abomasnow,abomasnow,460,8,,635,1,false,true,false,true
461,weavile,weavile,461,8,,349,1,false,true,false,true
462,magnezone,magnezone,462,8,,139,1,false,true,false,true
463,lickilicky,lickilicky,463,8,,177,1,false,true,false,true
464,rhyperior,rhyperior,464,8,,183,1,false,true,false,true
465,tangrowth,tangrowth,465,8,,188,1,false,true,false,true
466,electivire,electivire,466,8,,209,1,false,true,false,true
467,magmortar,magmortar,467,8,,212,1,false,true,false,true
468,togekiss,togekiss,468,8,,279,1,false,true,false,true
469,yanmega,yanmega,469,8,,299,1,false,true,false,true
470,leafeon,leafeon,470,8,,228,1,false,true,false,true
471,glaceon,glaceon,471,8,,229,1,false,true,false,true
472,gliscor,gliscor,472,8,,341,1,false,true,false,true
473,mamoswine,mamoswine,473,8,,356,1,false,true,false,true
474,porygon-z,porygon-z,474,8,,233,1,false,true,false,true
475,gallade,gallade,475,8,,421,1,false,true,false,true
476,probopass,probopass,476,8,,439,1,false,true,false,true
477,dusknoir,dusknoir,477,8,,511,1,false,true,false,true
478,froslass,froslass,478,8,,522,1,false,true,false,true
479,rotom,Motisma,479,8,,637,1,false,true,false,true
480,uxie,uxie,480,8,,643,1,false,true,false,true
481,mesprit,mesprit,481,8,,644,1,false,true,false,true
482,azelf,azelf,482,8,,645,1,false,true,false,true
483,dialga,dialga,483,8,,646,1,false,true,false,true
484,palkia,palkia,484,8,,647,1,false,true,false,true
485,heatran,heatran,485,8,,648,1,false,true,false,true
486,regigigas,regigigas,486,8,,650,1,false,true,false,true
487,giratina-altered,Altered Giratina,487,8,altered,651,1,false,true,false,true
488,cresselia,cresselia,488,8,,653,1,false,true,false,true
