id,species_id,catalog_id,entry_number
141,15,1,15
142,15,2,15
143,15,3,29
144,15,7,29
145,15,11,177
146,15,12,28
147,15,26,15
148,15,34,20
149,15,36,15
150,16,1,16
151,16,2,16
152,16,3,10
153,16,7,10
154,16,12,17
155,16,26,16
156,16,34,21
157,17,1,17
158,17,2,17
159,17,3,11
160,17,7,11
161,17,12,18
162,17,26,17
163,17,34,22
164,18,1,18
165,18,2,18
166,18,3,12
167,18,7,12
168,18,12,19
169,18,26,18
170,18,34,23
171,18,36,18
172,19,1,19
173,19,2,19
174,19,3,17
175,19,7,17
176,19,9,59
177,19,16,15
178,19,17,15
179,19,18,6
180,19,19,6
181,19,20,6
182,19,21,15
183,19,22,15
184,19,23,6
185,19,24,6
186,19,25,6
187,19,26,19
188,20,1,20
189,20,2,20
190,20,3,18
191,20,7,18
192,20,9,60
193,20,16,16
194,20,17,16
195,20,18,7
196,20,19,7
197,20,20,7
198,20,21,16
199,20,22,16
200,20,23,7
201,20,24,7
202,20,25,7
203,20,26,20
204,21,1,21
205,21,2,21
206,21,3,13
207,21,7,13
208,21,14,109
209,21,16,73
210,21,17,73
211,21,19,40
212,21,20,24
213,21,21,87
214,21,22,87
215,21,24,40
216,21,25,33
217,21,26,21
218,22,1,22
219,22,2,22
220,22,3,14
221,22,7,14
222,22,14,110
223,22,16,74
224,22,17,74
225,22,19,41
226,22,20,25
227,22,21,88
228,22,22,88
229,22,24,41
230,22,25,34
231,22,26,22
232,23,1,23
233,23,2,23
234,23,3,50
235,23,7,50
236,23,11,54
237,23,14,37
238,23,21,61
239,23,22,61
240,23,26,23
241,23,32,18
242,23,34,60
243,24,1,24
244,24,2,24
245,24,3,51
246,24,7,51
247,24,11,55
248,24,14,38
249,24,21,62
250,24,22,62
251,24,26,24
252,24,32,19
253,24,34,61
254,24,36,24
255,25,1,25
256,25,2,25
257,25,3,22
258,25,4,156
259,25,5,104
260,25,6,104
261,25,7,22
262,25,11,16
263,25,12,36
264,25,15,163
265,25,16,25
266,25,17,25
267,25,21,32
268,25,22,32
269,25,26,25
270,25,27,194
271,25,28,85
272,25,30,56
273,25,31,74
274,25,32,21
275,25,34,53
276,25,36,25
277,26,1,26
278,26,2,26
279,26,3,23
280,26,4,157
281,26,5,105
282,26,6,105
283,26,7,23
284,26,11,17
285,26,12,37
286,26,15,164
287,26,16,26
288,26,17,26
289,26,21,33
290,26,22,33
291,26,26,26
292,26,27,195
293,26,28,86
294,26,30,57
295,26,31,75
296,26,32,22
297,26,34,54
298,26,36,26
299,27,1,27
300,27,2,27
301,27,3,48
302,27,4,112
303,27,7,48
304,27,9,113
305,27,14,97
306,27,15,117
307,27,16,251
308,27,19,123
309,27,21,328
310,27,24,149
311,27,26,27
312,27,28,168
313,27,32,116
314,27,33,155
315,28,1,28
316,28,2,28
317,28,3,49
318,28,4,113
319,28,7,49
320,28,9,114
321,28,14,98
322,28,15,118
323,28,16,252
324,28,19,124
325,28,21,329
326,28,24,150
327,28,26,28
328,28,28,169
329,28,32,117
330,28,33,156
331,29,1,29
332,29,2,29
333,29,3,95
334,29,7,95
335,29,13,104
336,29,26,29
337,29,29,65
338,30,1,30
339,30,2,30
340,30,3,96
341,30,7,96
342,30,13,105
343,30,26,30
344,30,29,66
345,31,1,31
346,31,2,31
347,31,3,97
348,31,7,97
349,31,13,106
350,31,26,31
351,31,29,67
352,32,1,32
353,32,2,32
354,32,3,98
355,32,7,98
356,32,13,107
357,32,26,32
358,32,29,68
359,33,1,33
360,33,2,33
361,33,3,99
362,33,7,99
363,33,13,108
364,33,26,33
365,33,29,69
366,34,1,34
367,34,2,34
368,34,3,100
369,34,7,100
370,34,13,109
371,34,26,34
372,34,29,70
373,35,1,35
374,35,2,35
375,35,3,41
376,35,5,100
377,35,6,100
378,35,7,41
379,35,9,89
380,35,16,211
381,35,19,83
382,35,21,273
383,35,24,94
384,35,26,35
385,35,27,255
386,35,29,44
387,35,30,200
388,35,32,152
389,35,34,56
390,36,1,36
391,36,2,36
392,36,3,42
393,36,5,101
394,36,6,101
395,36,7,42
396,36,9,90
397,36,16,212
398,36,19,84
399,36,21,274
400,36,24,95
401,36,26,36
402,36,27,256
403,36,29,45
404,36,30,201
405,36,32,153
406,36,34,57
407,36,36,36
408,37,1,37
409,37,2,37
410,37,3,125
411,37,4,153
412,37,7,127
413,37,9,248
414,37,15,160
415,37,16,253
416,37,19,125
417,37,21,330
418,37,24,151
419,37,26,37
420,37,27,68
421,37,30,168
422,37,32,37
423,37,33,157
424,38,1,38
425,38,2,38
426,38,3,126
427,38,4,154
428,38,7,128
429,38,9,249
430,38,15,161
431,38,16,254
432,38,19,126
433,38,21,331
434,38,24,152
435,38,26,38
436,38,27,69
437,38,30,169
438,38,32,38
439,38,33,158
440,38,36,38
441,39,1,39
442,39,2,39
443,39,3,44
444,39,4,138
445,39,7,44
446,39,9,282
447,39,11,21
448,39,14,120
449,39,15,143
450,39,16,135
451,39,18,62
452,39,21,168
453,39,23,69
454,39,26,39
455,39,28,12
456,39,31,60
457,39,35,77
458,40,1,40
459,40,2,40
460,40,3,45
461,40,4,139
462,40,7,45
463,40,9,283
464,40,11,22
465,40,14,121
466,40,15,144
467,40,16,136
468,40,18,63
469,40,21,169
470,40,23,70
471,40,26,40
472,40,28,13
473,40,31,61
474,40,35,78
475,41,1,41
476,41,2,41
477,41,3,37
478,41,4,63
479,41,5,28
480,41,6,28
481,41,7,37
482,41,9,61
483,41,11,23
484,41,12,145
485,41,15,65
486,41,16,68
487,41,17,68
488,41,18,26
489,41,19,35
490,41,20,19
491,41,21,80
492,41,22,80
493,41,23,26
494,41,24,35
495,41,25,26
496,41,26,41
497,41,29,144
498,41,30,34
499,41,35,94
500,42,1,42
501,42,2,42
502,42,3,38
503,42,4,64
504,42,5,29
505,42,6,29
506,42,7,38
507,42,9,62
508,42,11,24
509,42,12,146
510,42,15,66
511,42,16,69
512,42,17,69
513,42,18,27
514,42,19,36
515,42,20,20
516,42,21,81
517,42,22,81
518,42,23,27
519,42,24,36
520,42,25,27
521,42,26,42
522,42,29,145
523,42,30,35
524,42,35,95
525,43,1,43
526,43,2,43
527,43,3,83
528,43,4,88
529,43,7,83
530,43,12,105
531,43,15,91
532,43,26,43
533,43,27,55
534,43,33,62
535,44,1,44
536,44,2,44
537,44,3,84
538,44,4,89
539,44,7,84
540,44,12,106
541,44,15,92
542,44,26,44
543,44,27,56
544,44,33,63
545,45,1,45
546,45,2,45
547,45,3,85
548,45,4,90
549,45,7,85
550,45,12,107
551,45,15,93
552,45,26,45
553,45,27,57
554,45,33,64
555,45,36,45
556,46,1,46
557,46,2,46
558,46,3,70
559,46,7,70
560,46,16,147
561,46,18,74
562,46,19,66
563,46,21,180
564,46,23,81
565,46,24,72
566,46,26,46
567,46,30,53
568,47,1,47
569,47,2,47
570,47,3,71
571,47,7,71
572,47,16,148
573,47,18,75
574,47,19,67
575,47,21,181
576,47,23,82
577,47,24,73
578,47,26,47
579,47,30,54
580,48,1,48
581,48,2,48
582,48,3,108
583,48,7,109
584,48,26,48
585,48,31,256
586,48,33,8
587,49,1,49
588,49,2,49
589,49,3,109
590,49,7,110
591,49,26,49
592,49,31,257
593,49,33,9
594,50,1,50
595,50,2,50
596,50,3,132
597,50,7,134
598,50,14,1
599,50,16,71
600,50,17,71
601,50,18,29
602,50,19,38
603,50,20,22
604,50,21,85
605,50,22,85
606,50,23,29
607,50,24,38
608,50,25,31
609,50,26,50
610,50,27,164
611,50,31,148
612,50,33,66
613,51,1,51
614,51,2,51
615,51,3,133
616,51,7,135
617,51,14,2
618,51,16,72
619,51,17,72
620,51,18,30
621,51,19,39
622,51,20,23
623,51,21,86
624,51,22,86
625,51,23,30
626,51,24,39
627,51,25,32
628,51,26,51
629,51,27,165
630,51,31,149
631,51,33,67
632,52,1,52
633,52,2,52
634,52,3,136
635,52,7,138
636,52,11,58
637,52,16,45
638,52,17,45
639,52,19,23
640,52,21,52
641,52,22,52
642,52,24,23
643,52,26,52
644,52,27,182
645,52,31,141
646,52,35,4
647,53,1,53
648,53,2,53
649,53,3,137
650,53,7,139
651,53,11,59
652,53,16,46
653,53,17,46
654,53,19,24
655,53,21,53
656,53,22,53
657,53,24,24
658,53,26,53
659,53,27,184
660,53,31,142
661,53,35,5
662,54,1,54
663,54,2,54
664,54,3,138
665,54,4,158
666,54,5,43
667,54,6,43
668,54,7,140
669,54,9,28
670,54,12,59
671,54,15,165
672,54,16,89
673,54,17,89
674,54,18,32
675,54,19,49
676,54,20,39
677,54,21,107
678,54,22,107
679,54,23,32
680,54,24,52
681,54,25,51
682,54,26,54
683,54,28,146
684,54,30,68
685,54,31,55
686,55,1,55
687,55,2,55
688,55,3,139
689,55,4,159
690,55,5,44
691,55,6,44
692,55,7,141
693,55,9,29
694,55,12,60
695,55,15,166
696,55,16,90
697,55,17,90
698,55,18,33
699,55,19,50
700,55,20,40
701,55,21,108
702,55,22,108
703,55,23,33
704,55,24,53
705,55,25,52
706,55,26,55
707,55,28,147
708,55,30,69
709,55,31,56
710,56,1,56
711,56,2,56
712,56,3,134
713,56,7,136
714,56,16,79
715,56,17,79
716,56,20,30
717,56,21,93
718,56,22,93
719,56,25,39
720,56,26,56
721,56,31,158
722,56,32,99
723,56,35,1
724,57,1,57
725,57,2,57
726,57,3,135
727,57,7,137
728,57,16,80
729,57,17,80
730,57,20,31
731,57,21,94
732,57,22,94
733,57,25,40
734,57,26,57
735,57,31,159
736,57,32,100
737,57,35,2
738,58,1,58
739,58,2,58
740,58,3,127
741,58,7,129
742,58,9,51
743,58,16,52
744,58,17,52
745,58,21,64
746,58,22,64
747,58,26,58
748,58,27,70
749,58,30,150
750,58,31,213
751,58,32,78
752,59,1,59
753,59,2,59
754,59,3,128
755,59,7,130
756,59,9,52
757,59,16,53
758,59,17,53
759,59,21,65
760,59,22,65
761,59,26,59
762,59,27,71
763,59,30,151
764,59,31,214
765,59,32,79
766,59,36,59
767,60,1,60
768,60,2,60
769,60,3,72
770,60,7,72
771,60,14,33
772,60,16,149
773,60,18,76
774,60,19,68
775,60,21,182
776,60,23,83
777,60,24,74
778,60,26,60
779,60,28,142
780,60,32,39
781,61,1,61
782,61,2,61
783,61,3,73
784,61,7,73
785,61,14,34
786,61,16,150
787,61,18,77
788,61,19,69
789,61,21,183
790,61,23,84
791,61,24,75
792,61,26,61
793,61,28,143
794,61,32,40
795,62,1,62
796,62,2,62
797,62,3,74
798,62,7,74
799,62,14,35
800,62,16,151
801,62,18,78
802,62,19,70
803,62,21,184
804,62,23,85
805,62,24,76
806,62,26,62
807,62,28,144
808,62,32,41
809,63,1,63
810,63,2,63
811,63,3,89
812,63,4,39
813,63,5,20
814,63,6,20
815,63,7,89
816,63,11,127
817,63,12,102
818,63,15,40
819,63,16,42
820,63,17,42
821,63,21,49
822,63,22,49
823,63,26,63
824,63,28,31
825,63,30,58
826,63,34,62
827,64,1,64
828,64,2,64
829,64,3,90
830,64,4,40
831,64,5,21
832,64,6,21
833,64,7,90
834,64,11,128
835,64,12,103
836,64,15,41
837,64,16,43
838,64,17,43
839,64,21,50
840,64,22,50
841,64,26,64
842,64,28,32
843,64,30,59
844,64,34,63
845,65,1,65
846,65,2,65
847,65,3,91
848,65,4,41
849,65,5,22
850,65,6,22
851,65,7,91
852,65,11,129
853,65,12,104
854,65,15,42
855,65,16,44
856,65,17,44
857,65,21,51
858,65,22,51
859,65,26,65
860,65,28,33
861,65,30,60
862,65,34,64
863,65,36,65
864,66,1,66
865,66,2,66
866,66,3,140
867,66,4,73
868,66,5,40
869,66,6,40
870,66,7,142
871,66,11,98
872,66,13,57
873,66,15,75
874,66,16,95
875,66,17,95
876,66,20,45
877,66,21,117
878,66,22,117
879,66,25,57
880,66,26,66
881,66,27,138
882,66,30,154
883,66,34,125
884,67,1,67
885,67,2,67
886,67,3,141
887,67,4,74
888,67,5,41
889,67,6,41
890,67,7,143
891,67,11,99
892,67,13,58
893,67,15,76
894,67,16,96
895,67,17,96
896,67,20,46
897,67,21,118
898,67,22,118
899,67,25,58
900,67,26,67
901,67,27,139
902,67,30,155
903,67,34,126
904,68,1,68
905,68,2,68
906,68,3,142
907,68,4,75
908,68,5,42
909,68,6,42
910,68,7,144
911,68,11,100
912,68,13,59
913,68,15,77
914,68,16,97
915,68,17,97
916,68,20,47
917,68,21,119
918,68,22,119
919,68,25,59
920,68,26,68
921,68,27,140
922,68,30,156
923,68,34,127
924,68,36,68
925,69,1,69
926,69,2,69
927,69,3,64
928,69,7,64
929,69,14,26
930,69,26,69
931,69,32,23
932,69,34,74
933,70,1,70
934,70,2,70
935,70,3,65
936,70,7,65
937,70,14,27
938,70,26,70
939,70,32,24
940,70,34,75
941,71,1,71
942,71,2,71
943,71,3,66
944,71,7,66
945,71,14,28
946,71,26,71
947,71,32,25
948,71,34,76
949,71,36,71
950,72,1,72
951,72,2,72
952,72,3,162
953,72,4,66
954,72,5,136
955,72,6,136
956,72,7,164
957,72,13,25
958,72,15,68
959,72,16,106
960,72,17,106
961,72,18,38
962,72,19,53
963,72,20,55
964,72,21,129
965,72,22,129
966,72,23,38
967,72,24,56
968,72,25,67
969,72,26,72
970,72,28,40
971,72,30,170
972,72,33,50
973,73,1,73
974,73,2,73
975,73,3,163
976,73,4,67
977,73,5,137
978,73,6,137
979,73,7,165
980,73,13,26
981,73,15,69
982,73,16,107
983,73,17,107
984,73,18,39
985,73,19,54
986,73,20,56
987,73,21,130
988,73,22,130
989,73,23,39
990,73,24,57
991,73,25,68
992,73,26,73
993,73,28,41
994,73,30,171
995,73,33,51
996,74,1,74
997,74,2,74
998,74,3,34
999,74,4,57
1000,74,5,31
1001,74,6,31
1002,74,7,34
1003,74,14,9
1004,74,15,58
1005,74,16,229
1006,74,19,101
1007,74,21,298
1008,74,24,119
1009,74,26,74
1010,74,30,46
1011,74,32,80
1012,74,33,96
1013,75,1,75
1014,75,2,75
1015,75,3,35
1016,75,4,58
1017,75,5,32
1018,75,6,32
1019,75,7,35
1020,75,14,10
1021,75,15,59
1022,75,16,230
1023,75,19,102
1024,75,21,299
1025,75,24,120
1026,75,26,75
1027,75,30,47
1028,75,32,81
1029,75,33,97
1030,76,1,76
1031,76,2,76
1032,76,3,36
1033,76,4,59
1034,76,5,33
1035,76,6,33
1036,76,7,36
1037,76,14,11
1038,76,15,60
1039,76,16,231
1040,76,19,103
1041,76,21,300
1042,76,24,121
1043,76,26,76
1044,76,30,48
1045,76,32,82
1046,76,33,98
1047,77,1,77
1048,77,2,77
1049,77,3,201
1050,77,5,90
1051,77,6,90
1052,77,7,206
1053,77,26,77
1054,77,27,333
1055,77,29,105
1056,77,30,23
1057,78,1,78
1058,78,2,78
1059,78,3,202
1060,78,5,91
1061,78,6,91
1062,78,7,207
1063,78,26,78
1064,78,27,334
1065,78,29,106
1066,78,30,24
1067,79,1,79
1068,79,2,79
1069,79,3,80
1070,79,7,80
1071,79,13,133
1072,79,16,37
1073,79,17,37
1074,79,19,18
1075,79,21,44
1076,79,22,44
1077,79,24,18
1078,79,26,79
1079,79,28,1
1080,79,31,324
1081,79,33,75
1082,79,34,137
1083,80,1,80
1084,80,2,80
1085,80,3,81
1086,80,7,81
1087,80,13,134
1088,80,16,38
1089,80,17,38
1090,80,19,19
1091,80,21,45
1092,80,22,45
1093,80,24,19
1094,80,26,80
1095,80,28,2
1096,80,31,325
1097,80,33,76
1098,80,34,138
1099,80,36,80
1100,81,1,81
1101,81,2,81
1102,81,3,118
1103,81,4,82
1104,81,6,178
1105,81,7,119
1106,81,9,48
1107,81,14,69
1108,81,15,84
1109,81,16,47
1110,81,17,47
1111,81,19,25
1112,81,21,54
1113,81,22,54
1114,81,24,25
1115,81,26,81
1116,81,28,105
1117,81,30,177
1118,81,31,209
1119,81,33,116
1120,82,1,82
1121,82,2,82
1122,82,3,119
1123,82,4,83
1124,82,6,179
1125,82,7,120
1126,82,9,49
1127,82,14,70
1128,82,15,85
1129,82,16,48
1130,82,17,48
1131,82,19,26
1132,82,21,55
1133,82,22,55
1134,82,24,26
1135,82,26,82
1136,82,28,106
1137,82,30,178
1138,82,31,210
1139,82,33,117
1140,83,1,83
1141,83,2,83
1142,83,3,158
1143,83,7,160
1144,83,12,61
1145,83,26,83
1146,83,27,218
1147,83,35,7
1148,84,1,84
1149,84,2,84
1150,84,3,199
1151,84,4,92
1152,84,7,204
1153,84,12,94
1154,84,15,95
1155,84,26,84
1156,84,33,1
1157,85,1,85
1158,85,2,85
1159,85,3,200
1160,85,4,93
1161,85,7,205
1162,85,12,95
1163,85,15,96
1164,85,26,85
1165,85,33,2
1166,86,1,86
1167,86,2,86
1168,86,3,176
1169,86,7,178
1170,86,9,265
1171,86,21,115
1172,86,22,115
1173,86,26,86
1174,86,33,143
1175,87,1,87
1176,87,2,87
1177,87,3,177
1178,87,7,179
1179,87,9,266
1180,87,21,116
1181,87,22,116
1182,87,26,87
1183,87,33,144
1184,88,1,88
1185,88,2,88
1186,88,3,116
1187,88,4,106
1188,88,7,117
1189,88,9,64
1190,88,15,111
1191,88,16,50
1192,88,17,50
1193,88,19,28
1194,88,21,57
1195,88,22,57
1196,88,24,28
1197,88,26,88
1198,88,31,194
1199,88,33,68
1200,89,1,89
1201,89,2,89
1202,89,3,117
1203,89,4,107
1204,89,7,118
1205,89,9,65
1206,89,15,112
1207,89,16,51
1208,89,17,51
1209,89,19,29
1210,89,21,58
1211,89,22,58
1212,89,24,29
1213,89,26,89
1214,89,31,195
1215,89,33,69
1216,90,1,90
1217,90,2,90
1218,90,3,169
1219,90,7,171
1220,90,13,36
1221,90,16,115
1222,90,17,115
1223,90,21,138
1224,90,22,138
1225,90,26,90
1226,90,27,150
1227,90,28,131
1228,90,31,329
1229,91,1,91
1230,91,2,91
1231,91,3,170
1232,91,7,172
1233,91,13,37
1234,91,16,116
1235,91,17,116
1236,91,21,139
1237,91,22,139
1238,91,26,91
1239,91,27,151
1240,91,28,132
1241,91,31,330
1242,92,1,92
1243,92,2,92
1244,92,3,58
1245,92,5,69
1246,92,6,69
1247,92,7,58
1248,92,11,112
1249,92,14,30
1250,92,16,61
1251,92,17,61
1252,92,18,23
1253,92,19,32
1254,92,21,73
1255,92,22,73
1256,92,23,23
1257,92,24,32
1258,92,26,92
1259,92,27,141
1260,92,30,136
1261,92,31,68
1262,92,32,118
1263,92,34,65
1264,93,1,93
1265,93,2,93
1266,93,3,59
1267,93,5,70
1268,93,6,70
1269,93,7,59
1270,93,11,113
1271,93,14,31
1272,93,16,62
1273,93,17,62
1274,93,18,24
1275,93,19,33
1276,93,21,74
1277,93,22,74
1278,93,23,24
1279,93,24,33
1280,93,26,93
1281,93,27,142
1282,93,30,137
1283,93,31,69
1284,93,32,119
1285,93,34,66
1286,94,1,94
1287,94,2,94
1288,94,3,60
1289,94,5,71
1290,94,6,71
1291,94,7,60
1292,94,11,114
1293,94,14,32
1294,94,16,63
1295,94,17,63
1296,94,18,25
1297,94,19,34
1298,94,21,75
1299,94,22,75
1300,94,23,25
1301,94,24,34
1302,94,26,94
1303,94,27,143
1304,94,30,138
1305,94,31,70
1306,94,32,120
1307,94,34,67
1308,94,36,94
1309,95,1,95
1310,95,2,95
1311,95,3,62
1312,95,5,34
1313,95,6,34
1314,95,7,62
1315,95,9,71
1316,95,11,175
1317,95,13,53
1318,95,26,95
1319,95,27,178
1320,95,30,118
1321,95,34,197
1322,96,1,96
1323,96,2,96
1324,96,3,87
1325,96,7,87
1326,96,16,54
1327,96,17,54
1328,96,20,13
1329,96,21,66
1330,96,22,66
1331,96,25,20
1332,96,26,96
1333,96,31,66
1334,97,1,97
1335,97,2,97
1336,97,3,88
1337,97,7,88
1338,97,16,55
1339,97,17,55
1340,97,20,14
1341,97,21,67
1342,97,22,67
1343,97,25,21
1344,97,26,97
1345,97,31,67
1346,98,1,98
1347,98,2,98
1348,98,3,164
1349,98,7,166
1350,98,26,98
1351,98,27,98
1352,98,28,38
1353,99,1,99
1354,99,2,99
1355,99,3,165
1356,99,7,167
1357,99,26,99
1358,99,27,99
1359,99,28,39
1360,100,1,100
1361,100,2,100
1362,100,3,120
1363,100,4,84
1364,100,7,121
1365,100,14,72
1366,100,15,87
1367,100,26,100
1368,100,30,192
1369,100,31,207
1370,101,1,101
1371,101,2,101
1372,101,3,121
1373,101,4,85
1374,101,7,122
1375,101,14,73
1376,101,15,88
1377,101,26,101
1378,101,30,193
1379,101,31,208
1380,102,1,102
1381,102,2,102
1382,102,3,104
1383,102,7,105
1384,102,13,136
1385,102,16,269
1386,102,20,84
1387,102,21,355
1388,102,25,102
1389,102,26,102
1390,102,28,205
1391,102,33,3
1392,103,1,103
1393,103,2,103
1394,103,3,105
1395,103,7,106
1396,103,13,137
1397,103,16,270
1398,103,20,85
1399,103,21,356
1400,103,25,103
1401,103,26,103
1402,103,28,206
1403,103,33,4
1404,104,1,104
1405,104,2,104
1406,104,3,203
1407,104,7,208
1408,104,13,60
1409,104,16,163
1410,104,18,90
1411,104,21,197
1412,104,23,98
1413,104,26,104
1414,104,28,170
1415,104,35,9
1416,105,1,105
1417,105,2,105
1418,105,3,204
1419,105,7,209
1420,105,13,61
1421,105,16,164
1422,105,18,91
1423,105,21,198
1424,105,23,99
1425,105,26,105
1426,105,28,171
1427,105,35,10
1428,106,1,106
1429,106,2,106
1430,106,3,144
1431,106,7,146
1432,106,26,106
1433,106,27,108
1434,106,33,93
1435,107,1,107
1436,107,2,107
1437,107,3,145
1438,107,7,147
1439,107,26,107
1440,107,27,109
1441,107,33,94
1442,108,1,108
1443,108,2,108
1444,108,3,178
1445,108,6,161
1446,108,7,180
1447,108,9,284
1448,108,14,134
1449,108,21,375
1450,108,25,122
1451,108,26,108
1452,108,28,54
1453,108,30,125
1454,109,1,109
1455,109,2,109
1456,109,3,114
1457,109,4,108
1458,109,7,115
1459,109,9,46
1460,109,15,113
1461,109,26,109
1462,109,27,250
1463,109,32,135
1464,110,1,110
1465,110,2,110
1466,110,3,115
1467,110,4,109
1468,110,7,116
1469,110,9,47
1470,110,15,114
1471,110,26,110
1472,110,27,251
1473,110,32,136
1474,111,1,111
1475,111,2,111
1476,111,3,206
1477,111,4,169
1478,111,6,186
1479,111,7,211
1480,111,11,160
1481,111,13,50
1482,111,15,176
1483,111,26,111
1484,111,27,264
1485,111,28,183
1486,111,30,120
1487,111,33,5
1488,112,1,112
1489,112,2,112
1490,112,3,207
1491,112,4,170
1492,112,6,187
1493,112,7,212
1494,112,11,161
1495,112,13,51
1496,112,15,177
1497,112,26,112
1498,112,27,265
1499,112,28,184
1500,112,30,121
1501,112,33,6
1502,113,1,113
1503,113,2,113
1504,113,3,217
1505,113,5,97
1506,113,6,97
1507,113,7,222
1508,113,16,33
1509,113,17,33
1510,113,18,17
1511,113,19,16
1512,113,20,9
1513,113,21,40
1514,113,22,40
1515,113,23,17
1516,113,24,16
1517,113,25,16
1518,113,26,113
1519,113,28,7
1520,113,30,87
1521,113,31,44
1522,113,33,17
1523,114,1,114
1524,114,2,114
1525,114,3,179
1526,114,6,181
1527,114,7,182
1528,114,9,217
1529,114,26,114
1530,114,28,80
1531,114,30,95
1532,115,1,115
1533,115,2,115
1534,115,3,205
1535,115,7,210
1536,115,13,62
1537,115,16,165
1538,115,18,92
1539,115,21,199
1540,115,23,100
1541,115,26,115
1542,115,28,172
1543,115,34,223
1544,115,36,115
1545,116,1,116
1546,116,2,116
1547,116,3,186
1548,116,4,184
1549,116,7,190
1550,116,13,39
1551,116,15,193
1552,116,26,116
1553,116,28,198
1554,116,33,52
1555,117,1,117
1556,117,2,117
1557,117,3,187
1558,117,4,185
1559,117,7,191
1560,117,13,40
1561,117,15,194
1562,117,26,117
1563,117,28,199
1564,117,33,53
1565,118,1,118
1566,118,2,118
1567,118,3,78
1568,118,4,50
1569,118,5,78
1570,118,6,78
1571,118,7,78
1572,118,12,53
1573,118,15,51
1574,118,16,153
1575,118,18,80
1576,118,19,72
1577,118,21,186
1578,118,23,87
1579,118,24,78
1580,118,26,118
1581,118,27,146
1582,118,28,94
1583,119,1,119
1584,119,2,119
1585,119,3,79
1586,119,4,51
1587,119,5,79
1588,119,6,79
1589,119,7,79
1590,119,12,54
1591,119,15,52
1592,119,16,154
1593,119,18,81
1594,119,19,73
1595,119,21,187
1596,119,23,88
1597,119,24,79
1598,119,26,119
1599,119,27,147
1600,119,28,95
1601,120,1,120
1602,120,2,120
1603,120,3,167
1604,120,4,143
1605,120,7,169
1606,120,9,238
1607,120,13,34
1608,120,15,148
1609,120,16,184
1610,120,18,111
1611,120,21,223
1612,120,23,124
1613,120,26,120
1614,120,28,98
1615,120,34,36
1616,121,1,121
1617,121,2,121
1618,121,3,168
1619,121,4,144
1620,121,7,170
1621,121,9,239
1622,121,13,35
1623,121,15,149
1624,121,16,185
1625,121,18,112
1626,121,21,224
1627,121,23,125
1628,121,26,121
1629,121,28,99
1630,121,34,37
1631,121,36,121
1632,122,1,122
1633,122,2,122
1634,122,3,156
1635,122,5,95
1636,122,6,95
1637,122,7,158
1638,122,13,114
1639,122,21,60
1640,122,22,60
1641,122,26,122
1642,122,27,365
1643,122,29,11
1644,122,30,77
1645,122,35,109
1646,123,1,123
1647,123,2,123
1648,123,3,110
1649,123,6,195
1650,123,7,111
1651,123,11,188
1652,123,14,136
1653,123,16,275
1654,123,20,90
1655,123,21,365
1656,123,25,112
1657,123,26,123
1658,123,28,118
1659,123,30,72
1660,123,31,260
1661,123,33,19
1662,123,34,176
