id,creature_id,game_index
6050,346,346
6064,347,347
6078,348,348
6092,349,349
6106,350,350
6120,351,351
6134,352,352
6148,353,353
6162,354,354
6176,355,355
6190,356,356
6204,357,357
6218,358,358
6232,359,359
6246,360,360
6260,361,361
6274,362,362
6288,363,363
6302,364,364
6316,365,365
6330,366,366
6344,367,367
6358,368,368
6372,369,369
6386,370,370
6400,371,371
6414,372,372
6428,373,373
6442,374,374
6456,375,375
6470,376,376
6484,377,377
6498,378,378
6512,379,379
6526,380,380
6540,381,381
6554,382,382
6568,383,383
6582,384,384
6596,385,385
6607,386,386
6616,387,387
6625,388,388
6634,389,389
6643,390,390
6652,391,391
6661,392,392
6670,393,393
6679,394,394
6688,395,395
6697,396,396
6706,397,397
6715,398,398
6724,399,399
6733,400,400
6742,401,401
6751,402,402
6760,403,403
6769,404,404
6778,405,405
6787,406,406
6796,407,407
6805,408,408
6814,409,409
6823,410,410
6832,411,411
6841,412,412
6850,413,413
6859,414,414
6868,415,415
6877,416,416
6886,417,417
6895,418,418
6904,419,419
6913,420,420
6922,421,421
6931,422,422
6940,423,423
6949,424,424
6958,425,425
6967,426,426
6976,427,427
6985,428,428
6994,429,429
7003,430,430
7012,431,431
7021,432,432
7030,433,433
7039,434,434
7048,435,435
7057,436,436
7066,437,437
7075,438,438
7084,439,439
7093,440,440
7102,441,441
7111,442,442
7120,443,443
7129,444,444
7138,445,445
7147,446,446
7156,447,447
7165,448,448
7174,449,449
7183,450,450
7192,451,451
7201,452,452
7210,453,453
7219,454,454
7228,455,455
7237,456,456
7246,457,457
7255,458,458
7264,459,459
7273,460,460
7282,461,461
7291,462,462
7300,463,463
7309,464,464
7318,465,465
7327,466,466
7336,467,467
7345,468,468
7354,469,469
7363,470,470
7372,471,471
7381,472,472
7390,473,473
7399,474,474
7408,475,475
7417,476,476
7426,477,477
7435,478,478
7444,479,479
7453,480,480
7462,481,481
7471,482,482
7480,483,483
7489,484,484
7498,485,485
7507,486,486
7516,487,487
7525,488,488
7534,489,489
7543,490,490
7552,491,491
7561,492,492
7570,493,493
7574,494,494
7578,495,495
7582,496,496
7586,497,497
7590,498,498
7594,499,499
7598,500,500
7602,501,501
7606,502,502
7610,503,503
7614,504,504
7618,505,505
7622,506,506
7626,507,507
7630,508,508
7634,509,509
7638,510,510
7642,511,511
7646,512,512
7650,513,513
7654,514,514
7658,515,515
7662,516,516
7666,517,517
7670,518,518
7674,519,519
7678,520,520
7682,521,521
7686,522,522
7690,523,523
7694,524,524
7698,525,525
7702,526,526
7706,527,527
7710,528,528
7714,529,529
7718,530,530
7722,531,531
7726,532,532
7730,533,533
7734,534,534
7738,535,535
7742,536,536
7746,537,537
7750,538,538
7754,539,539
7758,540,540
7762,541,541
7766,542,542
7770,543,543
7774,544,544
7778,545,545
7782,546,546
7786,547,547
7790,548,548
7794,549,549
7798,550,550
7802,551,551
7806,552,552
7810,553,553
7814,554,554
7818,555,555
7822,556,556
7826,557,557
7830,558,558
7834,559,559
7838,560,560
7842,561,561
7846,562,562
7850,563,563
7854,564,564
7858,565,565
7862,566,566
7866,567,567
7870,568,568
7874,569,569
7878,570,570
7882,571,571
7886,572,572
7890,573,573
7894,574,574
7898,575,575
7902,576,576
7906,577,577
7910,578,578
7914,579,579
7918,580,580
7922,581,581
7926,582,582
7930,583,583
7934,584,584
7938,585,585
7942,586,586
7946,587,587
7950,588,588
7954,589,589
7958,590,590
7962,591,591
7966,592,592
7970,593,593
7974,594,594
7978,595,595
7982,596,596
7986,597,597
7990,598,598
7994,599,599
7998,600,600
8002,601,601
8006,602,602
8010,603,603
8014,604,604
8018,605,605
8022,606,606
8026,607,607
8030,608,608
8034,609,609
8038,610,610
8042,611,611
8046,612,612
8050,613,613
8054,614,614
8058,615,615
8062,616,616
8066,617,617
8070,618,618
8074,619,619
8078,620,620
8082,621,621
8086,622,622
8090,623,623
8094,624,624
8098,625,625
8102,626,626
8106,627,627
8110,628,628
8114,629,629
8118,630,630
8122,631,631
8126,632,632
8130,633,633
8134,634,634
8138,635,635
8142,636,636
8146,637,637
8150,638,638
8154,639,639
8158,640,640
8162,641,641
8166,642,642
8170,643,643
8174,644,644
8178,645,645
8182,646,646
8186,647,647
8190,648,648
8194,649,649
8204,10001,685
8214,10002,686
8224,10003,687
8233,10004,688
8242,10005,689
8249,10006,690
8256,10007,691
8263,10008,692
8270,10009,693
8277,10010,694
8284,10011,695
8291,10012,696
8295,10013,697
8299,10014,698
8303,10015,699
8307,10016,700
8311,10017,701
8315,10018,702
8317,10019,706
8319,10020,707
8321,10021,708
8323,10022,704
8325,10023,703
8327,10024,705
8328,10064,799
8329,10065,800
8330,10066,801
8331,10067,802
8332,10068,803
8333,10069,804
8334,10070,805
8335,10071,806
8336,10072,807
8337,10073,808
8338,10074,809
8339,10075,810
8340,10076,811
8341,10077,812
8342,10078,813
8343,10079,814
8344,10080,815
8345,10081,816
8346,10082,817
8347,10083,818
8348,10084,819
8349,10085,820
8350,10086,821
8351,10087,822
8352,10088,823
8353,10089,824
8354,10090,825
