id,skill_id,combo_type,relation_type,related_skill_id
101,74,normal,use_before,75
102,74,normal,use_before,76
103,74,normal,use_before,80
104,74,normal,use_before,202
105,74,normal,use_before,331
106,74,normal,use_before,338
107,74,normal,use_before,345
108,74,super,use_before,345
109,75,normal,use_after,74
110,76,normal,use_after,74
111,76,normal,use_after,241
112,77,normal,use_after,230
113,78,normal,use_after,230
114,79,normal,use_after,230
115,80,normal,use_after,74
116,81,normal,use_before,169
117,82,normal,use_before,225
118,82,normal,use_before,337
119,82,normal,use_before,349
120,82,normal,use_after,225
121,82,normal,use_after,349
122,83,normal,use_after,241
123,84,normal,use_after,268
124,85,normal,use_after,268
125,86,normal,use_after,268
126,87,normal,use_after,199
127,87,normal,use_after,240
128,87,normal,use_after,268
129,88,normal,use_before,157
130,88,normal,use_before,317
131,89,normal,use_before,90
132,89,normal,use_before,284
133,90,normal,use_after,89
134,93,normal,use_before,94
135,93,normal,use_before,100
136,93,normal,use_before,134
137,93,normal,use_before,248
138,93,normal,use_after,94
139,93,normal,use_after,134
140,93,normal,use_after,347
141,94,normal,use_before,93
142,94,normal,use_before,100
143,94,normal,use_before,134
144,94,normal,use_before,248
145,94,normal,use_after,93
146,94,normal,use_after,134
147,94,normal,use_after,347
148,95,normal,use_before,138
149,95,normal,use_before,171
150,96,normal,use_after,347
151,96,super,use_before,136
152,97,normal,use_after,104
153,98,normal,use_after,104
154,99,normal,use_before,37
155,99,normal,use_before,43
156,99,normal,use_before,184
157,100,normal,use_after,93
158,100,normal,use_after,94
159,100,normal,use_after,104
160,100,normal,use_after,134
161,104,normal,use_before,97
162,104,normal,use_before,98
163,104,normal,use_before,100
164,106,normal,use_before,33
165,106,normal,use_before,36
166,106,normal,use_before,38
167,106,normal,use_before,182
168,106,normal,use_before,205
169,108,normal,use_after,123
170,110,normal,use_after,240
171,111,normal,use_before,33
172,111,normal,use_before,205
173,111,super,use_before,205
174,113,normal,use_after,347
175,115,normal,use_after,347
176,116,normal,use_before,2
177,116,normal,use_before,5
178,116,normal,use_before,25
179,116,normal,use_before,29
180,116,normal,use_before,36
181,116,normal,use_before,38
182,116,normal,use_before,167
183,116,normal,use_before,198
184,116,normal,use_before,223
185,116,normal,use_before,238
186,116,normal,use_before,264
187,116,normal,use_before,280
188,116,normal,use_before,292
189,116,normal,use_before,327
190,116,super,use_before,400
191,121,normal,use_after,135
192,123,normal,use_before,108
193,124,normal,use_before,188
194,124,normal,use_after,188
195,125,normal,use_before,155
196,125,normal,use_before,198
197,125,normal,use_after,155
198,125,normal,use_after,198
199,126,normal,use_after,241
200,127,normal,use_after,240
201,128,normal,use_after,240
202,134,normal,use_before,93
203,134,normal,use_before,94
204,134,normal,use_before,100
205,134,normal,use_before,248
206,134,normal,use_after,93
207,134,normal,use_after,94
208,135,normal,use_before,121
209,136,normal,use_after,170
210,136,super,use_after,96
211,137,normal,use_after,43
212,138,normal,use_after,95
213,138,normal,use_after,347
214,145,normal,use_after,240
215,149,normal,use_after,347
216,152,normal,use_after,14
217,152,normal,use_after,240
218,154,normal,use_after,10
219,155,normal,use_before,125
220,155,normal,use_before,198
221,155,normal,use_after,125
222,155,normal,use_after,198
223,156,normal,use_before,173
224,156,normal,use_before,214
225,156,normal,use_after,187
226,156,normal,use_after,204
227,156,normal,use_after,281
228,157,normal,use_after,88
229,161,normal,use_after,199
230,162,normal,use_after,184
231,163,normal,use_after,10
232,163,normal,use_after,14
233,167,normal,use_after,116
234,169,normal,use_after,81
235,170,normal,use_before,5
236,170,normal,use_before,25
237,170,normal,use_before,26
238,170,normal,use_before,66
239,170,normal,use_before,136
240,170,normal,use_before,223
241,171,normal,use_after,95
242,172,normal,use_after,241
243,173,normal,use_after,156
244,174,normal,use_before,180
245,174,normal,use_before,194
246,174,normal,use_before,212
247,174,normal,use_before,288
248,175,normal,use_after,203
249,179,normal,use_after,203
250,180,normal,use_after,174
251,181,normal,use_before,59
252,181,normal,use_after,258
253,182,normal,use_after,106
254,184,normal,use_before,43
255,184,normal,use_before,44
256,184,normal,use_before,162
257,184,normal,use_before,242
258,184,normal,use_after,43
259,184,normal,use_after,99
260,185,normal,use_after,1
261,185,normal,use_after,43
262,185,normal,use_after,252
263,186,normal,use_after,204
264,187,normal,use_before,156
265,188,normal,use_before,124
266,188,normal,use_after,124
267,189,normal,use_before,28
268,189,normal,use_before,300
269,189,normal,use_after,28
270,189,normal,use_after,201
271,189,normal,use_after,300
272,190,normal,use_after,199
273,190,normal,use_after,240
274,192,normal,use_after,199
275,194,normal,use_after,174
276,194,normal,use_after,203
277,194,normal,use_after,212
278,195,normal,use_after,47
279,195,normal,use_after,212
280,197,normal,use_after,269
281,198,normal,use_before,125
282,198,normal,use_before,155
283,198,normal,use_after,116
284,198,normal,use_after,125
285,198,normal,use_after,155
286,199,normal,use_before,87
287,199,normal,use_before,161
288,199,normal,use_before,190
289,199,normal,use_before,192
290,199,normal,use_before,276
291,201,normal,use_before,28
292,201,normal,use_before,189
293,201,normal,use_before,311
294,201,normal,use_before,328
295,202,normal,use_after,74
296,203,normal,use_before,175
297,203,normal,use_before,179
298,203,normal,use_before,194
299,203,normal,use_before,220
300,203,normal,use_before,283
301,203,normal,use_before,284
302,204,normal,use_before,39
303,204,normal,use_before,45
304,204,normal,use_before,156
305,204,normal,use_before,186
306,204,normal,use_before,260
307,205,normal,use_after,106
308,205,normal,use_after,111
309,205,super,use_after,111
310,206,normal,use_after,14
311,209,normal,use_after,268
312,210,normal,use_after,14
313,212,normal,use_before,194
314,212,normal,use_before,195
315,212,normal,use_after,174
316,214,normal,use_after,156
317,220,normal,use_after,203
318,221,normal,use_after,241
319,223,normal,use_after,116
320,223,normal,use_after,170
321,225,normal,use_before,82
322,225,normal,use_before,337
323,225,normal,use_before,349
324,225,normal,use_after,82
325,225,normal,use_after,349
326,230,normal,use_before,77
327,230,normal,use_before,78
328,230,normal,use_before,79
329,232,normal,use_after,319
330,233,normal,use_after,252
331,234,normal,use_after,241
332,235,normal,use_after,241
333,236,normal,use_after,241
334,238,normal,use_after,116
335,240,normal,use_before,55
336,240,normal,use_before,56
337,240,normal,use_before,57
338,240,normal,use_before,61
339,240,normal,use_before,87
340,240,normal,use_before,110
341,240,normal,use_before,127
342,240,normal,use_before,128
343,240,normal,use_before,145
344,240,normal,use_before,152
345,240,normal,use_before,190
346,240,normal,use_before,250
347,240,normal,use_before,291
348,240,normal,use_before,308
349,240,normal,use_before,311
350,240,normal,use_before,323
351,240,normal,use_before,330
352,240,normal,use_before,346
353,240,normal,use_before,352
354,241,normal,use_before,7
355,241,normal,use_before,52
356,241,normal,use_before,53
357,241,normal,use_before,76
358,241,normal,use_before,83
359,241,normal,use_before,126
360,241,normal,use_before,172
361,241,normal,use_before,221
362,241,normal,use_before,234
363,241,normal,use_before,235
364,241,normal,use_before,236
365,241,normal,use_before,257
366,241,normal,use_before,261
367,241,normal,use_before,284
368,241,normal,use_before,299
369,241,normal,use_before,307
370,241,normal,use_before,311
371,241,normal,use_before,315
372,242,normal,use_after,184
373,243,normal,use_after,269
374,244,super,use_before,56
375,248,normal,use_after,93
376,248,normal,use_after,94
377,248,normal,use_after,134
378,248,normal,use_after,347
379,250,normal,use_after,240
380,252,normal,use_before,69
381,252,normal,use_before,185
382,252,normal,use_before,233
383,252,normal,use_before,282
384,252,normal,use_before,292
385,254,normal,use_before,255
386,254,normal,use_before,256
387,255,normal,use_after,254
388,256,normal,use_after,254
389,257,normal,use_after,241
390,258,normal,use_before,59
391,258,normal,use_before,181
392,258,normal,use_before,311
393,260,normal,use_after,204
394,261,normal,use_after,241
395,264,normal,use_after,116
396,268,normal,use_before,9
397,268,normal,use_before,84
398,268,normal,use_before,85
399,268,normal,use_before,86
400,268,normal,use_before,87
401,268,normal,use_before,209
402,268,normal,use_before,344
403,268,normal,use_before,351
404,268,super,use_before,422
405,269,normal,use_before,68
406,269,normal,use_before,197
407,269,normal,use_before,243
408,276,normal,use_after,199
409,280,normal,use_after,116
410,281,normal,use_before,156
411,281,normal,use_before,303
412,282,normal,use_after,252
413,283,normal,use_after,203
414,284,normal,use_after,89
415,284,normal,use_after,203
416,284,normal,use_after,241
417,287,normal,use_after,47
418,287,normal,use_after,346
419,288,normal,use_after,174
420,291,normal,use_before,57
421,291,normal,use_after,57
422,291,normal,use_after,240
423,292,normal,use_after,116
424,292,normal,use_after,252
425,295,normal,use_after,347
426,296,normal,use_after,347
427,299,normal,use_after,241
428,300,normal,use_before,55
429,300,normal,use_before,189
430,300,normal,use_before,346
431,300,normal,use_after,189
432,300,normal,use_after,346
433,303,normal,use_after,281
434,306,normal,use_after,14
435,307,normal,use_after,241
436,308,normal,use_after,240
437,311,normal,use_after,201
438,311,normal,use_after,240
439,311,normal,use_after,241
440,311,normal,use_after,258
441,315,normal,use_after,241
442,317,normal,use_after,88
443,319,normal,use_before,232
444,323,normal,use_after,240
445,327,normal,use_after,116
446,328,normal,use_after,201
447,330,normal,use_after,240
448,331,normal,use_after,74
449,337,normal,use_after,82
450,337,normal,use_after,225
451,337,normal,use_after,349
452,338,normal,use_after,74
453,344,normal,use_after,268
454,345,normal,use_after,74
455,345,super,use_after,74
456,346,normal,use_before,55
457,346,normal,use_before,287
458,346,normal,use_before,300
459,346,normal,use_after,240
460,346,normal,use_after,300
461,347,normal,use_before,60
462,347,normal,use_before,93
463,347,normal,use_before,94
464,347,normal,use_before,96
465,347,normal,use_before,113
466,347,normal,use_before,115
467,347,normal,use_before,138
468,347,normal,use_before,149
469,347,normal,use_before,248
470,347,normal,use_before,295
471,347,normal,use_before,296
472,347,normal,use_before,354
473,349,normal,use_before,82
474,349,normal,use_before,225
475,349,normal,use_before,337
476,349,normal,use_after,82
477,349,normal,use_after,225
478,351,normal,use_after,268
479,352,normal,use_after,240
480,354,normal,use_after,347
481,400,super,use_after,116
482,422,super,use_after,268
