id,creature_id,skill_id,learn_method_id,level_learned_at
3562,4,83,1,32
3563,4,83,4,0
3585,4,91,4,0
3606,4,92,4,0
3624,4,102,4,0
3626,4,102,3,0
3648,4,104,4,0
3670,4,108,1,8
3672,4,111,4,0
3673,4,111,3,0
3676,4,115,4,0
3704,4,126,4,0
3713,4,129,3,0
3715,4,129,4,0
3722,4,154,1,18
3744,4,156,4,0
3753,4,157,3,0
3758,4,157,2,0
3769,4,157,4,0
3791,4,163,1,20
3797,4,164,3,0
3811,4,164,4,0
3821,4,173,3,0
3822,4,173,4,0
3824,4,174,4,0
3844,4,182,4,0
3864,4,184,1,28
3865,4,184,4,0
3882,4,187,2,0
3884,4,189,4,0
3887,4,189,3,0
3898,4,200,3,0
3905,4,200,2,0
3906,4,200,4,0
3909,4,203,3,0
3915,4,203,4,0
3918,4,206,4,0
3926,4,207,3,0
3932,4,207,4,0
3934,4,210,4,0
3937,4,210,3,0
3955,4,213,4,0
3962,4,214,3,0
3969,4,214,4,0
4003,4,223,4,0
4004,4,223,3,0
4006,4,225,4,0
4009,4,225,1,12
4022,4,231,3,0
4025,4,231,4,0
4026,4,231,2,0
4027,4,232,1,13
4039,4,232,2,0
4040,4,232,4,0
4075,4,241,4,0
4086,4,242,2,0
4087,4,242,4,0
4104,4,246,2,0
4119,4,249,4,0
4134,4,251,4,0
4135,4,251,2,0
4140,4,257,3,0
4142,4,257,4,0
4155,4,261,4,0
4173,4,263,4,0
4188,4,264,2,0
4189,4,264,3,0
4191,4,264,4,0
4193,4,270,4,0
4211,4,280,4,0
4222,4,311,4,0
4227,4,314,2,0
4244,4,315,4,0
4256,4,317,4,0
4271,4,332,4,0
4288,4,337,4,0
4302,4,349,2,0
4303,4,349,4,0
4318,4,374,4,0
4331,4,394,2,0
4332,4,394,1,40
4333,4,394,4,0
4340,4,406,2,0
4341,4,406,3,0
4345,4,406,4,0
4357,4,407,2,0
4358,4,411,4,0
4370,4,421,4,0
4383,4,424,1,17
4384,4,424,4,0
4391,4,468,4,0
4404,4,488,4,0
4411,4,496,4,0
4417,4,497,4,0
4421,4,510,4,0
4422,4,512,4,0
4431,4,517,1,36
4438,4,519,3,0
4439,4,519,4,0
4442,4,525,2,0
4443,4,525,4,0
4447,4,526,4,0
4451,4,590,4,0
4454,4,784,4,0
4455,4,851,4,0
4456,4,915,4,0
4460,5,5,3,0
4461,5,5,4,0
4471,5,7,3,0
4474,5,7,4,0
4479,5,9,3,0
4482,5,9,4,0
4504,5,10,1,1
4510,5,14,3,0
4522,5,14,4,0
4541,5,15,4,0
4547,5,25,3,0
4548,5,25,4,0
4553,5,29,3,0
4554,5,29,4,0
4558,5,34,3,0
4561,5,34,4,0
4566,5,36,4,0
4570,5,38,4,0
4572,5,38,3,0
4577,5,43,1,15
4580,5,44,2,0
4603,5,45,1,1
4606,5,46,4,0
4647,5,52,1,1
4656,5,53,3,0
4691,5,53,1,30
4692,5,53,4,0
4700,5,68,4,0
4702,5,68,3,0
4703,5,68,2,0
4709,5,69,3,0
4711,5,69,4,0
4730,5,70,4,0
4734,5,82,4,0
4751,5,82,1,26
4775,5,83,1,42
4776,5,83,4,0
4798,5,91,4,0
4819,5,92,4,0
4837,5,102,4,0
4839,5,102,3,0
4861,5,104,4,0
4884,5,108,1,1
4886,5,111,4,0
4887,5,111,3,0
4890,5,115,4,0
4918,5,126,4,0
4927,5,129,3,0
4929,5,129,4,0
4936,5,154,1,20
4958,5,156,4,0
4962,5,157,3,0
4975,5,157,4,0
4997,5,163,1,24
5003,5,164,3,0
5017,5,164,4,0
5027,5,173,3,0
5028,5,173,4,0
5030,5,174,4,0
5050,5,182,4,0
5070,5,184,1,37
5071,5,184,4,0
5072,5,187,2,0
5074,5,189,4,0
5077,5,189,3,0
5078,5,200,3,0
5081,5,200,4,0
5084,5,203,3,0
5090,5,203,4,0
5093,5,206,4,0
5101,5,207,3,0
5107,5,207,4,0
5109,5,210,4,0
5112,5,210,3,0
5130,5,213,4,0
5137,5,214,3,0
5144,5,214,4,0
5178,5,223,4,0
5179,5,223,3,0
5181,5,225,4,0
5184,5,225,1,12
5197,5,231,3,0
5200,5,231,4,0
5201,5,231,2,0
5202,5,232,1,13
5203,5,232,2,0
5238,5,241,4,0
5240,5,242,4,0
5241,5,246,2,0
5256,5,249,4,0
5257,5,251,4,0
5262,5,257,3,0
5264,5,257,4,0
5277,5,261,4,0
5295,5,263,4,0
5305,5,264,3,0
5307,5,264,4,0
5309,5,270,4,0
5327,5,280,4,0
5338,5,311,4,0
5355,5,315,4,0
5367,5,317,4,0
5382,5,332,4,0
5399,5,337,4,0
5401,5,349,4,0
5416,5,374,4,0
5420,5,394,1,54
5421,5,394,4,0
5423,5,406,3,0
5427,5,406,4,0
5428,5,407,2,0
5429,5,411,4,0
5441,5,421,4,0
5454,5,424,1,19
5455,5,424,4,0
5462,5,468,4,0
5475,5,488,4,0
5482,5,496,4,0
5488,5,497,4,0
5492,5,510,4,0
5493,5,512,4,0
5502,5,517,1,48
5509,5,519,3,0
5510,5,519,4,0
5511,5,525,2,0
5512,5,525,4,0
5516,5,526,4,0
5520,5,590,4,0
5523,5,784,4,0
5524,5,851,4,0
5525,5,915,4,0
5529,6,5,3,0
5530,6,5,4,0
5540,6,7,3,0
5543,6,7,4,0
5544,6,7,12,0
5549,6,9,3,0
5552,6,9,4,0
5553,6,9,12,0
5575,6,10,1,1
5581,6,14,3,0
5593,6,14,4,0
5596,6,14,12,0
5613,6,15,4,0
5635,6,17,1,1
5656,6,19,4,0
5657,6,19,12,0
5661,6,25,3,0
5662,6,25,4,0
5665,6,25,12,0
5668,6,29,3,0
5669,6,29,4,0
5673,6,34,3,0
5676,6,34,4,0
5679,6,34,12,0
5682,6,36,4,0
5688,6,38,3,0
5690,6,38,4,0
5693,6,38,12,0
5697,6,43,1,15
5702,6,44,2,0
5703,6,44,12,0
5726,6,45,1,1
5746,6,46,4,0
5747,6,46,12,0
5788,6,52,1,1
5797,6,53,3,0
5832,6,53,1,30
5833,6,53,4,0
5836,6,53,12,0
5858,6,63,4,0
5861,6,63,12,0
5867,6,68,4,0
5869,6,68,3,0
5870,6,68,1,1
5871,6,68,2,0
5874,6,68,12,0
5878,6,69,3,0
5880,6,69,4,0
5899,6,70,4,0
5914,6,76,4,0
5915,6,76,12,0
5917,6,82,4,0
5934,6,82,1,26
5959,6,83,1,46
5960,6,83,4,0
5963,6,83,12,0
5985,6,89,4,0
5988,6,89,12,0
5990,6,90,4,0
6012,6,91,4,0
6015,6,91,12,0
6034,6,92,4,0
6052,6,102,4,0
6054,6,102,3,0
6076,6,104,4,0
6112,6,108,1,1
6114,6,111,4,0
6115,6,111,3,0
6118,6,115,4,0
6146,6,126,4,0
6149,6,126,12,0
6156,6,129,3,0
6158,6,129,4,0
6165,6,154,1,20
6187,6,156,4,0
6190,6,156,12,0
6192,6,157,3,0
6205,6,157,4,0
6206,6,157,12,0
6228,6,163,1,24
6234,6,164,3,0
6248,6,164,4,0
6251,6,164,12,0
6259,6,173,3,0
6260,6,173,4,0
6261,6,173,12,0
6263,6,174,4,0
6283,6,182,4,0
6284,6,182,12,0
6304,6,184,1,39
6305,6,184,4,0
6306,6,184,12,0
6307,6,187,2,0
6308,6,187,12,0
6310,6,189,4,0
6313,6,189,3,0
6318,6,200,3,0
6321,6,200,4,0
6322,6,200,12,0
6325,6,201,4,0
6326,6,201,12,0
6329,6,203,3,0
6335,6,203,4,0
6336,6,203,12,0
6338,6,206,4,0
6346,6,207,3,0
6352,6,207,4,0
6354,6,210,4,0
6357,6,210,3,0
6373,6,211,4,0
6374,6,211,12,0
6392,6,213,4,0
6399,6,214,3,0
6406,6,214,4,0
6407,6,214,12,0
6441,6,223,4,0
6442,6,223,3,0
6444,6,225,4,0
6447,6,225,1,12
6460,6,231,3,0
6463,6,231,4,0
6464,6,231,2,0
6465,6,231,12,0
6467,6,232,1,13
6468,6,232,2,0
6486,6,239,3,0
6505,6,241,4,0
6506,6,241,12,0
6507,6,242,1,1
6509,6,242,4,0
6510,6,242,12,0
6511,6,246,2,0
6512,6,246,12,0
6527,6,249,4,0
6528,6,251,4,0
6529,6,251,12,0
6548,6,257,3,0
6553,6,257,1,1
6554,6,257,4,0
6555,6,257,12,0
6568,6,261,4,0
6569,6,261,12,0
6587,6,263,4,0
6588,6,263,12,0
6598,6,264,3,0
6600,6,264,4,0
6601,6,264,12,0
6603,6,270,4,0
6604,6,270,12,0
6622,6,280,4,0
6623,6,280,12,0
6633,6,299,4,0
6645,6,307,3,0
6646,6,307,4,0
6647,6,307,12,0
6649,6,311,4,0
6650,6,311,12,0
6652,6,314,3,0
6653,6,314,4,0
6654,6,314,12,0
6671,6,315,4,0
6672,6,315,12,0
6684,6,317,4,0
6685,6,317,12,0
6701,6,332,4,0
6702,6,332,12,0
6730,6,337,1,1
6731,6,337,4,0
6732,6,337,12,0
6734,6,349,4,0
6735,6,349,12,0
6739,6,355,3,0
6745,6,355,4,0
6746,6,355,12,0
6753,6,366,3,0
6765,6,374,4,0
6766,6,374,12,0
6784,6,394,1,62
6785,6,394,4,0
6786,6,394,12,0
6802,6,403,1,0
6803,6,403,4,0
6804,6,403,12,0
6810,6,406,3,0
6814,6,406,4,0
6815,6,406,12,0
6816,6,407,2,0
6817,6,407,12,0
6829,6,411,4,0
6830,6,411,12,0
6842,6,416,4,0
6843,6,416,12,0
6860,6,421,1,1
6864,6,421,4,0
6865,6,421,12,0
6878,6,424,1,19
6879,6,424,4,0
6880,6,424,12,0
6882,6,432,4,0
6883,6,432,3,0
6892,6,468,4,0
6905,6,488,4,0
6906,6,488,12,0
6913,6,496,4,0
6914,6,496,12,0
6920,6,497,4,0
6930,6,510,4,0
6932,6,512,4,0
6933,6,512,12,0
6942,6,517,1,54
6943,6,517,12,0
6950,6,519,3,0
6951,6,519,4,0
6960,6,523,4,0
6961,6,523,12,0
6969,6,525,2,0
6970,6,525,4,0
6971,6,525,12,0
6975,6,526,4,0
6977,6,535,4,0
6978,6,535,12,0
6980,6,542,4,0
6981,6,542,12,0
6985,6,590,4,0
6986,6,595,4,0
6991,6,693,4,0
6992,6,693,12,0
6994,6,784,4,0
6995,6,784,12,0
6996,6,799,3,0
6997,6,799,12,0
6998,6,814,3,0
6999,6,815,3,0
7000,6,815,4,0
7001,6,815,12,0
7002,6,851,4,0
7003,6,913,4,0
7004,6,913,12,0
7005,6,915,4,0
7006,6,915,12,0
7010,7,5,3,0
7011,7,5,4,0
7021,7,8,3,0
7024,7,8,4,0
7028,7,25,3,0
7029,7,25,4,0
7034,7,29,3,0
7035,7,29,1,36
7036,7,29,4,0
7058,7,33,1,1
7064,7,34,3,0
7067,7,34,4,0
7072,7,36,4,0
7078,7,38,3,0
7080,7,38,4,0
7104,7,39,1,1
7128,7,44,1,12
7147,7,54,2,0
7151,7,55,4,0
7171,7,55,1,3
7198,7,56,1,33
7199,7,56,4,0
7223,7,57,4,0
7228,7,58,3,0
7246,7,58,4,0
7270,7,59,4,0
7274,7,61,4,0
7275,7,61,1,27
7283,7,68,4,0
7285,7,68,3,0
7291,7,69,3,0
7293,7,69,4,0
7312,7,70,4,0
7334,7,91,4,0
7355,7,92,4,0
7359,7,93,2,0
7365,7,102,4,0
7367,7,102,3,0
7389,7,104,4,0
7413,7,110,1,6
7417,7,111,4,0
7418,7,111,3,0
7434,7,114,2,0
7435,7,114,4,0
7438,7,115,4,0
7463,7,127,4,0
7533,7,156,4,0
7536,7,157,4,0
7540,7,164,3,0
7554,7,164,4,0
7564,7,173,3,0
7565,7,173,4,0
7567,7,174,4,0
7584,7,175,2,0
7623,7,182,1,18
7624,7,182,4,0
7626,7,189,4,0
7629,7,189,3,0
7652,7,196,3,0
7654,7,196,4,0
7655,7,200,4,0
7658,7,203,3,0
7664,7,203,4,0
7666,7,205,4,0
7669,7,205,3,0
7671,7,206,4,0
7679,7,207,3,0
7685,7,207,4,0
7703,7,213,4,0
7710,7,214,3,0
7717,7,214,4,0
7751,7,223,4,0
7752,7,223,3,0
7771,7,229,1,9
7784,7,231,3,0
7787,7,231,4,0
7840,7,240,1,21
7841,7,240,4,0
7858,7,243,2,0
7873,7,249,4,0
7878,7,250,4,0
7890,7,252,2,0
7924,7,263,4,0
7934,7,264,3,0
7936,7,264,4,0
7938,7,270,4,0
7956,7,280,4,0
7971,7,281,2,0
7997,7,291,3,0
8003,7,291,4,0
8017,7,311,4,0
8028,7,317,4,0
8038,7,323,2,0
8049,7,330,2,0
8050,7,330,4,0
8063,7,334,3,0
8067,7,334,1,30
8068,7,334,4,0
8069,7,341,4,0
8088,7,352,3,0
8092,7,352,1,15
8093,7,352,4,0
8105,7,360,4,0
8114,7,362,2,0
8116,7,362,4,0
8131,7,374,4,0
8143,7,392,2,0
8148,7,396,4,0
8149,7,396,2,0
8163,7,401,3,0
8166,7,401,1,24
8171,7,406,2,0
8172,7,406,3,0
8175,7,406,4,0
8180,7,428,3,0
8182,7,428,4,0
8197,7,453,2,0
8204,7,496,4,0
8213,7,503,4,0
8216,7,504,1,27
8223,7,518,3,0
8224,7,518,4,0
8228,7,526,4,0
8232,7,590,4,0
8235,7,710,4,0
8238,7,791,2,0
8239,7,812,3,0
8240,7,812,4,0
8241,7,834,1,36
8242,7,851,4,0
8243,7,861,4,0
8244,7,886,4,0
8248,8,5,3,0
8249,8,5,4,0
8259,8,8,3,0
8262,8,8,4,0
8266,8,25,3,0
8267,8,25,4,0
8272,8,29,3,0
8273,8,29,1,46
8274,8,29,4,0
8296,8,33,1,1
8302,8,34,3,0
8305,8,34,4,0
8310,8,36,4,0
8316,8,38,3,0
8318,8,38,4,0
8359,8,39,1,1
8383,8,44,1,12
8386,8,54,2,0
8390,8,55,4,0
8414,8,55,1,1
8441,8,56,1,45
8442,8,56,4,0
8466,8,57,4,0
8471,8,58,3,0
8489,8,58,4,0
8513,8,59,4,0
8517,8,61,4,0
8518,8,61,1,33
8526,8,68,4,0
8528,8,68,3,0
8534,8,69,3,0
8536,8,69,4,0
8555,8,70,4,0
8577,8,91,4,0
8598,8,92,4,0
8606,8,102,4,0
8608,8,102,3,0
8630,8,104,4,0
8655,8,110,1,1
8659,8,111,4,0
8660,8,111,3,0
8661,8,114,4,0
8664,8,115,4,0
8689,8,127,4,0
8776,8,156,4,0
8779,8,157,4,0
8783,8,164,3,0
8797,8,164,4,0
8807,8,173,3,0
8808,8,173,4,0
8810,8,174,4,0
8811,8,175,2,0
8850,8,182,1,20
8851,8,182,4,0
8853,8,189,4,0
8856,8,189,3,0
8865,8,196,3,0
8867,8,196,4,0
8868,8,200,4,0
8871,8,203,3,0
8877,8,203,4,0
8879,8,205,4,0
8882,8,205,3,0
8884,8,206,4,0
8892,8,207,3,0
8898,8,207,4,0
8916,8,213,4,0
8923,8,214,3,0
8930,8,214,4,0
8964,8,223,4,0
8965,8,223,3,0
8984,8,229,1,9
8997,8,231,3,0
9000,8,231,4,0
9053,8,240,1,25
9054,8,240,4,0
9055,8,243,2,0
9070,8,249,4,0
9075,8,250,4,0
9076,8,252,2,0
9110,8,263,4,0
9120,8,264,3,0
9122,8,264,4,0
9124,8,270,4,0
9142,8,280,4,0
9143,8,281,2,0
9157,8,291,3,0
9163,8,291,4,0
9165,8,311,4,0
9176,8,317,4,0
9177,8,323,2,0
9179,8,330,4,0
9192,8,334,3,0
9196,8,334,1,40
9197,8,334,4,0
9198,8,341,4,0
9217,8,352,3,0
9221,8,352,1,15
9222,8,352,4,0
9234,8,360,4,0
9239,8,362,4,0
9254,8,374,4,0
9255,8,392,2,0
9256,8,396,4,0
9270,8,401,3,0
9273,8,401,1,30
9275,8,406,3,0
9278,8,406,4,0
9283,8,428,3,0
9285,8,428,4,0
9289,8,453,2,0
9296,8,496,4,0
9305,8,503,4,0
9308,8,504,1,35
9315,8,518,3,0
9316,8,518,4,0
9320,8,526,4,0
9324,8,590,4,0
9327,8,710,4,0
9328,8,791,2,0
9329,8,812,3,0
9330,8,812,4,0
9331,8,834,1,50
9332,8,851,4,0
9333,8,861,4,0
9334,8,886,4,0
9338,9,5,3,0
9339,9,5,4,0
9349,9,8,3,0
9352,9,8,4,0
9353,9,8,12,0
9357,9,25,3,0
9358,9,25,4,0
9361,9,25,12,0
9364,9,29,3,0
9365,9,29,1,54
9366,9,29,4,0
9388,9,33,1,1
9394,9,34,3,0
9397,9,34,4,0
9400,9,34,12,0
9403,9,36,4,0
9409,9,38,3,0
9411,9,38,4,0
9414,9,38,12,0
9453,9,39,1,1
9477,9,44,1,12
9480,9,44,12,0
9498,9,46,4,0
9499,9,46,12,0
9500,9,54,2,0
9506,9,55,4,0
9530,9,55,1,1
9559,9,56,1,49
9560,9,56,4,0
9563,9,56,12,0
9585,9,57,4,0
9588,9,57,12,0
9591,9,58,3,0
9609,9,58,4,0
9612,9,58,12,0
9634,9,59,4,0
9637,9,59,12,0
9639,9,61,4,0
9640,9,61,1,33
9664,9,63,4,0
9667,9,63,12,0
9673,9,68,4,0
9675,9,68,3,0
9681,9,69,3,0
9683,9,69,4,0
9702,9,70,4,0
9726,9,89,4,0
9729,9,89,12,0
9731,9,90,4,0
9753,9,91,4,0
9756,9,91,12,0
9775,9,92,4,0
9783,9,102,4,0
9785,9,102,3,0
9807,9,104,4,0
9848,9,110,1,1
9852,9,111,4,0
9853,9,111,3,0
9854,9,114,4,0
9855,9,114,12,0
9858,9,115,4,0
9883,9,127,4,0
9884,9,127,12,0
9971,9,156,4,0
9974,9,156,12,0
9987,9,157,4,0
9988,9,157,12,0
9992,9,164,3,0
10006,9,164,4,0
10009,9,164,12,0
10017,9,173,3,0
10018,9,173,4,0
10019,9,173,12,0
10021,9,174,4,0
10022,9,175,2,0
10023,9,175,12,0
10062,9,182,1,20
10063,9,182,4,0
10064,9,182,12,0
10065,9,184,4,0
10066,9,184,12,0
10068,9,189,4,0
10071,9,189,3,0
10080,9,196,3,0
10082,9,196,4,0
10083,9,196,12,0
10088,9,200,3,0
10090,9,200,4,0
10091,9,200,12,0
10094,9,203,3,0
10100,9,203,4,0
10101,9,203,12,0
10103,9,205,4,0
10106,9,205,3,0
10108,9,206,4,0
10116,9,207,3,0
10122,9,207,4,0
10140,9,213,4,0
10147,9,214,3,0
10154,9,214,4,0
10155,9,214,12,0
10189,9,223,4,0
10190,9,223,3,0
10209,9,229,1,9
10210,9,229,12,0
10223,9,231,3,0
10226,9,231,4,0
10227,9,231,12,0
10280,9,240,1,25
10281,9,240,4,0
10282,9,240,12,0
10284,9,242,4,0
10285,9,242,12,0
10286,9,243,2,0
10287,9,243,12,0
10302,9,249,4,0
