id,item_id,fling_effect_id,effect,short_effect,flavor_text
15,15,,用于战斗：尝试捕捉野生精灵，在战斗的第一回合使用 4 倍的捕捉率，但在其他时间为 1 倍。如果在训练师对战中使用，则不会产生效果并会消耗。,试图捕捉野生精灵。成功率为 4 倍（第五代：5 倍），但仅限第一回合。,有点与众不同的球。 如果战斗开始后立刻使用， 就能很容易地捉到精灵。
80,80,,用于队伍精灵：将木棉球进化为风妖精，将臭臭花进化为美丽花，将百合根娃娃进化为裙儿小姐，或将向日种子进化为向日花怪。,将木棉球进化为风妖精，将臭臭花进化为美丽花，将百合根娃娃进化为裙儿小姐，或将向日种子进化为向日花怪。,能让某些特定精灵 进化的神奇石头。 像太阳一样赤红。
81,81,,用于队伍精灵：将皮皮进化为皮可西，将胖丁进化为胖可丁，将食梦梦进化为梦梦蚀，将尼多娜进化为尼多后，将尼多力诺进化为尼多王，或将向尾喵进化为优雅猫。,将皮皮进化为皮可西，将胖丁进化为胖可丁，将食梦梦进化为梦梦蚀，将尼多娜进化为尼多后，将尼多力诺进化为尼多王，或将向尾喵进化为优雅猫。,能让某些特定精灵 进化的神奇石头。 像夜空一样乌黑。
82,82,,用于队伍精灵：将伊布进化为火伊布，将卡蒂狗进化为风速狗，将爆香猴进化为爆香猿，或将六尾进化为九尾。,将伊布进化为火伊布，将卡蒂狗进化为风速狗，将爆香猴进化为爆香猿，或将六尾进化为九尾。,能让某些特定精灵 进化的神奇石头。 看上去是橙黄色的。
83,83,,用于队伍精灵：将麻麻鳗进化为麻麻鳗鱼王，将伊布进化为雷伊布，或将皮卡丘进化为雷丘。,将麻麻鳗进化为麻麻鳗鱼王，将伊布进化为雷伊布，或将皮卡丘进化为雷丘。,能让某些特定精灵 进化的神奇石头。 有着闪电般的花纹。
84,84,,用于队伍精灵：将伊布进化为水伊布，将莲帽小童进化为乐天河童，将冷水猴进化为冷水猿，将蚊香君进化为蚊香泳士，将大舌贝进化为刺甲贝，或将海星星进化为宝石海星。,将伊布进化为水伊布，将莲帽小童进化为乐天河童，将冷水猴进化为冷水猿，将蚊香君进化为蚊香泳士，将大舌贝进化为刺甲贝，或将海星星进化为宝石海星。,能让某些特定精灵 进化的神奇石头。 看上去是澄蓝色的。
85,85,,用于队伍精灵：将蛋蛋进化为椰蛋树，将臭臭花进化为霸王花，将长鼻叶进化为狡猾天狗，将花椰猴进化为花椰猿，或将口呆花进化为大食花。,将蛋蛋进化为椰蛋树，将臭臭花进化为霸王花，将长鼻叶进化为狡猾天狗，将花椰猴进化为花椰猿，或将口呆花进化为大食花。,能让某些特定精灵 进化的神奇石头。 有着叶子般的花纹。
106,106,,可在商店出售换取金钱。,以 5000 神奇币出售，或以 10000 神奇币出售给骨人。,在精灵考古学上 非常贵重的骨头。 可以在商店高价出售。
107,107,,用于队伍精灵：将泡沫栗鼠进化为奇诺栗鼠，将毒蔷薇进化为罗丝雷朵，或将波克基古进化为波克基斯。,将泡沫栗鼠进化为奇诺栗鼠，将毒蔷薇进化为罗丝雷朵，或将波克基古进化为波克基斯。,能让某些特定精灵 进化的神奇石头。 像光芒一样耀眼。
108,108,,用于队伍精灵：将灯火幽灵进化为水晶灯火灵，将梦妖进化为梦妖魔，或将黑暗鸦进化为乌鸦头头。,将灯火幽灵进化为水晶灯火灵，将梦妖进化为梦妖魔，或将黑暗鸦进化为乌鸦头头。,能让某些特定精灵 进化的神奇石头。 像黑夜一般漆黑。
109,109,,用于队伍精灵：将雄性奇鲁莉安进化为艾路雷朵，或将雌性雪童子进化为雪妖女。,将雄性奇鲁莉安进化为艾路雷朵，或将雌性雪童子进化为雪妖女。,能让某些特定精灵 进化的神奇石头。 像眼眸一般光彩动人。
110,110,,由小福蛋持有：持有者在白天升级时会进化为吉利蛋。,白天升级时由小福蛋持有：持有者进化为吉利蛋。,能让某些特定精灵 进化的神奇石头。 像珠子一般圆润。
112,112,,帝牙卢卡持有：持有者的龙系、钢属性技能威力是平时的1.2倍。,帝牙卢卡的龙系和钢属性技能的伤害提高20%。,让帝牙卢卡携带的话， 龙和钢属性的技能威力就会提高。 散发着光辉的宝珠。
113,113,,帕路奇犽持有：持有者的龙属性和水属性技能的威力是平时的1.2倍。,帕路奇犽的龙系、水属性技能的伤害提升20%。,让帕路奇亚携带的话， 龙和水属性的技能威力就会提高。 散发着美丽光辉的宝珠。
126,126,3,对战中持有：当持有者陷入麻痹状态时，消耗该物品可以治愈麻痹状态。用于队伍精灵：治愈麻痹。,持有：麻痹时消耗以治愈麻痹。,让精灵携带后， 可以治愈麻痹。
127,127,3,对战中持有：当持有者处于睡眠状态时，会消耗该物品来唤醒。用于队伍精灵：治疗睡眠。,持有：睡觉时服用可治疗睡眠。,让精灵携带后， 可以治愈睡眠。
128,128,3,对战中持有：当持有者中毒时，会消耗该物品来解毒。用于队伍精灵：解毒。,持有：中毒时食用可以解毒。,让精灵携带后， 可以治愈中毒。
129,129,3,在对战中持有：当持有者被烧伤时，它会消耗该物品来治愈烧伤。用于队伍精灵：治愈烧伤。,持有：被烧伤时食用以治疗烧伤。,让精灵携带后， 可以治愈灼伤。
130,130,3,在对战中持有：当持有者被冻结时，它会消耗该物品来解冻自己。用于队伍精灵：治愈冻结。,持有：冷冻时食用以治愈冷冻。,让精灵携带后， 可以治愈冰冻。
131,131,3,对战中持有：当持有者某一技能的ＰＰ耗尽时，消耗该物品即可恢复该技能的10点ＰＰ。用于队伍精灵：所选技能恢复 10 ＰＰ。,持有：行动ＰＰ耗尽时消耗，恢复10点ＰＰ。,让精灵携带后， 可以回复１０ＰＰ。
132,132,3,对战中持有：当持有者生命值上限为1/2以下时，消耗该物品恢复10点生命值。用于队伍精灵：恢复 10 ＨＰ。,持有：消耗最大生命值的 1/2，恢复 10 生命值。,让精灵携带后， 可以回复１０ＨＰ。
133,133,3,对战中持有：当持有者陷入混乱时，会消耗该物品来治愈混乱。用于队伍精灵：治愈混乱。,持有：混乱时服用以治愈混乱。,让精灵携带后， 可以治愈混乱。
134,134,3,对战中持有：当持有者处于异常状态时，会消耗该物品来治愈异常状态。用于队伍精灵：治愈任何严重异常状态。,持有：用于治愈任何异常状态或混乱。,让精灵携带后， 可以治愈所有异常状态。
135,135,3,对战中持有：当持有者的最大生命值剩余1/2以下时，消耗该物品可恢复最大生命值的1/4。用于队伍精灵：恢复精灵最大 ＨＰ 的 1/4。,持有：消耗最大ＨＰ的1/2，恢复最大ＨＰ的1/4。,让精灵携带后， 可以回复少量ＨＰ。
136,136,3,对战中持有：当持有者的最大生命值剩余1/2以下时，消耗该物品可恢复最大生命值的1/8。如果持有者不喜欢辛辣的味道（即具有降低攻击力的性质），也会变得混乱。,持有：消耗最大ＨＰ的1/2，恢复最大ＨＰ的1/8。让不喜欢辣味的精灵感到困惑。,让精灵携带后， 危机时可以回复ＨＰ。 如果讨厌这味道就会混乱。
137,137,3,对战中持有：当持有者的最大生命值剩余1/2以下时，消耗该物品可恢复最大生命值的1/8。如果持有者不喜欢干味（即具有降低特攻的性质），也会变得混乱。,持有：消耗最大ＨＰ的1/2，恢复最大ＨＰ的1/8。让不喜欢干味的精灵感到困惑。,让精灵携带后， 危机时可以回复ＨＰ。 如果讨厌这味道就会混乱。
138,138,3,对战中持有：当持有者的最大生命值剩余1/2以下时，消耗该物品可恢复最大生命值的1/8。如果持有者不喜欢甜味（即具有降低速度的性质），它也会变得混乱。,持有：消耗最大ＨＰ的1/2，恢复最大ＨＰ的1/8。让不喜欢甜味的精灵感到困惑。,让精灵携带后， 危机时可以回复ＨＰ。 如果讨厌这味道就会混乱。
139,139,3,对战中持有：当持有者的最大生命值剩余1/2以下时，消耗该物品可恢复最大生命值的1/8。如果持有者不喜欢苦味（即具有降低特防的性质），也会变得混乱。,持有：消耗最大ＨＰ的1/2，恢复最大ＨＰ的1/8。让不喜欢苦味的精灵感到困惑。,让精灵携带后， 危机时可以回复ＨＰ。 如果讨厌这味道就会混乱。
140,140,3,对战中持有：当持有者的最大生命值剩余1/2以下时，消耗该物品可恢复最大生命值的1/8。如果持有者不喜欢酸味（即具有降低防御力的性质），也会变得混乱。,持有：消耗最大ＨＰ的1/2，恢复最大ＨＰ的1/8。让不喜欢酸味的精灵感到困惑。,让精灵携带后， 危机时可以回复ＨＰ。 如果讨厌这味道就会混乱。
146,146,,用于队伍精灵：幸福度提高 10/5/2。 ＨＰ 努力降低 10。,ＨＰ 努力值降低 10 并提高幸福感。,如果把它交给精灵， 精灵就会变得非常容易和训练家亲密， 但ＨＰ的基础点数会降低。
147,147,,用于队伍精灵：幸福度提高 10/5/2。攻击强度降低 10。,攻击努力值降低 10 并提高幸福感。,如果把它交给精灵， 精灵就会变得非常容易和训练家亲密， 但攻击的基础点数会降低。
148,148,,用于队伍精灵：幸福度提高 10/5/2。防御力降低 10。,防御努力值降低 10 并提高幸福感。,如果把它交给精灵， 精灵就会变得非常容易和训练家亲密， 但防御的基础点数会降低。
149,149,,用于队伍精灵：幸福度提高 10/5/2。特殊攻击力降低 10。,特攻努力值下降 10 点并提高幸福感。,如果把它交给精灵， 精灵就会变得非常容易和训练家亲密， 但特攻的基础点数会降低。
150,150,,用于队伍精灵：幸福度提高 10/5/2。特防努力值降低 10。,特防努力值下降 10 并提高幸福感。,如果把它交给精灵， 精灵就会变得非常容易和训练家亲密， 但特防的基础点数会降低。
151,151,,用于队伍精灵：幸福度提高 10/5/2。速度努力降低 10。,将速度努力值降低 10 并提高幸福感。,如果把它交给精灵， 精灵就会变得非常容易和训练家亲密， 但速度的基础点数会降低。
161,161,,对战中持有：持有者受到效果绝佳的火属性伤害时，消耗该物品，受到的伤害减半。,持有：被效果绝佳的火属性攻击击中时消耗，使伤害减半。,让精灵携带后， 在受到效果绝佳的火属性技能 攻击时，能令其威力减弱。
162,162,,对战中持有：当持有者受到效果绝佳的水属性伤害时，消耗该物品可使受到的伤害减半。,持有：被效果绝佳的水属性攻击击中时消耗，使伤害减半。,让精灵携带后， 在受到效果绝佳的水属性技能 攻击时，能令其威力减弱。
163,163,,对战中持有：当持有者受到效果绝佳的电属性伤害时，消耗该物品可使受到的伤害减半。,持有：被效果绝佳的电属性攻击击中时消耗，使伤害减半。,让精灵携带后， 在受到效果绝佳的电属性技能 攻击时，能令其威力减弱。
164,164,,对战中持有：持有者受到效果绝佳的草属性伤害时，消耗该物品，受到的伤害减半。,持有：被效果绝佳的草属性攻击击中时消耗，使伤害减半。,让精灵携带后， 在受到效果绝佳的草属性技能 攻击时，能令其威力减弱。
165,165,,对战中持有：当持有者受到效果绝佳的冰属性伤害时，消耗该物品可使受到的伤害减半。,持有：被效果绝佳的冰属性攻击击中时消耗，使伤害减半。,让精灵携带后， 在受到效果绝佳的冰属性技能 攻击时，能令其威力减弱。
166,166,,对战中持有：持有者受到效果绝佳的格斗属性伤害时，消耗该物品，受到的伤害减半。,持有：被效果绝佳的格斗属性攻击击中时消耗，使伤害减半。,让精灵携带后， 在受到效果绝佳的格斗属性技能 攻击时，能令其威力减弱。
167,167,,对战中持有：持有者受到效果绝佳的毒属性伤害时，消耗该物品，受到的伤害减半。,持有：被效果绝佳的毒属性攻击击中时消耗，使伤害减半。,让精灵携带后， 在受到效果绝佳的毒属性技能 攻击时，能令其威力减弱。
168,168,,对战中持有：持有者受到效果绝佳的地面属性伤害时，消耗该物品，受到的伤害减半。,持有：被效果绝佳的地面属性攻击击中时消耗，使伤害减半。,让精灵携带后， 在受到效果绝佳的地面属性技能 攻击时，能令其威力减弱。
169,169,,对战中持有：持有者受到效果绝佳的飞行属性伤害时，消耗该物品，受到的伤害减半。,持有：被效果绝佳的飞行属性攻击击中时消耗，使伤害减半。,让精灵携带后， 在受到效果绝佳的飞行属性技能 攻击时，能令其威力减弱。
170,170,,对战中持有：当持有者受到效果绝佳的超能力属性伤害时，消耗该物品可使受到的伤害减半。,持有：被效果绝佳的超能力属性攻击击中时消耗，使伤害减半。,让精灵携带后， 在受到效果绝佳的超能力属性技能 攻击时，能令其威力减弱。
171,171,,对战中持有：当持有者受到效果绝佳的虫属性伤害时，消耗该物品可使受到的伤害减半。,持有：被效果绝佳的虫属性攻击击中时消耗，使伤害减半。,让精灵携带后， 在受到效果绝佳的虫属性技能 攻击时，能令其威力减弱。
172,172,,对战中持有：持有者受到效果绝佳的岩石属性伤害时，消耗该物品，受到的伤害减半。,持有：被效果绝佳的岩石属性攻击击中时消耗，使伤害减半。,让精灵携带后， 在受到效果绝佳的岩石属性技能 攻击时，能令其威力减弱。
173,173,,对战中持有：持有者受到效果绝佳的幽灵属性伤害时，消耗该物品，受到的伤害减半。,持有：被效果绝佳的幽灵属性攻击击中时消耗，使伤害减半。,让精灵携带后， 在受到效果绝佳的幽灵属性技能 攻击时，能令其威力减弱。
174,174,,对战中持有：持有者受到效果绝佳的龙属性伤害时，消耗该物品，受到的伤害减半。,持有：被效果绝佳的龙属性攻击击中时消耗，使伤害减半。,让精灵携带后， 在受到效果绝佳的龙属性技能 攻击时，能令其威力减弱。
175,175,,对战中持有：当持有者受到效果绝佳的恶属性伤害时，消耗该物品，受到的伤害减半。,持有：被效果绝佳的恶属性攻击击中时消耗，使伤害减半。,让精灵携带后， 在受到效果绝佳的恶属性技能 攻击时，能令其威力减弱。
176,176,,对战中持有：持有者受到效果绝佳的钢属性伤害时，消耗该物品，受到的伤害减半。,持有：被效果绝佳的钢属性攻击击中时消耗，使伤害减半。,让精灵携带后， 在受到效果绝佳的钢属性技能 攻击时，能令其威力减弱。
177,177,,对战中持有：当持有者受到一般属性伤害时，消耗该物品使受到的伤害减半。,持有：受到一般属性攻击时消耗，伤害减半。,让精灵携带后， 在受到一般属性技能攻击时， 能令其威力减弱。
178,178,3,对战中持有：当持有者生命值上限剩余1/4以下时，消耗该物品，攻击力提升一级。,持有：消耗最大生命值 1/4 来提升攻击力。,让精灵携带后，危机时， 自己的攻击就会提高。
179,179,3,对战中持有：当持有者的最大生命值剩余1/4以下时，消耗该物品，防御力提升一级。,持有：以 1/4 最大生命值消耗以增强防御。,让精灵携带后，危机时， 自己的防御就会提高。
180,180,3,对战中携带：当持有者生命值剩余1/4以下时，消耗该物品，速度提升一级。,持有：以 1/4 最大 ＨＰ 消耗以提高速度。,让精灵携带后，危机时， 自己的速度就会提高。
181,181,3,对战中携带：持有者生命值上限为1/4以下时，消耗该物品，特攻提升一级。,持有：以 1/4 最大生命值消耗以提升特殊攻击力。,让精灵携带后，危机时， 自己的特攻就会提高。
182,182,3,对战中持有：持有者生命值上限剩余1/4以下时，消耗该物品，特防提升一级。,持有：以 1/4 最大生命值消耗以增强特防。,让精灵携带后，危机时， 自己的特防就会提高。
183,183,3,对战中持有：当持有者生命值上限剩余1/4以下时，消耗该物品，击中要害率提升一级。,持有：最大生命值 1/4 时消耗，击中要害率提高两级。,让精灵携带后，危机时， 攻击会变得容易击中要害。
184,184,3,对战中持有：持有者生命值上限为1/4以下时，消耗该物品后随机能力值提升 2 级。,持有：以 1/4 最大生命值消耗，可将随机能力值提升两级。,让精灵携带后，危机时， 某一项能力就会大幅提高。
185,185,,对战中持有：当持有者受到效果绝佳的伤害时，消耗该物品可恢复最大生命值的1/4。,持有：受到效果绝佳攻击时消耗，恢复 1/4 最大生命值。,让精灵携带后， 在受到效果绝佳的技能攻击时， 可以回复ＨＰ。
186,186,3,对战中持有：持有者生命值剩余1/4以下时，消耗该物品，下一次使用的技能命中率为正常的1.2倍。,14,让精灵携带后，危机时， 技能的命中率仅会提高１次。
187,187,,对战中持有：当持有者剩余最大生命值的1/4以下时，会消耗该物品。在接下来的回合中，无论速度如何，持有者将在具有相同优先级的技能中首先行动。,持有：先行技能时消耗 1/4 最大生命值。,让精灵携带后，危机时， 行动仅会变快１次。
188,188,,对战中持有：持有者受到物理伤害时，会消耗该物品，对攻击的精灵造成最大生命值1/8的伤害。,持有：持有者受到物理攻击时消耗攻击者最大生命值的1/8。,让精灵携带后， 在受到物理技能攻击时， 能给予对手伤害。
189,189,,对战中持有：持有者受到特殊伤害时，会消耗该物品，对攻击的精灵造成最大生命值1/8的伤害。,持有：持有者受到特殊攻击时消耗攻击者最大生命值的1/8。,让精灵携带后， 在受到特殊技能攻击时， 能给予对手伤害。
190,190,,对战中持有：以持有者为目标的技能有 0.9 倍的几率击中。,持有：持有者的回避率提高 1/9 (11 1/9%)。,闪闪发光的粉末。 携带后，光芒会迷惑对手， 从而使其技能变得不容易命中。
191,191,4,对战中持有：每回合结束时，若持有者有降低的能力等级，消耗该物品并清除这些能力降低。,持有：回合结束时重置所有降低的能力等级。使用后消耗。,当携带它的精灵能力降低时， 仅能回到之前的状态１次。
194,194,,对战中持有：每当持有者尝试使用技能时，有 3/16 的几率在同等优先级的技能中先行动。如果多个精灵同时具有此效果，则速度通常是决定胜负的因素，但 戏法空间 的效果将被忽略。,持有：持有者有 3/16 (18.75%) 的机会先行动。,又轻又尖锐的爪子。 携带后，有时能比对手 先一步行动。
196,196,4,在对战中持有：当持有者被吸引时，它会消耗该物品来治愈吸引力。,持有：用于治愈痴情。第五代：还移除了嘲讽、再来一次、折磨、禁用和诅咒之躯。,当携带它的精灵 无法自由使出技能时， 仅会回复１次。
197,197,,对战中持有：持有者的攻击力为 1.5 倍。当持有者尝试使用一个技能时，所有其他技能都会被禁用，直到它离开对战或失去该物品。即使该道具通过戏法或掉包交换为另一个讲究类道具，限制也会结束。,持有：攻击力增加 50%，但限制持有者只能进行一招。,有点讲究的头带。 虽然携带后攻击会提高， 但只能使出相同的技能。
198,198,7,对战中持有：伤害性技能有 10% 几率使目标畏缩。连续招式的每次命中都会独立判定。这个几率与招式本身的追加效果分别判定；例如原本有 30% 畏缩几率的招式携带此物品后，总畏缩几率为 37%。蚊香君或呆呆兽携带后通信交换，会分别进化为蚊香蛙皇或呆呆王。,持有：伤害性技能有 10% 几率使目标畏缩。蚊香君或呆呆兽携带后通信交换会进化。,携带后进行攻击， 在造成伤害时， 有时会让对手畏缩。
199,199,,对战中持有：持有者的虫属性技能威力为1.2倍。,持有：持有者的虫属性技能造成的伤害提高 20%。,散发着银色光辉的粉末。 携带后，虫属性的 技能威力就会提高。
202,202,,拉帝亚斯或拉帝欧斯持有：持有者特攻、特防增加50%。,拉帝亚斯和拉帝欧斯的特攻、特防提升50%。,让拉帝欧斯或拉帝亚斯携带后， 超能力和龙属性的技能威力 就会提高的神奇珠子。
203,203,,珍珠贝持有：持有者的特攻加倍。通信交换时进化为猎斑鱼。,让珍珠贝的特攻加倍。通信交换时持有者进化为猎斑鱼。,让珍珠贝携带后， 特攻就会提高的牙齿。 散发着闪亮的银光。
204,204,,珍珠贝持有：持有者的特防加倍。通信交换时进化为樱花鱼。,让珍珠贝的特防加倍。通信交换时持有者进化为樱花鱼。,让珍珠贝携带后， 特防就会提高的鳞片。 散发着淡淡的粉红色光芒。
207,207,,持有：如果持有者受到通常伤害并濒死，该物品有 10% 的几率防止持有者的 ＨＰ 降至 1 以下。,持有：持有者有 10% 的几率在 1 ＨＰ 的攻击或自伤中幸存。,携带后，即便受到 可能会导致濒死的技能， 有时也能仅以１ＨＰ撑过去。
209,209,,持有：持有者的击中要害计数增加 1。,持有：持有者的击中要害率提升一级。,能看见弱点的镜片。 携带它的精灵的技能 会变得容易击中要害。
210,210,,持有：持有者的钢属性技能威力增加 20%。由大岩蛇或飞天螳螂持有并通信交换时，分别进化为大钢蛇或巨钳螳螂。,持有：持有者的钢属性技能造成的伤害提高 20%。,特殊的金属膜。 携带后，钢属性的 技能威力就会提高。
211,211,,持有：每回合结束时，治疗持有者最大生命值的 1/16。,持有：每回合结束时恢复持有者最大生命值的1/16（6.25%）。,携带后，精灵的ＨＰ 会在战斗期间缓缓回复。
212,212,,由海刺龙持有：通信交换时将持有者进化为刺龙王。,海刺龙通信交换时持有：持有者进化为刺龙王。,又硬又坚固的鳞片。 龙属性精灵有时会携带它。
213,213,5,皮卡丘持有：持有者的初始攻击力和特攻力加倍。,皮卡丘的攻击力和特攻力加倍。培育皮卡丘或雷丘：皮丘蛋将拥有伏特钓具。,让皮卡丘携带后， 攻击和特攻的威力 就会提高的神奇之球。
214,214,,持有：持有者的地面属性技能威力增加 20%。,持有：持有者的地面属性技能造成的伤害提高 20%。,手感细腻的沙子。 携带后，地面属性的 技能威力就会提高。
215,215,,持有：持有者的岩石属性技能威力增加 20%。,持有：持有者的岩石属性技能造成的伤害增加 20%。,绝对不会裂开的石头。 携带后，岩石属性的 技能威力就会提高。
216,216,,持有：持有者的草属性技能威力增加20%。,持有：持有者的草属性技能造成的伤害提高 20%。,孕育生命的种子。 携带后，草属性的 技能威力就会提高。
217,217,,持有：持有者的恶属性技能威力增加20%。,持有：持有者的恶属性技能造成的伤害提高 20%。,看上去很奇怪的眼镜。 携带后，恶属性的 技能威力就会提高。
218,218,,持有：持有者的格斗属性技能威力增加20%。,持有：持有者的格斗属性技能造成的伤害提高 20%。,能振作精神的带子。 携带后，格斗属性的 技能威力就会提高。
219,219,,持有：持有者的电属性技能威力增加 20%。,持有：持有者的电属性技能造成的伤害提高 20%。,强力的磁铁。 携带后，电属性的 技能威力就会提高。
220,220,,持有：持有者的水属性技能威力增加20%。,持有：持有者的水属性技能造成的伤害提高 20%。,水滴形状的宝石。 携带后，水属性的 技能威力就会提高。
221,221,,持有：持有者的飞行属性技能威力增加20%。,持有：持有者的飞行属性技能造成的伤害提高 20%。,又长又尖的鸟嘴。 携带后，飞行属性的 技能威力就会提高。
222,222,6,持有：持有者的毒属性技能威力增加 20%。,持有：持有者的毒属性技能造成的伤害提高 20%。,有毒的小针。 携带后，毒属性的 技能威力就会提高。
223,223,,持有：持有者的冰属性技能威力增加20%。,持有：持有者的冰属性技能造成的伤害提高 20%。,能隔绝热量的冰。 携带后，冰属性的 技能威力就会提高。
224,224,,持有：持有者的幽灵属性技能威力增加20%。,持有：持有者的幽灵属性技能造成的伤害提高 20%。,古怪可怕的咒符。 携带后，幽灵属性的 技能威力就会提高。
225,225,,持有：持有者的超能力属性技能威力增加20%。,持有：持有者的超能力属性技能造成的伤害提高 20%。,注入了念力的汤匙。 携带后，超能力属性的 技能威力就会提高。
226,226,,持有：持有者的火属性技能威力增加20%。,持有：持有者的火属性技能造成的伤害提高 20%。,焚烧用的燃料。 携带后，火属性的 技能威力就会提高。
227,227,,持有：持有者的龙属性技能威力增加20%。,持有：持有者的龙属性技能造成的伤害增加 20%。,坚硬锐利的牙齿。 携带后，龙属性的 技能威力就会提高。
228,228,,持有：持有者的一般属性技能威力增加20%。,持有：持有者的一般属性技能造成的伤害增加 20%。,手感不错的围巾。 携带后，一般属性的 技能威力就会提高。
229,229,,由多边兽持有：通信交换时将持有者进化为多边兽２型。,多边兽通信交换时持有：持有者进化为多边兽２型。,内部储存了各种信息的透明机器。 西尔佛公司制造。
230,230,,持有：治疗持有者所造成伤害的 1/8。,持有：持有者受到攻击时所造成伤害的 1/8。,当携带它的精灵 攻击对手并造成伤害时， 能回复少量ＨＰ。
242,242,,持有：持有者使用的任何技能的命中率提高 10%（相乘；即 70% 的命中率增加到 77%）。,持有：为持有者提供 1/10 (10%) 的命中率提升。,能放大观看物体的镜片。 携带后，技能的命中率 就会少量提高。
243,243,,持有：持有者的物理技能威力增加10%。,持有：持有者使用的物理技能的伤害提高10%。,力如泉涌的头带。 携带后，物理技能的 威力就会少量提高。
244,244,,持有：持有者的特殊技能威力增加10%。,持有：使持有者使用的特殊技能伤害提高 10%。,装着很厚镜片的眼镜。 携带后，特殊技能的 威力就会少量提高。
