id,encounter_id,condition_value_id
298,792,189
299,793,190
300,798,2
301,800,7
302,801,2
303,803,7
304,805,7
305,807,7
306,808,189
307,809,190
308,810,189
309,811,190
310,812,189
311,813,190
312,814,2
313,815,2
314,817,7
315,819,7
316,820,7
317,822,7
318,823,5
319,824,7
320,826,7
321,828,191
322,829,191
323,830,191
324,849,3
325,850,5
326,851,4
327,852,5
328,856,4
329,857,5
330,861,5
331,883,4
332,884,5
333,886,4
334,887,5
335,889,4
336,917,3
337,918,3
338,921,3
339,922,3
340,928,3
341,929,4
342,958,8
343,959,11
344,960,12
345,961,13
346,964,8
347,965,11
348,966,12
349,967,13
350,969,3
351,970,5
352,973,5
353,974,8
354,975,11
355,976,12
356,977,13
357,985,4
358,989,3
359,990,4
360,992,10
361,993,10
362,994,10
363,995,10
364,996,10
365,997,10
366,998,9
367,999,9
368,1000,9
369,1001,9
370,1002,9
371,1003,9
372,1009,8
373,1010,11
374,1011,12
375,1012,13
376,1014,8
377,1015,11
378,1016,12
379,1017,13
380,1019,8
381,1020,11
382,1021,12
383,1022,13
384,1028,8
385,1029,11
386,1030,12
387,1031,13
388,1034,8
389,1035,11
390,1036,12
391,1037,13
392,1039,3
393,1040,5
394,1043,5
395,1044,8
396,1045,11
397,1046,12
398,1047,13
399,1054,4
400,1058,3
401,1059,4
402,1062,10
403,1063,10
404,1064,10
405,1065,10
406,1066,10
407,1067,10
408,1068,9
409,1069,9
410,1070,9
411,1071,9
412,1072,9
413,1073,9
414,1079,8
415,1080,11
416,1081,12
417,1082,13
418,1084,8
419,1085,11
420,1086,12
421,1087,13
422,1089,8
423,1090,11
424,1091,12
425,1092,13
426,1097,8
427,1098,11
428,1099,12
429,1100,13
430,1101,7
431,1102,8
432,1103,11
433,1104,12
434,1105,13
435,1106,7
436,1107,5
437,1108,5
438,1109,5
439,1110,3
440,1111,4
441,1112,7
442,1113,3
443,1114,4
444,1115,7
445,1116,7
446,1117,5
447,1118,5
448,1119,5
449,1120,6
450,1121,6
451,1122,6
452,1123,6
453,1124,6
454,1125,6
455,1126,6
456,1127,6
457,1128,6
458,1129,6
459,1130,6
460,1131,6
461,1133,3
462,1134,4
463,1135,7
464,1136,3
465,1137,4
466,1138,7
467,1139,3
468,1140,4
469,1141,7
470,1142,10
471,1143,10
472,1144,10
473,1145,10
474,1146,10
475,1147,10
476,1148,9
477,1149,9
478,1150,9
479,1151,9
480,1152,9
481,1153,9
482,1154,8
483,1155,11
484,1156,12
485,1157,13
486,1158,7
487,1164,8
488,1165,11
489,1166,12
490,1167,13
491,1168,7
492,1169,8
493,1170,11
494,1171,12
495,1172,13
496,1173,7
497,1174,8
498,1175,11
499,1176,12
500,1177,13
501,1178,7
502,1185,3
503,1186,4
504,1187,8
505,1188,11
506,1189,12
507,1190,13
508,1191,7
509,1192,8
510,1193,11
511,1194,12
512,1195,13
513,1196,7
514,1197,5
515,1198,5
516,1199,5
517,1200,3
518,1201,4
519,1202,7
520,1203,3
521,1204,4
522,1205,7
523,1206,7
524,1207,5
525,1208,5
526,1209,5
527,1210,6
528,1211,6
529,1212,6
530,1213,6
531,1214,6
532,1215,6
533,1216,6
534,1217,6
535,1218,6
536,1219,6
537,1220,6
538,1221,6
539,1223,3
540,1224,4
541,1225,7
542,1226,3
543,1227,4
544,1228,7
545,1229,3
546,1230,4
547,1231,7
548,1232,10
549,1233,10
550,1234,10
551,1235,10
552,1236,10
553,1237,10
554,1238,9
555,1239,9
556,1240,9
557,1241,9
558,1242,9
559,1243,9
560,1244,8
561,1245,11
562,1246,12
563,1247,13
564,1248,7
565,1254,8
566,1255,11
567,1256,12
568,1257,13
569,1258,7
570,1259,8
571,1260,11
572,1261,12
573,1262,13
574,1263,7
575,1264,8
576,1265,11
577,1266,12
578,1267,13
579,1268,7
580,1275,3
581,1276,4
582,1278,8
583,1279,11
584,1280,12
585,1281,13
586,1284,8
587,1285,11
588,1286,12
589,1287,13
590,1289,3
591,1290,5
592,1305,5
593,1306,8
594,1307,11
595,1308,12
596,1309,13
597,1320,4
598,1359,3
599,1360,4
600,1362,10
601,1363,10
602,1364,10
603,1365,10
604,1366,10
605,1367,10
606,1368,9
607,1369,9
608,1370,9
609,1371,9
610,1372,9
611,1373,9
612,1389,8
613,1390,11
614,1391,12
615,1392,13
616,1395,8
617,1396,11
618,1397,12
619,1398,13
620,1401,8
621,1402,11
622,1403,12
623,1404,13
624,1408,8
625,1409,11
626,1410,12
627,1411,13
628,1414,8
629,1415,11
630,1416,12
631,1417,13
632,1419,3
633,1420,5
634,1423,5
635,1424,8
636,1425,11
637,1426,12
638,1427,13
639,1435,4
640,1439,3
641,1440,4
642,1442,10
643,1443,10
644,1444,10
645,1445,10
646,1446,10
647,1447,10
648,1448,9
649,1449,9
650,1450,9
651,1451,9
652,1452,9
653,1453,9
654,1460,8
655,1461,11
656,1462,12
657,1463,13
658,1465,8
659,1466,11
660,1467,12
661,1468,13
662,1471,8
663,1472,11
664,1473,12
665,1474,13
666,1478,8
667,1479,11
668,1480,12
669,1481,13
670,1484,8
671,1485,11
672,1486,12
673,1487,13
674,1489,3
675,1490,5
676,1493,5
677,1494,8
678,1495,11
679,1496,12
680,1497,13
681,1505,4
682,1509,3
683,1510,4
684,1512,10
685,1513,10
686,1514,10
687,1515,10
688,1516,10
689,1517,10
690,1518,9
691,1519,9
692,1520,9
693,1521,9
694,1522,9
695,1523,9
696,1528,8
697,1529,11
698,1530,12
699,1531,13
700,1535,8
701,1536,11
702,1537,12
703,1538,13
704,1541,8
705,1542,11
706,1543,12
707,1544,13
708,1548,8
709,1549,11
710,1550,12
711,1551,13
712,1554,8
713,1555,11
714,1556,12
715,1557,13
716,1559,3
717,1560,5
718,1563,5
719,1564,8
720,1565,11
721,1566,12
722,1567,13
723,1575,4
724,1579,3
725,1580,4
726,1582,10
727,1583,10
728,1584,10
729,1585,10
730,1586,10
731,1587,10
732,1588,9
733,1589,9
734,1590,9
735,1591,9
736,1592,9
737,1593,9
738,1599,8
739,1600,11
740,1601,12
741,1602,13
742,1605,8
743,1606,11
744,1607,12
745,1608,13
746,1611,8
747,1612,11
748,1613,12
749,1614,13
750,1618,8
751,1619,11
752,1620,12
753,1621,13
754,1624,8
755,1625,11
756,1626,12
757,1627,13
758,1629,3
759,1630,5
760,1633,5
761,1634,8
762,1635,11
763,1636,12
764,1637,13
765,1648,4
766,1652,3
767,1653,4
768,1655,10
769,1656,10
770,1657,10
771,1658,10
772,1659,10
773,1660,10
774,1661,9
775,1662,9
776,1663,9
777,1664,9
778,1665,9
779,1666,9
780,1672,8
781,1673,11
782,1674,12
783,1675,13
784,1677,8
785,1678,11
786,1679,12
787,1680,13
788,1682,8
789,1683,11
790,1684,12
791,1685,13
792,1693,3
793,1694,5
794,1699,5
795,1708,4
796,1716,3
797,1717,4
798,1727,4
799,1728,5
800,1730,4
801,1731,5
802,1733,5
803,1740,4
804,1741,5
805,1743,4
806,1744,5
807,1746,4
808,1747,3
809,1748,3
810,1749,10
811,1752,3
812,1753,3
813,1754,10
814,1757,3
815,1758,5
816,1761,8
817,1762,9
818,1763,11
819,1764,12
820,1765,13
821,1768,8
822,1769,9
823,1770,11
824,1771,12
825,1772,13
826,1774,3
827,1775,4
828,1791,3
829,1792,5
830,1809,5
831,1821,4
832,1856,3
833,1857,4
834,1888,12
835,1889,12
836,1890,12
837,1891,12
838,1892,12
839,1893,12
840,1894,182
841,1894,37
842,1895,182
843,1895,37
844,1896,182
845,1896,37
846,1897,182
847,1897,37
848,1898,183
849,1898,37
850,1899,183
851,1899,37
852,1900,8
853,1901,9
854,1902,10
855,1903,11
856,1904,13
857,1905,8
858,1906,9
859,1907,10
860,1908,11
861,1909,13
862,1912,8
863,1913,9
864,1914,10
865,1915,11
866,1916,13
867,1917,8
868,1918,9
869,1919,10
870,1920,11
871,1921,13
872,1924,184
873,1925,184
874,1926,184
875,1927,184
876,1928,182
877,1928,37
878,1929,182
879,1929,37
880,1930,182
881,1930,37
882,1931,182
883,1931,37
884,1932,183
885,1932,37
886,1933,183
887,1933,37
888,1934,8
889,1935,9
890,1936,10
891,1937,11
892,1938,13
893,1940,182
894,1941,182
895,1942,182
896,1942,37
897,1943,182
898,1943,37
899,1944,182
900,1944,37
901,1945,182
902,1945,37
903,1946,183
904,1946,37
905,1947,183
906,1947,37
907,1976,5
908,1977,5
909,1978,5
910,1979,5
911,1980,5
912,1981,5
913,1983,181
914,1985,182
915,1985,186
916,1986,182
917,1986,186
918,1988,181
919,1990,182
920,1990,186
921,1991,182
922,1991,186
923,1992,182
924,1992,37
925,1993,182
926,1993,37
927,1994,182
928,1994,37
929,1995,182
930,1995,37
931,1996,8
932,1997,9
933,1998,10
934,1999,11
935,2000,13
936,2002,182
937,2003,182
938,2006,183
939,2006,186
940,2007,183
941,2007,186
942,2010,183
943,2010,186
944,2011,183
945,2011,186
946,2014,181
947,2015,181
948,2018,188
949,2018,186
950,2019,188
951,2019,186
952,2021,181
953,2023,182
954,2023,186
955,2024,182
956,2024,186
957,2026,181
958,2028,182
959,2028,186
960,2029,182
961,2029,186
962,2034,183
963,2035,183
964,2036,182
965,2036,37
966,2037,182
967,2037,37
968,2038,182
969,2038,37
970,2039,182
971,2039,37
972,2040,183
973,2040,37
974,2041,183
975,2041,37
976,2043,183
977,2043,186
978,2044,183
979,2044,186
980,2046,183
981,2046,186
982,2047,183
983,2047,186
984,2048,184
985,2049,184
986,2050,184
987,2051,184
988,2052,182
989,2052,37
990,2053,182
991,2053,37
992,2054,182
993,2054,37
994,2055,182
995,2055,37
996,2056,183
997,2056,37
998,2057,183
999,2057,37
1000,2075,183
1001,2075,37
1002,2076,183
1003,2076,37
1004,2077,3
1005,2078,4
1006,2079,3
1007,2080,4
1008,2081,182
1009,2082,182
1010,2083,3
1011,2084,4
1012,2085,3
1013,2086,4
1014,2087,184
1015,2088,184
1016,2089,184
1017,2090,184
1018,2092,182
1019,2092,186
1020,2093,182
1021,2093,186
1022,2095,182
1023,2095,186
1024,2096,182
1025,2096,186
1026,2098,182
1027,2098,186
1028,2099,182
1029,2099,186
1030,2101,182
1031,2101,186
1032,2102,182
1033,2102,186
1034,2104,3
1035,2105,4
1036,2106,3
1037,2107,4
1038,2108,185
1039,2109,185
1040,2110,185
1041,2111,185
1042,2112,185
1043,2113,185
1044,2114,182
1045,2114,37
1046,2115,182
1047,2115,37
1048,2116,182
1049,2116,37
1050,2117,182
1051,2117,37
1052,2118,183
1053,2118,37
1054,2119,183
1055,2119,37
1056,2120,185
1057,2121,185
1058,2122,185
1059,2123,185
1060,2124,187
1061,2125,187
1062,2126,182
1063,2126,37
1064,2127,182
1065,2127,37
1066,2128,182
1067,2128,37
1068,2129,182
1069,2129,37
1070,2130,182
1071,2130,37
1072,2131,182
1073,2131,37
1074,2132,185
1075,2133,185
1076,2134,185
1077,2135,185
1078,2136,184
1079,2137,184
1080,2138,12
1081,2139,12
1082,2140,12
1083,2141,12
1084,2142,12
1085,2143,12
1086,2144,182
1087,2144,37
1088,2145,182
1089,2145,37
1090,2146,182
1091,2146,37
1092,2147,182
1093,2147,37
1094,2148,183
1095,2148,37
1096,2149,183
1097,2149,37
1098,2150,8
1099,2151,9
1100,2152,10
1101,2153,11
1102,2154,13
1103,2155,8
1104,2156,9
1105,2157,10
1106,2158,11
1107,2159,13
1108,2162,8
1109,2163,9
1110,2164,10
1111,2165,11
1112,2166,13
1113,2167,8
1114,2168,9
1115,2169,10
1116,2170,11
1117,2171,13
1118,2174,184
1119,2175,184
1120,2176,184
1121,2177,184
1122,2178,182
1123,2178,37
1124,2179,182
1125,2179,37
1126,2180,182
1127,2180,37
1128,2181,182
1129,2181,37
1130,2182,183
1131,2182,37
1132,2183,183
1133,2183,37
1134,2184,8
1135,2185,9
1136,2186,10
1137,2187,11
1138,2188,13
1139,2190,182
1140,2191,182
1141,2192,182
1142,2192,37
1143,2193,182
1144,2193,37
1145,2194,182
1146,2194,37
1147,2195,182
1148,2195,37
1149,2196,183
1150,2196,37
1151,2197,183
1152,2197,37
1153,2226,5
1154,2227,5
1155,2228,5
1156,2229,5
1157,2230,5
1158,2231,5
1159,2233,181
1160,2235,182
1161,2235,186
1162,2236,182
1163,2236,186
1164,2238,181
1165,2240,182
1166,2240,186
1167,2241,182
1168,2241,186
1169,2242,182
1170,2242,37
1171,2243,182
1172,2243,37
1173,2244,182
1174,2244,37
1175,2245,182
1176,2245,37
1177,2246,8
1178,2247,9
1179,2248,10
1180,2249,11
1181,2250,13
1182,2252,182
1183,2253,182
1184,2256,183
1185,2256,186
1186,2257,183
1187,2257,186
1188,2260,183
1189,2260,186
1190,2261,183
1191,2261,186
1192,2264,181
1193,2265,181
1194,2268,188
1195,2268,186
1196,2269,188
1197,2269,186
1198,2271,181
1199,2273,182
1200,2273,186
1201,2274,182
1202,2274,186
1203,2276,181
1204,2278,182
1205,2278,186
1206,2279,182
1207,2279,186
1208,2284,183
1209,2285,183
1210,2286,182
1211,2286,37
1212,2287,182
1213,2287,37
1214,2288,182
1215,2288,37
1216,2289,182
1217,2289,37
1218,2290,183
1219,2290,37
1220,2291,183
1221,2291,37
1222,2293,183
1223,2293,186
1224,2294,183
1225,2294,186
1226,2296,183
1227,2296,186
1228,2297,183
1229,2297,186
1230,2298,184
1231,2299,184
1232,2300,184
1233,2301,184
1234,2302,182
1235,2302,37
1236,2303,182
1237,2303,37
1238,2304,182
1239,2304,37
1240,2305,182
1241,2305,37
1242,2306,183
1243,2306,37
1244,2307,183
1245,2307,37
1246,2325,183
1247,2325,37
1248,2326,183
1249,2326,37
1250,2327,3
1251,2328,4
1252,2329,3
1253,2330,4
1254,2331,182
1255,2332,182
1256,2333,3
1257,2334,4
1258,2335,3
1259,2336,4
1260,2337,184
1261,2338,184
1262,2339,184
1263,2340,184
1264,2342,182
1265,2342,186
1266,2343,182
1267,2343,186
1268,2345,182
1269,2345,186
1270,2346,182
1271,2346,186
1272,2348,182
1273,2348,186
1274,2349,182
1275,2349,186
1276,2351,182
1277,2351,186
1278,2352,182
1279,2352,186
1280,2354,3
1281,2355,4
1282,2356,3
1283,2357,4
1284,2358,185
1285,2359,185
1286,2360,185
1287,2361,185
1288,2362,185
1289,2363,185
1290,2364,182
1291,2364,37
1292,2365,182
1293,2365,37
1294,2366,182
1295,2366,37
1296,2367,182
1297,2367,37
1298,2368,183
1299,2368,37
1300,2369,183
1301,2369,37
1302,2370,185
1303,2371,185
1304,2372,185
1305,2373,185
1306,2374,187
1307,2375,187
1308,2376,182
1309,2376,37
1310,2377,182
1311,2377,37
1312,2378,182
1313,2378,37
1314,2379,182
1315,2379,37
1316,2380,182
1317,2380,37
1318,2381,182
1319,2381,37
1320,2382,185
1321,2383,185
1322,2384,185
1323,2385,185
1324,2386,184
1325,2387,184
1326,2388,12
1327,2389,12
1328,2390,12
1329,2391,12
1330,2392,12
1331,2393,12
1332,2394,182
1333,2394,37
1334,2395,182
1335,2395,37
1336,2396,182
1337,2396,37
1338,2397,182
1339,2397,37
1340,2398,183
1341,2398,37
1342,2399,183
1343,2399,37
1344,2400,8
1345,2401,9
1346,2402,10
1347,2403,11
1348,2404,13
1349,2405,8
1350,2406,9
1351,2407,10
1352,2408,11
1353,2409,13
1354,2412,8
1355,2413,9
1356,2414,10
1357,2415,11
1358,2416,13
1359,2417,8
1360,2418,9
1361,2419,10
1362,2420,11
1363,2421,13
1364,2424,184
1365,2425,184
1366,2426,184
1367,2427,184
1368,2428,182
1369,2428,37
1370,2429,182
1371,2429,37
1372,2430,182
1373,2430,37
1374,2431,182
1375,2431,37
1376,2432,183
1377,2432,37
1378,2433,183
1379,2433,37
1380,2434,3
1381,2435,4
1382,2437,8
1383,2438,9
1384,2439,10
1385,2440,11
1386,2441,13
1387,2443,182
1388,2444,182
1389,2445,182
1390,2445,37
1391,2446,182
1392,2446,37
1393,2447,182
1394,2447,37
1395,2448,182
1396,2448,37
1397,2449,183
1398,2449,37
1399,2450,183
1400,2450,37
1401,2479,5
1402,2480,5
1403,2481,5
1404,2482,5
1405,2483,5
1406,2484,5
1407,2486,181
1408,2488,182
1409,2488,186
1410,2489,182
1411,2489,186
1412,2491,181
1413,2493,182
1414,2493,186
1415,2494,182
1416,2494,186
1417,2495,182
1418,2495,37
1419,2496,182
1420,2496,37
1421,2497,182
1422,2497,37
1423,2498,182
1424,2498,37
1425,2499,8
1426,2500,9
1427,2501,10
1428,2502,11
1429,2503,13
1430,2505,182
1431,2506,182
1432,2509,183
1433,2509,186
1434,2510,183
1435,2510,186
1436,2513,183
1437,2513,186
1438,2514,183
1439,2514,186
1440,2516,181
1441,2517,181
1442,2520,188
1443,2520,186
1444,2521,188
1445,2521,186
1446,2523,181
1447,2525,182
1448,2525,186
1449,2526,182
1450,2526,186
1451,2528,181
1452,2530,182
1453,2530,186
1454,2531,182
1455,2531,186
1456,2536,183
1457,2537,183
1458,2538,182
1459,2538,37
1460,2539,182
1461,2539,37
1462,2540,182
1463,2540,37
1464,2541,182
1465,2541,37
1466,2542,183
1467,2542,37
1468,2543,183
1469,2543,37
1470,2545,183
1471,2545,186
1472,2546,183
1473,2546,186
1474,2548,183
1475,2548,186
1476,2549,183
1477,2549,186
1478,2550,184
1479,2551,184
1480,2552,184
1481,2553,184
1482,2554,182
1483,2554,37
1484,2555,182
1485,2555,37
1486,2556,182
1487,2556,37
1488,2557,182
1489,2557,37
1490,2558,183
1491,2558,37
1492,2559,183
1493,2559,37
1494,2577,183
1495,2577,37
1496,2578,183
1497,2578,37
1498,2579,182
1499,2580,182
1500,2581,3
1501,2582,4
1502,2583,3
1503,2584,4
1504,2585,184
1505,2586,184
1506,2587,184
1507,2588,184
1508,2590,182
1509,2590,186
1510,2591,182
1511,2591,186
1512,2593,182
1513,2593,186
1514,2594,182
1515,2594,186
1516,2596,182
1517,2596,186
1518,2597,182
1519,2597,186
1520,2599,182
1521,2599,186
1522,2600,182
1523,2600,186
1524,2602,3
1525,2603,4
1526,2604,3
1527,2605,4
1528,2606,3
1529,2607,4
1530,2608,185
1531,2609,185
1532,2610,185
1533,2611,185
1534,2612,185
1535,2613,185
1536,2614,182
1537,2614,37
1538,2615,182
1539,2615,37
1540,2616,182
1541,2616,37
1542,2617,182
1543,2617,37
1544,2618,183
1545,2618,37
1546,2619,183
1547,2619,37
1548,2620,185
1549,2621,185
1550,2622,185
1551,2623,185
1552,2624,187
1553,2625,187
1554,2626,182
1555,2626,37
1556,2627,182
1557,2627,37
1558,2628,182
1559,2628,37
1560,2629,182
1561,2629,37
1562,2630,182
1563,2630,37
1564,2631,182
1565,2631,37
1566,2632,185
1567,2633,185
1568,2634,185
1569,2635,185
1570,2636,184
1571,2637,184
1572,2638,12
1573,2639,12
1574,2640,12
1575,2641,12
1576,2642,12
1577,2643,12
1578,2644,182
1579,2644,37
1580,2645,182
1581,2645,37
1582,2646,182
1583,2646,37
1584,2647,182
1585,2647,37
1586,2648,183
1587,2648,37
1588,2649,183
1589,2649,37
1590,2650,8
1591,2651,9
1592,2652,10
1593,2653,11
1594,2654,13
1595,2655,8
1596,2656,9
1597,2657,10
1598,2658,11
1599,2659,13
1600,2662,8
1601,2663,9
1602,2664,10
1603,2665,11
1604,2666,13
1605,2667,8
1606,2668,9
1607,2669,10
1608,2670,11
1609,2671,13
1610,2674,184
1611,2675,184
1612,2676,184
1613,2677,184
1614,2678,182
1615,2678,37
1616,2679,182
1617,2679,37
1618,2680,182
1619,2680,37
1620,2681,182
1621,2681,37
1622,2682,183
1623,2682,37
1624,2683,183
1625,2683,37
1626,2684,3
1627,2685,4
1628,2687,8
1629,2688,9
1630,2689,10
1631,2690,11
1632,2691,13
1633,2693,182
1634,2694,182
1635,2695,182
1636,2695,37
1637,2696,182
1638,2696,37
1639,2697,182
1640,2697,37
1641,2698,182
1642,2698,37
1643,2699,183
1644,2699,37
1645,2700,183
1646,2700,37
1647,2729,5
1648,2730,5
1649,2731,5
1650,2732,5
1651,2733,5
1652,2734,5
1653,2736,181
1654,2738,182
1655,2738,186
1656,2739,182
1657,2739,186
1658,2741,181
1659,2743,182
1660,2743,186
1661,2744,182
1662,2744,186
1663,2745,182
1664,2745,37
1665,2746,182
1666,2746,37
1667,2747,182
1668,2747,37
1669,2748,182
1670,2748,37
1671,2749,8
1672,2750,9
1673,2751,10
1674,2752,11
1675,2753,13
1676,2755,182
1677,2756,182
1678,2759,183
1679,2759,186
1680,2760,183
1681,2760,186
1682,2763,183
1683,2763,186
1684,2764,183
1685,2764,186
1686,2766,181
1687,2767,181
1688,2770,188
1689,2770,186
1690,2771,188
1691,2771,186
1692,2773,181
1693,2775,182
1694,2775,186
1695,2776,182
1696,2776,186
1697,2778,181
1698,2780,182
1699,2780,186
1700,2781,182
1701,2781,186
1702,2786,183
1703,2787,183
1704,2788,182
1705,2788,37
1706,2789,182
1707,2789,37
1708,2790,182
1709,2790,37
1710,2791,182
1711,2791,37
1712,2792,183
1713,2792,37
1714,2793,183
1715,2793,37
1716,2795,183
1717,2795,186
1718,2796,183
1719,2796,186
1720,2798,183
1721,2798,186
1722,2799,183
1723,2799,186
1724,2800,184
1725,2801,184
1726,2802,184
1727,2803,184
1728,2804,182
1729,2804,37
1730,2805,182
1731,2805,37
1732,2806,182
1733,2806,37
1734,2807,182
1735,2807,37
1736,2808,183
1737,2808,37
1738,2809,183
1739,2809,37
1740,2827,183
1741,2827,37
1742,2828,183
1743,2828,37
1744,2829,182
1745,2830,182
1746,2831,3
1747,2832,4
1748,2833,3
1749,2834,4
1750,2835,184
1751,2836,184
1752,2837,184
1753,2838,184
1754,2840,182
1755,2840,186
1756,2841,182
1757,2841,186
1758,2843,182
1759,2843,186
1760,2844,182
1761,2844,186
1762,2846,182
1763,2846,186
1764,2847,182
1765,2847,186
1766,2849,182
1767,2849,186
1768,2850,182
1769,2850,186
1770,2852,3
1771,2853,4
1772,2854,3
1773,2855,4
1774,2856,3
1775,2857,4
1776,2858,185
1777,2859,185
1778,2860,185
1779,2861,185
1780,2862,185
1781,2863,185
1782,2864,182
1783,2864,37
1784,2865,182
1785,2865,37
1786,2866,182
1787,2866,37
1788,2867,182
1789,2867,37
1790,2868,183
1791,2868,37
1792,2869,183
1793,2869,37
1794,2870,185
1795,2871,185
1796,2872,185
1797,2873,185
1798,2874,187
1799,2875,187
1800,2876,182
1801,2876,37
1802,2877,182
1803,2877,37
1804,2878,182
1805,2878,37
1806,2879,182
1807,2879,37
1808,2880,182
1809,2880,37
1810,2881,182
1811,2881,37
1812,2882,185
1813,2883,185
1814,2884,185
1815,2885,185
1816,2886,184
1817,2887,184
1818,2888,12
1819,2889,12
1820,2890,12
1821,2891,12
1822,2892,12
1823,2893,12
1824,2894,182
1825,2894,37
1826,2895,182
1827,2895,37
1828,2896,182
1829,2896,37
1830,2897,182
1831,2897,37
1832,2898,183
1833,2898,37
1834,2899,183
1835,2899,37
1836,2900,184
1837,2901,184
1838,2902,184
1839,2903,184
1840,2904,182
1841,2904,37
1842,2905,182
1843,2905,37
1844,2906,182
1845,2906,37
1846,2907,182
1847,2907,37
1848,2908,183
1849,2908,37
1850,2909,183
1851,2909,37
1852,2910,8
1853,2911,9
1854,2912,10
1855,2913,11
1856,2914,13
1857,2916,182
1858,2917,182
1859,2918,182
1860,2918,37
1861,2919,182
1862,2919,37
1863,2920,182
1864,2920,37
1865,2921,182
1866,2921,37
1867,2922,183
1868,2922,37
1869,2923,183
1870,2923,37
1871,2932,5
1872,2933,5
1873,2934,5
1874,2935,5
1875,2936,5
1876,2937,5
1877,2939,181
1878,2940,182
1879,2940,186
1880,2941,182
1881,2941,186
1882,2943,181
1883,2944,182
1884,2944,186
1885,2945,182
1886,2945,186
1887,2946,182
1888,2946,37
1889,2947,182
1890,2947,37
1891,2948,182
1892,2948,37
1893,2949,182
1894,2949,37
1895,2950,3
1896,2951,4
1897,2953,8
1898,2954,9
1899,2955,10
1900,2956,11
1901,2957,13
1902,2959,182
1903,2960,182
1904,2962,183
1905,2962,186
1906,2963,183
1907,2963,186
1908,2965,183
1909,2965,186
1910,2966,183
1911,2966,186
1912,2968,181
1913,2969,181
1914,2972,188
1915,2972,186
1916,2973,188
1917,2973,186
